Watchlist 'discrecionary.csv'

discrecionary.csv
Symbol,Last,Net Chng,Bid,Ask
AACG,1.51,+.0194,1.50,1.52
AAN,12.145,-.405,12.13,12.16
AAP,74.96,-37.24,74.92,75.00
AASP,.1430,0,.1300,.3479
ABG,209.88,-6.59,209.51,210.25
ABNB,104.8795,-2.3105,104.85,104.91
ACCYY,6.60,-.0915,6.57,6.61
ACEL,9.075,-.085,9.07,9.08
ACKAY,23.75,0,21.20,23.68
ADD,1.26,-.03,1.26,1.28
ADDDF,162.5625,-5.4375,160.5000,163.0000
ADDYY,81.0166,-2.2134,80.9800,81.0600
ADPXY,7.994,0,8.920,9.660
ADT,5.725,-.095,5.72,5.73
AEO,10.50,-.33,10.50,10.51
AFYA,11.84,-.23,11.85,11.87
AGAE,1.0512,-.0088,1.0500,1.1000
AGAEW,.0031,0,.0031,.0095
AGS,5.49,-.15,5.49,5.50
AGTK,.0001,0,.0001,.0035
AHFI,.0002,0,0,.0001
AHRO,.0010,+.00005,.0009,.0010
AIU,1.076,+.0231,1.060,1.090
AIXN,3.00,-.20,2.90,3.00
AKA,.3934,-.0164,.3934,.3999
ALLG,2.09,+.01,2.08,2.10
ALLG/WS,.2275,0,.1700,.2200
ALTD,.0029,0,.0021,.0029
AMADY,71.525,-1.275,71.400,71.490
AMBO,.2275,-.0091,.2250,.2366
AMGDF,3.47,+.299,3.38,3.61
AMHG,.1100,0,.1000,.1300
AMST,4.145,-.225,4.07,4.24
AN,132.555,-8.045,132.42,132.66
ANF,31.22,-.18,31.19,31.23
ANPDF,10.56,0,10.00,10.34
ANPDY,254.00,-1.70,253.16,254.87
AOCIF,12.90,0,12.20,12.48
AOUT,7.50,-.01,7.50,7.66
APEI,4.86,-.36,4.86,4.90
AQU,10.35,0,10.34,10.37
ARB,24.77,0,24.76,24.81
ARCE,11.98,-.17,11.90,12.19
ARCO,8.60,-.15,8.59,8.60
ARGGY,3.45,+.26,3.45,3.48
ARHS,7.14,+.01,7.15,7.16
ARKO,7.31,+.02,7.31,7.32
ARKOW,1.1999,-.0001,1.0600,1.2000
ARKR,18.239,0,17.95,18.17
ARMK,38.825,-.575,38.82,38.83
