Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Market Cap,Vol Index
AAN,THE AARONS COMPANY INC COM,12.24,0,0.00%,<empty>,10.68,14.02,0,0,-.44,378 M,47.56%
AASP,GLOBAL ACQUISITIONS CORP COM,.1430,0,0.00%,<empty>,.1020,.3479,0,0,-.009,0.81 M,<empty>
ABG,ASBURY AUTOMOTIVE GROUP INC COM,209.11,0,0.00%,<empty>,182.62,239.44,0,0,42.6,"4,503 M",41.23%
ACCYY,ACCOR ADR SPONSORED,6.6200,0,0.00%,<empty>,5.5300,7.8100,0,0,.2925,"8,717 M",<empty>
ACEL,ACCEL ENTERTAINMENT INC COM CL A,9.33,0,0.00%,<empty>,8.14,10.69,0,0,.75,802 M,30.21%
ACKAY,ARCELIK ADR UNSPONSORED,21.20,0,0.00%,<empty>,21.20,26.15,0,0,1.869,"2,625 M",<empty>
ADDDF,ADIDAS AG COM,164.1562,0,0.00%,<empty>,154.9500,171.5000,0,0,3.514,"29,308 M",<empty>
ADDYY,ADIDAS AG ADR SPONSORED,81.4500,0,0.00%,<empty>,80.9600,81.5000,0,0,1.757,"29,084 M",<empty>
ADPXY,AUDIO PIXELS HLDGS LTD ADR SPONSORED,7.994,0,0.00%,<empty>,8.700,9.960,0,0,-.0574,234 M,<empty>
AFYA,AFYA LIMITED COM CL A,11.73,0,0.00%,<empty>,10.41,13.44,0,0,.7511,"1,099 M",76.37%
AGAE,ALLIED GAMING & ENTRTNMNT INC COM,1.0300,0,0.00%,<empty>,1.0200,1.1500,0,0,-.23,39 M,<empty>
AGAEW,ALLIED GAMING & ENTRTNMNT INC WARRANT,.0031,0,0.00%,<empty>,.0031,.0100,0,0,<empty>,0,<empty>
AGS,PLAYAGS INC COM,5.34,0,0.00%,<empty>,5.00,5.50,0,0,.11,202 M,85.32%
AGTK,AGRITEK HLDGS INC COM,.0001,0,0.00%,<empty>,.0001,.0035,0,0,-.57,0.01 M,<empty>
AHRO,AUTHENTIC HOLDINGS INC COM,.0009,0,0.00%,<empty>,.0009,.0010,0,0,-.0005,1.5 M,<empty>
AIXN,AIXIN LIFE INTERNATIONAL INC COM,2.900,0,0.00%,<empty>,2.510,2.900,0,0,-.255,72 M,<empty>
AKA,A K A BRANDS HLDG CORP COM,.402800,0,0.00%,<empty>,.400000,.410000,0,0,-1.45,52 M,<empty>
ALLG/WS,ALLEGO N V WARRANT,.2275,0,0.00%,<empty>,.1986,.2299,0,0,<empty>,0,<empty>
ALTD,ALTITUDE INTERNATIONAL INC COM,.0029,0,0.00%,<empty>,.0021,.0029,0,0,-.02,1.4 M,<empty>
AMADY,AMADEUS IT GROUP SA ADR UNSPONSORED,71.9100,0,0.00%,<empty>,70.6600,72.8600,0,0,1.062,"32,352 M",<empty>
AMBO,AMBOW EDUCATION HOLDING LTD ADR,.230800,0,0.00%,<empty>,.220100,.244900,0,0,-.5625,6.5 M,<empty>
AMGDF,ASTON MARTIN LAGON COM,3.47,0,0.00%,<empty>,2.98,3.61,0,0,-1.217,"2,526 M",<empty>
AMHG,AMERGENT HOSPITALITY GROUP INC COM,.1100,0,0.00%,<empty>,.0001,.4190,0,0,-.21,1.7 M,<empty>
AN,AUTONATION INC COM,130.92,0,0.00%,<empty>,130.92,142.50,0,0,24.58,"5,971 M",48.57%
ANPDF,ANTA SPORTS PRODUCTS COM,10.56,0,0.00%,<empty>,10.00,10.67,0,0,.3961,"29,913 M",<empty>
ANPDY,ANTA SPORTS PRODUCTS ADR UNSPONSORED,254.5300,0,0.00%,<empty>,251.8200,266.5800,0,0,9.902,"28,840 M",<empty>
AOCIF,AUTOCANADA INC COM,12.53,0,0.00%,<empty>,12.19,12.74,0,0,2.38,295 M,<empty>
AOUT,AMERICAN OUTDOOR BRANDS INC COM,7.26,0,0.00%,<empty>,6.34,7.65,0,0,-6.11,96 M,101.50%
AQU,AQUARON ACQUISITION CORP COM,10.3799,0,0.00%,<empty>,10.34,11.89,0,0,.0452,73 M,<empty>
ARB,ALTSHARES TR ALTSHARES MERGER ARBITRAGE ETF,25.38,0,0.00%,<empty>,22.16,27.19,0,0,<empty>,0,<empty>
ARCE,ARCO PLATFORM LTD COM CL A,11.88,0,0.00%,<empty>,10.37,12.90,0,0,.0496,787 M,69.37%
ARCO,ARCOS DORADOS HOLDINGS INC COM,8.45,0,0.00%,<empty>,8.11,9.28,0,0,.73,"1,780 M",40.68%
ARGGY,ASTON MARTIN LAGONDA GBL HLDGS ADR UNSPONSORED,3.5200,0,0.00%,<empty>,3.4600,3.5200,0,0,-1.217,"2,563 M",<empty>
ARHS,ARHAUS INC COM CL A,7.07,0,0.00%,<empty>,7.07,7.10,0,0,1.1,990 M,59.83%
ARKO,ARKO CORP COM,7.25,0,0.00%,<empty>,7.07,7.60,0,0,.51,872 M,61.98%
ARKOW,ARKO CORP WARRANT,1.1000,0,0.00%,<empty>,.9607,1.2600,0,0,<empty>,0,<empty>
ARKR,ARK RESTAURANTS CORP COM,18.0719,0,0.00%,<empty>,16.31,18.25,0,0,2.01,65 M,<empty>
ARMK,ARAMARK COM,39.48,0,0.00%,<empty>,38.13,40.70,0,0,.95,"10,289 M",27.35%
ASAP,WAITR HOLDINGS INC COM,.218725,0,0.00%,<empty>,.201100,.226900,0,0,-13.51,3 M,<empty>
ASCA,A SPAC I ACQUISITION CORP COM CL A,10.47,0,0.00%,<empty>,10.47,11.99,0,0,-1.63,57 M,<empty>
ASCCY,ASICS CORP ADR UNSPONSORED,26.635,0,0.00%,<empty>,.010,915.800,0,0,1.095,"4,878 M",<empty>
ASOMY,ASOS PLC ADR UNSPONSORED,4.27,0,0.00%,<empty>,3.20,7.10,0,0,-2.889,509 M,<empty>
ASPU,ASPEN GROUP INC COM,.1460,0,0.00%,<empty>,.1000,.2800,0,0,-.38,3.7 M,<empty>
ATAT,ATOUR LIFESTYLE HLDGS LTD ADR,16.16,0,0.00%,<empty>,16.17,16.88,0,0,.1214,"2,119 M",<empty>
ATGE,ADTALEM GLOBAL EDUCATION INC COM,41.50,0,0.00%,<empty>,36.24,47.52,0,0,1.96,"1,810 M",39.90%
ATZAF,ARITZIA INC COM,25.62,0,0.00%,<empty>,24.54,125.70,0,0,1.194,"2,831 M",<empty>
AURI,AURI INC COM,.00045,0,0.00%,<empty>,.00040,.00050,0,0,<empty>,0.04 M,<empty>
AVDWF,ADVENT AWI HOLDINGS INC COM,.4500,0,0.00%,<empty>,.0210,1.2500,0,0,-.0571,5.4 M,<empty>
AWON,A1 GROUP INC COM,.0185,0,0.00%,<empty>,.0044,.0420,0,0,<empty>,7.6 M,<empty>
BABB,BAB INC COM,.7265,0,0.00%,<empty>,.7071,.7490,0,0,.0549,5.3 M,<empty>
BALY,BALLYS CORPORATION COM,13.59,0,0.00%,<empty>,12.80,15.57,0,0,-4.11,627 M,63.20%
BBRYF,BURBERRY GROUP COM,27.0955,0,0.00%,<empty>,25.5900,27.6300,0,0,1.546,"10,248 M",<empty>
BC,BRUNSWICK CORP COM,75.50,0,0.00%,<empty>,66.60,80.00,0,0,8.31,"5,339 M",39.06%
BCCI,BARISTAS COFFEE COMPANY INC COM,.0017,0,0.00%,<empty>,.0009,.0019,0,0,<empty>,0.16 M,<empty>
BDL,FLANIGAN'S ENTERPRISES INC COM,30.74,0,0.00%,<empty>,26.84,35.20,0,0,3.03,57 M,<empty>
BDVB,BAGGERS DAVES BURGER TAVERN IN COM,.0850,0,0.00%,<empty>,.0700,.0900,0,0,-.05,2.3 M,<empty>
BEBE,BEBE STORES INC COM,2.55,0,0.00%,<empty>,2.60,2.92,0,0,.0605,33 M,<empty>
BEDU,BRIGHT SCHOLAR EDUCATION HLDGS ADR,1.62,0,0.00%,<empty>,1.62,1.77,0,0,-.8032,48 M,<empty>
BEVFF,DIVERSIFIED RTY CORP COM,2.068,0,0.00%,<empty>,2.030,2.110,0,0,.0879,295 M,<empty>
