,0
0,accident_health_insurance
1,advertising_agencies
2,aerospace_defense_major_diversified
3,aerospace_defense_products_services
4,aggressive_small_caps
5,agricultural_chemicals
6,air_delivery_freight_services
7,air_services_other
8,all_cryptocurrencies_au
9,all_cryptocurrencies_ca
10,all_cryptocurrencies_eu
11,all_cryptocurrencies_gb
12,all_cryptocurrencies_in
13,all_cryptocurrencies_us
14,aluminum
15,apparel_stores
16,appliances
17,application_software
18,asset_management
19,auto_dealerships
20,auto_manufacturers_major
21,auto_parts
22,auto_parts_stores
23,auto_parts_wholesale
24,basic_materials
25,basic_materials_wholesale
26,beverages_brewers
27,beverages_soft_drinks
28,beverages_wineries_distillers
29,biotechnology
30,broadcasting_radio
31,broadcasting_tv
32,building_materials_wholesale
33,business_equipment
34,business_services
35,business_software_services
36,catalog_mail_order_houses
37,catv_systems
38,cement
39,chemicals_major_diversified
40,cigarettes
41,cleaning_products
42,closedend_fund_debt
43,closedend_fund_equity
44,closedend_fund_foreign
45,communication_equipment
46,computer_based_systems
47,computer_peripherals
48,computers_wholesale
49,confectioners
50,conglomerates
51,conservative_foreign_funds
52,consumer_defensive
53,consumer_goods
54,consumer_services
55,copper
56,credit_services
57,dairy_products
58,data_storage_devices
59,day_gainers
60,day_gainers_americas
61,day_gainers_asia
62,day_gainers_au
63,day_gainers_br
64,day_gainers_ca
65,day_gainers_de
66,day_gainers_dji
67,day_gainers_es
68,day_gainers_europe
69,day_gainers_fr
70,day_gainers_gb
71,day_gainers_hk
72,day_gainers_in
73,day_gainers_it
74,day_gainers_ndx
75,day_gainers_nz
76,day_gainers_sg
77,day_losers
78,day_losers_americas
79,day_losers_asia
80,day_losers_au
81,day_losers_br
82,day_losers_ca
83,day_losers_de
84,day_losers_dji
85,day_losers_es
86,day_losers_europe
87,day_losers_fr
88,day_losers_gb
89,day_losers_hk
90,day_losers_in
91,day_losers_it
92,day_losers_ndx
93,day_losers_nz
94,day_losers_sg
95,department_stores
96,diagnostic_substances
97,discount_variety_stores
98,diversified_communication_services
99,diversified_computer_systems
100,diversified_electronics
101,diversified_investments
102,diversified_machinery
103,diversified_utilities
104,drug_delivery
105,drug_manufacturers_major
106,drug_manufacturers_other
107,drug_related_products
108,drug_stores
109,drugs_generic
110,drugs_wholesale
111,education_training_services
112,electric_utilities
113,electronic_equipment
114,electronics_stores
115,electronics_wholesale
116,entertainment_diversified
117,fair_value_screener
118,farm_construction_machinery
119,farm_products
120,financial
121,food_major_diversified
122,food_wholesale
123,foreign_money_center_banks
124,foreign_regional_banks
125,foreign_utilities
126,gaming_activities
127,gas_utilities
128,general_building_materials
129,general_contractors
130,general_entertainment
131,gold
132,grocery_stores
133,growth_technology_stocks
134,health_care_plans
135,healthcare
136,healthcare_information_services
137,heavy_construction
138,high_yield_bond
139,home_furnishing_stores
140,home_furnishings_fixtures
141,home_health_care
142,home_improvement_stores
143,hospitals
144,housewares_accessories
145,independent_oil_gas
146,industrial_electrical_equipment
147,industrial_equipment_components
148,industrial_equipment_wholesale
149,industrial_goods
150,industrial_metals_minerals
151,information_delivery_services
152,information_technology_services
153,insurance_brokers
154,internet_information_providers
155,internet_service_providers
156,internet_software_services
157,investment_brokerage_national
158,investment_brokerage_regional
159,jewelry_stores
160,life_insurance
161,lodging
162,long_distance_carriers
163,longterm_care_facilities
164,lumber_wood_production
165,machine_tools_accessories
166,major_airlines
167,major_integrated_oil_gas
168,management_services
169,marketing_services
170,meat_products
171,medical_appliances_equipment
172,medical_equipment_wholesale
173,medical_instruments_supplies
174,medical_laboratories_research
175,mega_cap_hc
176,metal_fabrication
177,money_center_banks
178,mortgage_investment
179,most_actives
180,most_actives_americas
181,most_actives_asia
182,most_actives_au
183,most_actives_br
184,most_actives_ca
185,most_actives_de
186,most_actives_dji
187,most_actives_es
188,most_actives_europe
189,most_actives_fr
190,most_actives_gb
191,most_actives_hk
192,most_actives_in
193,most_actives_it
194,most_actives_ndx
195,most_actives_nz
196,most_actives_sg
197,most_watched_tickers
198,movie_production_theaters
199,ms_basic_materials
200,ms_communication_services
201,ms_consumer_cyclical
202,ms_consumer_defensive
203,ms_energy
204,ms_financial_services
205,ms_healthcare
206,ms_industrials
207,ms_real_estate
208,ms_technology
209,ms_utilities
210,multimedia_graphics_software
211,networking_communication_devices
212,nonmetallic_mineral_mining
213,office_supplies
