Watchlist 'staples.csv'

staples.csv
Symbol,Last,Net Chng,Bid,Ask
AAPT,.0001,0,.0001,.0002
ABEV,2.7850,-.045,2.7800,2.7900
ABTI,.0150,-.005,.0160,.0333
ADWPF,3.02,0,2.95,3.06
AFRI,10.40,+.02,10.29,11.40
AFRIW,.6000,0,.4600,.6000
AGRO,8.64,+.02,8.64,8.65
AHFD,.0001,0,.0001,.0002
AJINY,38.59,0,38.56,38.63
AMNF,4.10,0,4.06,4.23
ANFIF,.0001,0,.3750,.8500
ARZTY,.7762,-.0038,.7550,.7762
ASBFY,22.631,-.339,22.610,22.690
ASCC,.0300,0,.0214,.0460
ASRE,.1800,0,.1510,.1700
AVO,12.21,+.07,12.13,12.22
BABYF,.5662,+.0162,.5500,.5666
BCBCF,.0900,0,.0680,.0990
BF/A,62.2344,-.4356,62.22,62.36
BF/B,61.22,-.31,61.20,61.24
BGS,12.855,-.045,12.84,12.86
BLEG,.0046,0,.0043,.0052
BLIAQ,.0017,0,.0010,.0110
BLIBQ,.0001,0,.0030,.0500
BRCC,5.2299,-.4001,5.22,5.23
BRFH,1.2522,0,1.2600,1.3400
BRFS,1.59,+.10,1.58,1.59
BRID,12.12,0,12.10,12.20
BSFC,.0955,-.0118,.0953,.0955
BTAFF,32.27,+.55,31.55,32.43
BTI,31.78,-.54,31.77,31.78
BTTR,.3675,+.0175,.3521,.3700
BUD,53.305,-1.155,53.30,53.31
BUDFF,53.06,-1.41,53.01,53.85
BYND,10.28,-.02,10.29,10.31
CABGY,30.02,-.79,29.98,30.06
CAG,34.66,+.37,34.65,34.66
CALM,47.41,-.07,47.39,47.43
CBDW,.0420,-.0001,.0350,.0500
CBYDF,10.8557,0,10.6300,10.9400
CCU,15.01,-.22,15.00,15.05
CENT,37.02,+.30,36.88,36.99
CENTA,35.035,+.355,34.94,35.02
CHD,92.00,+.28,91.98,92.00
CHUC,.0800,0,.0800,.0895
CIADY,38.60,+.08,38.42,38.80
CIRC,50.28,0,49.66,49.78
CL,74.63,-.32,74.64,74.65
CLX,158.035,+1.095,157.96,158.11
CMFO,.0001,0,.0220,.0320
