,n_estimators,learning_rate,score
10_0.01,10,0.01,0.5536674516805745
10_0.026250000000000002,10,0.026250000000000002,0.5538352288574366
10_0.0425,10,0.0425,0.5541587403916424
10_0.058750000000000004,10,0.058750000000000004,0.5546302955447424
10_0.075,10,0.075,0.5550967899318734
10_0.09125,10,0.09125,0.5559773503906074
10_0.1075,10,0.1075,0.5566007490994088
10_0.12375,10,0.12375,0.5575039248875097
10_0.14,10,0.14,0.5578341033110632
10_0.15625,10,0.15625,0.5588603716692354
10_0.17250000000000001,10,0.17250000000000001,0.558609137872628
10_0.18875000000000003,10,0.18875000000000003,0.5610556410432631
10_0.20500000000000002,10,0.20500000000000002,0.5603357538682732
10_0.22125,10,0.22125,0.561358714996601
10_0.23750000000000002,10,0.23750000000000002,0.5614589611883
10_0.25375000000000003,10,0.25375000000000003,0.5616141620886981
10_0.27,10,0.27,0.5628079473769103
10_0.28625,10,0.28625,0.5655326338025236
10_0.3025,10,0.3025,0.5665324298969348
10_0.31875000000000003,10,0.31875000000000003,0.5645317370133318
10_0.335,10,0.335,0.5668016164745536
10_0.35125,10,0.35125,0.5666392742880481
10_0.36750000000000005,10,0.36750000000000005,0.570488402364314
10_0.38375000000000004,10,0.38375000000000004,0.5673493064732245
10_0.4,10,0.4,0.566295118953982
35_0.01,35,0.01,0.5538853592943006
35_0.026250000000000002,35,0.026250000000000002,0.5556717473481558
35_0.0425,35,0.0425,0.557675343342591
35_0.058750000000000004,35,0.058750000000000004,0.5587856112174505
35_0.075,35,0.075,0.5601500277747898
35_0.09125,35,0.09125,0.5613586865489049
35_0.1075,35,0.1075,0.5625800886120259
35_0.12375,35,0.12375,0.5642363062447303
35_0.14,35,0.14,0.5642676089382567
35_0.15625,35,0.15625,0.567670102900064
35_0.17250000000000001,35,0.17250000000000001,0.5675251353255455
35_0.18875000000000003,35,0.18875000000000003,0.5704276309901236
35_0.20500000000000002,35,0.20500000000000002,0.5703612759522317
35_0.22125,35,0.22125,0.5718287043203794
35_0.23750000000000002,35,0.23750000000000002,0.5710259379452064
35_0.25375000000000003,35,0.25375000000000003,0.5737128079678981
35_0.27,35,0.27,0.5774458243014547
35_0.28625,35,0.28625,0.5806211671453528
35_0.3025,35,0.3025,0.5816993578754671
35_0.31875000000000003,35,0.31875000000000003,0.5784042348231047
35_0.335,35,0.335,0.582934920125358
35_0.35125,35,0.35125,0.582720470150364
35_0.36750000000000005,35,0.36750000000000005,0.5891496210896582
35_0.38375000000000004,35,0.38375000000000004,0.5880144647299514
35_0.4,35,0.4,0.5843094669674708
60_0.01,60,0.01,0.5545093345043369
60_0.026250000000000002,60,0.026250000000000002,0.5575622422543856
60_0.0425,60,0.0425,0.5599136878346271
60_0.058750000000000004,60,0.058750000000000004,0.561541150022646
60_0.075,60,0.075,0.5640115329323936
60_0.09125,60,0.09125,0.5649217304735166
60_0.1075,60,0.1075,0.5662035619148564
60_0.12375,60,0.12375,0.5681610760020992
60_0.14,60,0.14,0.5689589561492872
60_0.15625,60,0.15625,0.5736072053483606
60_0.17250000000000001,60,0.17250000000000001,0.5744018765047547
60_0.18875000000000003,60,0.18875000000000003,0.5769945355307735
60_0.20500000000000002,60,0.20500000000000002,0.5770709898279093
60_0.22125,60,0.22125,0.5790456392237764
60_0.23750000000000002,60,0.23750000000000002,0.5785374730711583
60_0.25375000000000003,60,0.25375000000000003,0.5827943303579879
60_0.27,60,0.27,0.5857396243400752
60_0.28625,60,0.28625,0.5897456556291429
60_0.3025,60,0.3025,0.5928494795929714
60_0.31875000000000003,60,0.31875000000000003,0.5873831045302441
60_0.335,60,0.335,0.5949753849766287
60_0.35125,60,0.35125,0.5976493524246539
60_0.36750000000000005,60,0.36750000000000005,0.6012336998840198
60_0.38375000000000004,60,0.38375000000000004,0.6034221984217294
60_0.4,60,0.4,0.6017338070439235
85_0.01,85,0.01,0.5554371129436374
85_0.026250000000000002,85,0.026250000000000002,0.5588905132883353
85_0.0425,85,0.0425,0.5618332406437738
85_0.058750000000000004,85,0.058750000000000004,0.5639059612904784
85_0.075,85,0.075,0.5664648853441105
85_0.09125,85,0.09125,0.5681320329263826
85_0.1075,85,0.1075,0.5694464405161549
85_0.12375,85,0.12375,0.570820932263794
85_0.14,85,0.14,0.5731275335697826
85_0.15625,85,0.15625,0.5781485441025669
85_0.17250000000000001,85,0.17250000000000001,0.5790373805367492
85_0.18875000000000003,85,0.18875000000000003,0.5817143147556348
85_0.20500000000000002,85,0.20500000000000002,0.5809991919027532
85_0.22125,85,0.22125,0.5856356711864666
85_0.23750000000000002,85,0.23750000000000002,0.5851432467486049
85_0.25375000000000003,85,0.25375000000000003,0.5911261313530949
85_0.27,85,0.27,0.5936384890876468
85_0.28625,85,0.28625,0.5989011691257313
85_0.3025,85,0.3025,0.6014308093317655
85_0.31875000000000003,85,0.31875000000000003,0.5985464660065681
85_0.335,85,0.335,0.6021388483555307
85_0.35125,85,0.35125,0.6112002350609782
85_0.36750000000000005,85,0.36750000000000005,0.6134158724781845
85_0.38375000000000004,85,0.38375000000000004,0.613688202520321
85_0.4,85,0.4,0.6173156465272273
110_0.01,110,0.01,0.5562370755868148
110_0.026250000000000002,110,0.026250000000000002,0.5601804590951918
110_0.0425,110,0.0425,0.5631047710500603
110_0.058750000000000004,110,0.058750000000000004,0.5654851170378301
110_0.075,110,0.075,0.5680386900621294
110_0.09125,110,0.09125,0.5698643056476704
110_0.1075,110,0.1075,0.5711569371123952
110_0.12375,110,0.12375,0.5732627248034179
110_0.14,110,0.14,0.5762447645933159
110_0.15625,110,0.15625,0.5820707301674912
110_0.17250000000000001,110,0.17250000000000001,0.5834017446848228
110_0.18875000000000003,110,0.18875000000000003,0.5861618159147746
110_0.20500000000000002,110,0.20500000000000002,0.5869814580122653
110_0.22125,110,0.22125,0.5920466241904244
110_0.23750000000000002,110,0.23750000000000002,0.5917590307522107
110_0.25375000000000003,110,0.25375000000000003,0.5979224222619552
110_0.27,110,0.27,0.6015151255922268
110_0.28625,110,0.28625,0.6063407649186037
110_0.3025,110,0.3025,0.6084670537151835
110_0.31875000000000003,110,0.31875000000000003,0.6091861912061768
110_0.335,110,0.335,0.6123185960153691
110_0.35125,110,0.35125,0.6206402675925616
110_0.36750000000000005,110,0.36750000000000005,0.6252394252826771
110_0.38375000000000004,110,0.38375000000000004,0.6261473373772988
110_0.4,110,0.4,0.6301201062361791
135_0.01,135,0.01,0.556878396653163
135_0.026250000000000002,135,0.026250000000000002,0.5611124911042323
135_0.0425,135,0.0425,0.5642186853060422
135_0.058750000000000004,135,0.058750000000000004,0.5672586610940229
135_0.075,135,0.075,0.5690038645237203
135_0.09125,135,0.09125,0.571330290882995
135_0.1075,135,0.1075,0.5731640381223091
135_0.12375,135,0.12375,0.5753077523719982
135_0.14,135,0.14,0.5788237549184859
135_0.15625,135,0.15625,0.5857790529151934
135_0.17250000000000001,135,0.17250000000000001,0.5874299698433366
135_0.18875000000000003,135,0.18875000000000003,0.58889215818635
135_0.20500000000000002,135,0.20500000000000002,0.5932837211233974
135_0.22125,135,0.22125,0.5966399220242322
135_0.23750000000000002,135,0.23750000000000002,0.5960152554978146
135_0.25375000000000003,135,0.25375000000000003,0.6019313788728177
135_0.27,135,0.27,0.608335159396056
135_0.28625,135,0.28625,0.6120930495410435
135_0.3025,135,0.3025,0.615146888874803
135_0.31875000000000003,135,0.31875000000000003,0.6169641473966727
135_0.335,135,0.335,0.618844141454722
135_0.35125,135,0.35125,0.6300952388880682
135_0.36750000000000005,135,0.36750000000000005,0.634912014836713
135_0.38375000000000004,135,0.38375000000000004,0.6406839764505974
135_0.4,135,0.4,0.6409161230196847
160_0.01,160,0.01,0.5574721710705264
160_0.026250000000000002,160,0.026250000000000002,0.5618740677926485
160_0.0425,160,0.0425,0.5653032020572366
160_0.058750000000000004,160,0.058750000000000004,0.5681623211219752
160_0.075,160,0.075,0.5704101701319954
160_0.09125,160,0.09125,0.5742700723290268
160_0.1075,160,0.1075,0.575497031100561
160_0.12375,160,0.12375,0.5781159306637095
160_0.14,160,0.14,0.5820454893711853
160_0.15625,160,0.15625,0.5888210824588935
160_0.17250000000000001,160,0.17250000000000001,0.5906233571227282
160_0.18875000000000003,160,0.18875000000000003,0.5942746962004697
160_0.20500000000000002,160,0.20500000000000002,0.5980861180193763
160_0.22125,160,0.22125,0.6010766003614029
160_0.23750000000000002,160,0.23750000000000002,0.601686133978934
160_0.25375000000000003,160,0.25375000000000003,0.6079938941277326
160_0.27,160,0.27,0.6133741708167537
160_0.28625,160,0.28625,0.6188573274589946
160_0.3025,160,0.3025,0.61985165040621
160_0.31875000000000003,160,0.31875000000000003,0.6251408049476087
160_0.335,160,0.335,0.6255173824547688
160_0.35125,160,0.35125,0.6393055285588426
160_0.36750000000000005,160,0.36750000000000005,0.6436142852040594
160_0.38375000000000004,160,0.38375000000000004,0.6471856184658158
160_0.4,160,0.4,0.6504065719205009
185_0.01,185,0.01,0.5582064877825782
185_0.026250000000000002,185,0.026250000000000002,0.562773187555002
185_0.0425,185,0.0425,0.5665884859957728
185_0.058750000000000004,185,0.058750000000000004,0.5691964011767612
185_0.075,185,0.075,0.571378167750907
185_0.09125,185,0.09125,0.5764764668102046
185_0.1075,185,0.1075,0.5774738060986129
185_0.12375,185,0.12375,0.5802766293592514
185_0.14,185,0.14,0.58465221256093
185_0.15625,185,0.15625,0.5920519549911755
185_0.17250000000000001,185,0.17250000000000001,0.5937402989789249
185_0.18875000000000003,185,0.18875000000000003,0.5971934236544049
185_0.20500000000000002,185,0.20500000000000002,0.6034942093569787
185_0.22125,185,0.22125,0.6053864307450005
185_0.23750000000000002,185,0.23750000000000002,0.6077214713881783
185_0.25375000000000003,185,0.25375000000000003,0.6135707499841634
185_0.27,185,0.27,0.6175543100692674
185_0.28625,185,0.28625,0.6248950721383093
185_0.3025,185,0.3025,0.6294769683461525
185_0.31875000000000003,185,0.31875000000000003,0.6310910436943605
185_0.335,185,0.335,0.6348436821611334
185_0.35125,185,0.35125,0.6458347246560578
185_0.36750000000000005,185,0.36750000000000005,0.6498856078756258
185_0.38375000000000004,185,0.38375000000000004,0.6554442753562064
185_0.4,185,0.4,0.6621196928005839
210_0.01,210,0.01,0.5586064638103692
210_0.026250000000000002,210,0.026250000000000002,0.5634164162834471
210_0.0425,210,0.0425,0.5676687239208359
210_0.058750000000000004,210,0.058750000000000004,0.5703340106901656
210_0.075,210,0.075,0.5734955813145383
210_0.09125,210,0.09125,0.5778806944850474
210_0.1075,210,0.1075,0.5789971304059074
210_0.12375,210,0.12375,0.5835360515633666
210_0.14,210,0.14,0.5884647457663902
210_0.15625,210,0.15625,0.595052280362281
210_0.17250000000000001,210,0.17250000000000001,0.597193109409622
210_0.18875000000000003,210,0.18875000000000003,0.6003399757798964
210_0.20500000000000002,210,0.20500000000000002,0.6064037995833281
210_0.22125,210,0.22125,0.6097882197593224
210_0.23750000000000002,210,0.23750000000000002,0.6117481441315028
210_0.25375000000000003,210,0.25375000000000003,0.6173051199810884
210_0.27,210,0.27,0.6221461213677892
210_0.28625,210,0.28625,0.629756944383337
210_0.3025,210,0.3025,0.6360964309563567
210_0.31875000000000003,210,0.31875000000000003,0.6382421628507524
210_0.335,210,0.335,0.6421250804571855
210_0.35125,210,0.35125,0.6521612132488447
210_0.36750000000000005,210,0.36750000000000005,0.6573132570951409
210_0.38375000000000004,210,0.38375000000000004,0.6625170531425724
210_0.4,210,0.4,0.6703020045302567
235_0.01,235,0.01,0.5590690036820402
235_0.026250000000000002,235,0.026250000000000002,0.5642203281258413
235_0.0425,235,0.0425,0.5682312517479375
235_0.058750000000000004,235,0.058750000000000004,0.5710859633816392
235_0.075,235,0.075,0.5750713593038006
235_0.09125,235,0.09125,0.5795755558297022
235_0.1075,235,0.1075,0.5810572191396143
235_0.12375,235,0.12375,0.586177816448525
235_0.14,235,0.14,0.5907918575715357
235_0.15625,235,0.15625,0.5981050393293138
235_0.17250000000000001,235,0.17250000000000001,0.5999374564983535
235_0.18875000000000003,235,0.18875000000000003,0.604864071662773
235_0.20500000000000002,235,0.20500000000000002,0.6100653734365667
235_0.22125,235,0.22125,0.6122968973613493
235_0.23750000000000002,235,0.23750000000000002,0.6151164449327206
235_0.25375000000000003,235,0.25375000000000003,0.6220095426376606
235_0.27,235,0.27,0.6278743577436998
235_0.28625,235,0.28625,0.6370588150865821
235_0.3025,235,0.3025,0.6405707665125147
235_0.31875000000000003,235,0.31875000000000003,0.643480307599343
235_0.335,235,0.335,0.6479612720838369
235_0.35125,235,0.35125,0.6591275532467851
235_0.36750000000000005,235,0.36750000000000005,0.6630182607866362
235_0.38375000000000004,235,0.38375000000000004,0.6684398848326872
235_0.4,235,0.4,0.6767586185549993
260_0.01,260,0.01,0.559598770172861
260_0.026250000000000002,260,0.026250000000000002,0.5647820133952969
260_0.0425,260,0.0425,0.5692336810016518
260_0.058750000000000004,260,0.058750000000000004,0.5724936355433571
260_0.075,260,0.075,0.5766558423931265
260_0.09125,260,0.09125,0.5810416780188072
260_0.1075,260,0.1075,0.5835717867415048
260_0.12375,260,0.12375,0.588677242586437
260_0.14,260,0.14,0.5933055810460334
260_0.15625,260,0.15625,0.6004122740631765
260_0.17250000000000001,260,0.17250000000000001,0.6034402621613699
260_0.18875000000000003,260,0.18875000000000003,0.609024998374475
260_0.20500000000000002,260,0.20500000000000002,0.6138158314905404
260_0.22125,260,0.22125,0.6168737568113416
260_0.23750000000000002,260,0.23750000000000002,0.6176575146400441
260_0.25375000000000003,260,0.25375000000000003,0.6251881977926065
260_0.27,260,0.27,0.632047062681567
260_0.28625,260,0.28625,0.6425558554432493
260_0.3025,260,0.3025,0.6465812748191151
260_0.31875000000000003,260,0.31875000000000003,0.6491352578623166
260_0.335,260,0.335,0.6534493864255556
260_0.35125,260,0.35125,0.6654671112510882
260_0.36750000000000005,260,0.36750000000000005,0.6688959925923157
260_0.38375000000000004,260,0.38375000000000004,0.6752437420012276
260_0.4,260,0.4,0.6832512280040337
285_0.01,285,0.01,0.5601080089376306
285_0.026250000000000002,285,0.026250000000000002,0.5657325240076058
285_0.0425,285,0.0425,0.5697171649993903
285_0.058750000000000004,285,0.058750000000000004,0.5735262821741546
285_0.075,285,0.075,0.578130033169598
285_0.09125,285,0.09125,0.5821651232469365
285_0.1075,285,0.1075,0.5860525846598583
285_0.12375,285,0.12375,0.5910672168076617
285_0.14,285,0.14,0.5959577696142291
285_0.15625,285,0.15625,0.6034195554044975
285_0.17250000000000001,285,0.17250000000000001,0.6061014719424589
285_0.18875000000000003,285,0.18875000000000003,0.6126010704563353
285_0.20500000000000002,285,0.20500000000000002,0.6167881665799254
285_0.22125,285,0.22125,0.6215624000947876
285_0.23750000000000002,285,0.23750000000000002,0.6220781802843608
285_0.25375000000000003,285,0.25375000000000003,0.6297395370887381
285_0.27,285,0.27,0.635689930412488
285_0.28625,285,0.28625,0.6477583235040258
285_0.3025,285,0.3025,0.649717286113251
