article_id,title,timestamp,link,comments,locked_pro,paywalled,author_id,sentiment_ids,primary_tickers,secondary_tickers,ticker
4600733,My Largest Investment: Tours And Management Meetings With RCI Hospitality,2023-05-09T08:05:00-04:00,/article/4600733-my-largest-investment-tours-and-management-meetings-with-rci-hospitality,84,False,False,102019,['454349'],['2469'],[],RICK
4591477,RCI Hospitality: A Comprehensive Analysis Of A Fast-Growing Serial Acquirer,2023-03-31T07:29:28-04:00,/article/4591477-rci-hospitality-comprehensive-analysis-fast-growing-serial-acquire,15,False,False,106760,['447298'],['2469'],[],RICK
4579819,"RCI Hospitality: Why Does Everybody Focus On Bombshells, The Least Important Segment?",2023-02-23T10:00:00-05:00,/article/4579819-rci-hospitality-why-focus-on-bombshells-least-important-segment,52,False,False,106521,['438766'],['2469'],[],RICK
4575435,RCI Hospitality Should Perform Well In 2023,2023-02-05T05:15:07-05:00,/article/4575435-rci-hospitality-should-perform-well-in-2023,12,False,False,94986,['435749'],['2469'],[],RICK
4575384,Greystone Capital - RCI Hospitality: No Signs Of Slowing Down,2023-02-04T22:00:00-05:00,/article/4575384-rci-hospitality-stock-no-signs-of-slowing-down,9,False,False,105080,[],['2469'],[],RICK
4569593,RCI Hospitality: Stellar Execution And An Attractive Valuation,2023-01-12T14:44:39-05:00,/article/4569593-rci-hospitality-stellar-execution-and-an-attractive-valuation,36,False,False,106709,['430941'],['2469'],[],RICK
4563571,"My Largest Investment: Interview With Eric Langan, CEO Of RCI Hospitality",2022-12-13T08:05:00-05:00,/article/4563571-my-largest-investment-interview-with-eric-langan-ceo-of-rci-hospitality,53,False,False,102019,['424985'],['2469'],[],RICK
4560481,RCI Hospitality: What Happens In Houston,2022-11-25T10:29:18-05:00,/article/4560481-rci-hospitality-what-happens-in-houston,32,False,False,94986,['422308'],['2469'],[],RICK
4548546,RCI Hospitality: A Quick Update On RICK Revenues,2022-10-24T12:07:45-04:00,/article/4548546-rci-hospitality-a-quick-update-on-rick-revenues,21,False,False,106709,['416058'],['2469'],[],RICK
4544793,A Deep Dive Into RCI Hospitality,2022-10-05T10:20:36-04:00,/article/4544793-deep-dive-into-rci-hospitality,19,False,False,106709,['412567'],['2469'],[],RICK
4536396,RCI Hospitality: Execution Continues To Be On Point,2022-08-23T10:32:27-04:00,/article/4536396-rci-hospitality-execution-continues-to-be-on-point,24,False,False,106709,['388863'],['2469'],[],RICK
4535512,An Update On My Largest Investment: RCI Hospitality,2022-08-22T08:05:00-04:00,/article/4535512-an-update-on-my-largest-investment-rci-hospitality,42,False,False,102019,['405521'],['2469'],[],RICK
4531375,I Am Buying RCI Hospitality Hand Over Fist,2022-08-08T08:05:00-04:00,/article/4531375-buying-rci-hospitality-hand-over-fist,53,False,False,102019,['386449'],['2469'],[],RICK
4528063,Greystone Capital - RCI Hospitality: One Of The Cheapest Stocks In The Entire Restaurant Universe,2022-07-31T08:36:00-04:00,/article/4528063-rci-hospitality-one-of-the-cheapest-stocks-in-the-entire-restaurant-universe,9,False,False,105080,[],['2469'],[],RICK
4522655,RCI Hospitality: My Single Largest Investment,2022-07-11T08:05:00-04:00,/article/4522655-my-single-largest-investment-rci-hospitality,70,False,False,102019,['382029'],['2469'],[],RICK
4513329,RCI Hospitality: Continued Strong Recovery From Covid,2022-05-20T03:03:02-04:00,/article/4513329-rci-hospitality-continued-strong-recovery-from-covid,43,False,False,106299,['374363'],['2469'],[],RICK
4508969,RCI Hospitality: You Can Teach An Old Dog New Tricks,2022-05-09T08:33:56-04:00,/article/4508969-rci-hospitality-you-can-teach-an-old-dog-new-tricks,15,False,False,106521,['372933'],['2469'],[],RICK
4506726,RCI Hospitality: A Meme Stock In The Making,2022-05-05T08:15:00-04:00,/article/4506726-rci-hospitality-a-meme-stock-in-the-making,66,False,False,102019,['372456'],['2469'],[],RICK
4496793,RCI Hospitality: My Mea Culpa Moment - I Was Wrong About The Stock,2022-03-21T10:45:40-04:00,/article/4496793-rci-hospitality-mea-culpa-moment-i-was-wrong-stock,44,False,False,106147,['366283'],['2469'],[],RICK
4494401,RCI Hospitality: A Strong Covid-19 Recovery Play,2022-03-10T11:34:28-05:00,/article/4494401-rci-hospitality-a-strong-covid-19-recovery-play,8,False,False,106299,['364983'],['2469'],[],RICK
4488892,RCI Hospitality: Dominating The Nightclub Industry And Building A Nationally Franchised Chain,2022-02-22T02:00:37-05:00,/article/4488892-rci-hospitality-building-nationally-franchised-nightclub-chain-dominating-industry,21,False,False,106299,['362451'],['2469'],[],RICK
4485058,Greystone Capital Management - RCI Hospitality: Best-Executing And Cheapest Stock In Our Portfolio,2022-02-08T06:48:00-05:00,/article/4485058-greystone-capital-management-rci-hospitality-best-executing-and-cheapest-stock-in-our-portfolio,5,False,False,105080,[],['2469'],[],RICK
4477092,My #1 Pick For 2022: RCI Hospitality,2021-12-30T08:25:00-05:00,/article/4477092-rci-hospitality-rick-best-stock-pick-2021,221,False,False,102019,['354735'],['2469'],[],RICK
4451053,RCI Hospitality: Adult Entertainment May Be The Ultimate Reopening Play,2021-08-21T08:15:46-04:00,/article/4451053-adult-entertainment-may-be-the-ultimate-reopening-play,114,False,False,106224,['338304'],['2469'],[],RICK
4432710,RCI Hospitality Holdings: Danger Lurks Beyond The Reopening Trade,2021-06-02T17:00:40-04:00,/article/4432710-rci-hospitality-holdings-stock-danger-lurks-beyond-the-reopening-trade,199,False,False,106147,['327455'],['2469'],[],RICK
4418366,Yaron Naymark From 1 Main Capital Discusses RCI Hospitality,2021-04-09T13:17:42-04:00,/article/4418366-yaron-naymark-discusses-rci-hospitality,39,False,False,93766,['320646'],['2469'],[],RICK
4396582,RCI Hospitality Needs A Pullback,2020-12-29T08:22:28-05:00,/article/4396582-rci-hospitality-needs-pullback,38,False,False,39011,['306844'],['2469'],[],RICK
4378362,Large Uncertainties Surrounding RCI Hospitality Require A Larger Margin Of Safety,2020-10-09T12:32:28-04:00,/article/4378362-large-uncertainties-surrounding-rci-hospitality-require-larger-margin-of-safety,15,False,False,104171,['295519'],['2469'],[],RICK
4351820,RCI Hospitality Holdings: An Undervalued Company With An Unconventional Business,2020-06-03T17:32:11-04:00,/article/4351820-rci-hospitality-holdings-undervalued-company-unconventional-business,14,False,False,105732,['277785'],['2469'],[],RICK
4343616,RCI Hospitality: A Cheap FCF Generator,2020-05-06T12:11:55-04:00,/article/4343616-rci-hospitality-cheap-fcf-generator,31,False,False,103832,['274017'],['2469'],[],RICK
4329519,Looking At RCI Hospitality's Q1 And Recent 10-K Reveal Deterioration And Questionable Decisions,2020-03-04T12:56:41-05:00,/article/4329519-looking-rci-hospitalitys-q1-and-recent-10-k-reveal-deterioration-and-questionable-decisions,74,False,False,57252,['263872'],['2469'],[],RICK
4323071,A Stock That Could 3x And Still Be Cheap: RCI Hospitality,2020-02-11T08:41:13-05:00,/article/4323071-stock-3x-and-still-be-cheap-rci-hospitality,95,False,False,103658,['260553'],['2469'],[],RICK
4314646,"Another Year, Another Late 10-K At RCI Hospitality",2019-12-31T07:20:55-05:00,/article/4314646-another-year-another-late-10-k-rci-hospitality,28,False,False,57252,['250168'],['2469'],[],RICK
4294146,RCI Hospitality's Informal Inquiry From The SEC Turns Into A Formal Investigation,2019-09-30T10:13:35-04:00,/article/4294146-rci-hospitalitys-informal-inquiry-from-sec-turns-formal-investigation,32,False,False,57252,['70639'],['2469'],[],RICK
4276546,RCI Hospitality: Not Cheap Enough Yet,2019-07-22T18:05:35-04:00,/article/4276546-rci-hospitality-not-cheap-enough-yet,127,False,False,57252,['53691'],['2469'],[],RICK
4266340,"RCI Hospitality: Negative Comps And SEC Smoke, Stay Away",2019-05-24T10:55:09-04:00,/article/4266340-rci-hospitality-negative-comps-and-sec-smoke-stay-away,41,False,False,57252,['40383'],['2469'],[],RICK
4265959,RCI Hospitality: Assessing The 10-Q Delay,2019-05-23T00:52:22-04:00,/article/4265959-rci-hospitality-assessing-10-q-delay,46,False,False,76785,['40091'],['2469'],[],RICK
4238325,RCI Hospitality: Sinfully Profitable,2019-02-05T16:35:01-05:00,/article/4238325-rci-hospitality-sinfully-profitable,72,False,False,32401,['7107'],['2469'],[],RICK
4235983,RCI Hospitality: Transitory Problems Create Opportunity,2019-02-05T05:00:00-05:00,/article/4235983-rci-hospitality-transitory-problems-create-opportunity,35,False,False,76785,['5877'],['2469'],[],RICK
4232785,"RCI Hospitality Q1 Reaction: Nightclubs Fine, Bombshells A Disaster",2019-01-11T07:13:44-05:00,/article/4232785-rci-hospitality-q1-reaction-nightclubs-fine-bombshells-disaster,34,False,False,57252,['4496'],['2469'],[],RICK
4231188,"New Year, Same Old RCI Hospitality",2019-01-03T05:40:18-05:00,/article/4231188-new-year-old-rci-hospitality,14,False,False,57252,['3593'],['2469'],[],RICK
4209165,RCI Hospitality: Troubling Relationships Reinforce Short Thesis,2018-10-09T05:00:00-04:00,/article/4209165-rci-hospitality-troubling-relationships-reinforce-short-thesis,62,False,False,57252,['20617'],['2469'],[],RICK
4200499,RCI Hospitality Short Thesis Is Intact,2018-08-20T08:46:34-04:00,/article/4200499-rci-hospitality-short-thesis-is-intact,56,False,False,57252,[],['2469'],[],RICK
4188708,RCI Hospitality Holdings - A 'Sin Stock' With Big Upside,2018-07-20T11:27:10-04:00,/article/4188708-rci-hospitality-holdings-sin-stock-big-upside,11,False,False,104636,['17637'],['2469'],[],RICK
4183691,RCI Hospitality: A Friendly Rebuttal Of Recent Negative Posts,2018-06-25T09:29:05-04:00,/article/4183691-rci-hospitality-friendly-rebuttal-of-recent-negative-posts,9,False,False,32401,['16714'],['2469'],[],RICK
4182032,Rough Week For RCI Hospitality: Bombshells Closure And Three New Lawsuits,2018-06-15T16:12:56-04:00,/article/4182032-rough-week-for-rci-hospitality-bombshells-closure-and-three-new-lawsuits,19,False,False,57252,['16414'],['2469'],[],RICK
4173462,RCI Hospitality Continues Its Run,2018-05-13T12:38:29-04:00,/article/4173462-rci-hospitality-continues-run,58,False,False,57252,[],['2469'],[],RICK
4167579,Booming Economy: Sinful Profits,2018-04-30T14:02:40-04:00,/article/4167579-booming-economy-sinful-profits,27,False,False,32401,['14682'],['2469'],[],RICK
4155792,Growth At A Reasonable Price: 47% Increase In Free Cash Flow,2018-03-13T04:06:03-04:00,/article/4155792-growth-reasonable-price-47-percent-increase-in-free-cash-flow,22,False,False,32401,['13128'],['2469'],[],RICK
4155679,Stick With RICK,2018-03-12T15:33:14-04:00,/article/4155679-stick-rick,10,False,False,57252,[],['2469'],[],RICK
4150465,RCI Is A Buy As Free Cash Flow Surges,2018-02-25T06:32:47-05:00,/article/4150465-rci-is-buy-free-cash-flow-surges,16,False,False,57252,[],['2469'],[],RICK
4136833,RCI Holdings: Is The 10-K Delay A Buying Opportunity?,2018-01-11T06:53:40-05:00,/article/4136833-rci-holdings-is-10-k-delay-buying-opportunity,17,False,False,57252,['10633'],['2469'],[],RICK
4115527,Booming Economy: Sinful Profits,2017-10-23T15:23:00-04:00,/article/4115527-booming-economy-sinful-profits,26,False,False,32401,['193825'],['2469'],[],RICK
4113138,The Land Where Cash Is King,2017-10-14T08:00:06-04:00,/article/4113138-land-where-cash-is-king,35,False,False,102107,[],['2469'],[],RICK
4103234,RCI Hospitality: Harvey Update,2017-08-31T05:34:23-04:00,/article/4103234-rci-hospitality-harvey-update,9,False,False,32401,[],['2469'],[],RICK
4098088,Was I Wrong To Sell RCI Hospitality?,2017-08-11T13:54:54-04:00,/article/4098088-was-i-wrong-to-sell-rci-hospitality,26,False,False,57252,[],['2469'],[],RICK
4097494,RCI Hospitality Holdings: Strong Off-Season Results Justifies $30+ Valuation,2017-08-10T13:29:45-04:00,/article/4097494-rci-hospitality-holdings-strong-off-season-results-justifies-30-plus-valuation,6,False,False,101941,['191020'],['2469'],[],RICK
4073343,Strip Clubs And Breastaurants: The Profits Of Sin,2017-05-15T14:12:34-04:00,/article/4073343-strip-clubs-and-breastaurants-profits-of-sin,58,False,False,32401,['187516'],['2469'],[],RICK
4071677,RCI Hospitality: A Long Awaited Deal,2017-05-10T12:33:12-04:00,/article/4071677-rci-hospitality-long-awaited-deal,9,False,False,57252,['187335'],['2469'],[],RICK
4045337,RCI Hospitality Will Be Getting Back Into M&A,2017-02-13T09:56:07-05:00,/article/4045337-rci-hospitality-will-be-getting-back-m,9,False,False,57252,[],['2469'],[],RICK
4034105,RCI Hospitality Holdings - Where Do We Go From Here?,2017-01-04T02:02:00-05:00,/article/4034105-rci-hospitality-holdings-where-go-from,19,False,False,87476,[],['2469'],[],RICK
4030940,"RCI Hospitality Holdings: Management Sticks To Shareholder-Friendly Script, But I'm Out",2016-12-16T08:22:30-05:00,/article/4030940-rci-hospitality-holdings-management-sticks-to-shareholder-friendly-script-out,14,False,False,57252,[],['2469'],[],RICK
4021447,RCI Hospitality Updates: Strong New Hire And Continued Capital Allocation Discipline,2016-11-09T06:29:01-05:00,/article/4021447-rci-hospitality-updates-strong-new-hire-and-continued-capital-allocation-discipline,53,False,False,57252,[],['2469'],[],RICK
3999713,Buybacks Will Drive Returns At RCI Hospitality,2016-08-15T17:29:12-04:00,/article/3999713-buybacks-will-drive-returns-rci-hospitality,62,False,False,57252,['177182'],['2469'],[],RICK
3996876,RCI Hospitality Instated A Berkshire-Like Buyback Threshold And Will Likely Exceed Its Raised FCF Guidance,2016-08-07T02:43:50-04:00,/article/3996876-rci-hospitality-instated-berkshire-like-buyback-threshold-and-will-likely-exceed-raised-fcf,18,False,False,84746,['176851'],['2469'],[],RICK
3996385,Is RCI Finally Becoming A Boring Stock?,2016-08-05T11:18:47-04:00,/article/3996385-is-rci-finally-becoming-boring-stock,6,False,False,41271,[],['2469'],[],RICK
