symbol,cluster
MDLZ,0
BKNG,0
ABNB,0
CL,0
CMG,0
ORLY,0
HSY,0
RACE,0
MAR,0
GIS,0
KHC,0
KMB,0
STZ,0
ABEV,0
LULU,0
LVS,0
DHI,0
YUM,0
HLT,0
ROST,0
LEN,0
LI,0
DASH,0
YUMC,0
MKC,0
K,0
QSR,0
CHD,0
HRL,0
GPC,0
TCOM,0
GRMN,0
CLX,0
DRI,0
AIU,0
TSN,0
CAG,0
LW,0
SJM,0
CPB,0
PHM,0
MGM,0
EXPE,0
LKQ,0
TAP,0
DECK,0
POOL,0
HTHT,0
KMX,0
IHG,0
H,0
WYNN,0
ARMK,0
DPZ,0
CHDN,0
MTN,0
BURL,0
FND,0
SCI,0
PAG,0
TPR,0
HAS,0
SKX,0
TOL,0
WSM,0
TXRH,0
LCID,1
TSLA,2
PG,2
HD,2
TM,2
LOW,2
SONY,2
F,2
STLA,2
HMC,2
GM,2
MCD,3
NKE,3
PM,3
SBUX,3
BUD,3
DEO,3
TJX,3
MO,3
BTI,3
AZO,3
RCL,3
NVR,3
BBY,3
CCL,3
CUK,3
NIO,3
DKNG,3
CZR,3
GME,3
