symbol,Description,Sector,Industry,asOfDate,DilutedEPS,NormalizedEBITDA,TotalRevenue,MarketCap,PriceYoY2021,PriceYoY2022,RevenueYoY2021,RevenueYoY2022,PeRatio
TSLA,TESLA INC COM,Consumer Cyclical,Auto Manufacturers,2021-12-31,1.633333,9598000000.0,53823000000.0,646357000000.0,59.52936861878886,-69.03419784690948,70.67161339421614,51.35165263920629,215.6694377482271
PG,PROCTER & GAMBLE CO COM,Consumer Defensive,Household & Personal Products,2021-06-30,5.5,20852000000.0,76118000000.0,335868000000.0,18.685968682207424,-4.324698007167674,7.28400281888654,5.345647547229302,24.532725941051137
HD,HOME DEPOT INC COM,Consumer Cyclical,Home Improvement Retail,2022-01-31,15.53,25946000000.0,151157000000.0,284974000000.0,59.87085436926288,-21.88447147916783,14.417530845507532,4.132127523038959,23.630393495578115
MCD,MCDONALD'S CORPORATION COM,Consumer Cyclical,Restaurants,2021-12-31,10.04,10374200000.0,23222900000.0,208157000000.0,28.51890604026495,-0.021463444093225807,20.903487125022128,-0.17353560494167394,26.700199932691113
TM,TOYOTA MOTOR CORP ADR UNSPONSORED,Consumer Cyclical,Auto Manufacturers,2021-03-31,14.34,41598785524.59,245624742456.32,184663000000.0,19.896027524384095,-26.14955916875089,15.303973129416265,18.403064777276455,10.882845018033038
NKE,NIKE INC COM CL B,Consumer Cyclical,Footwear & Accessories,2021-05-31,3.56,6937000000.0,44538000000.0,161783000000.0,18.158728143179108,-28.47627588019706,19.07600994572628,4.876734473932372,37.78370632214492
PM,PHILIP MORRIS INTL INC COM,Consumer Defensive,Tobacco,2021-12-31,5.83,12956000000.0,31405000000.0,139713000000.0,20.592855186876626,12.771645604024265,9.44796821635185,1.1367616621557077,16.295025728987994
LOW,LOWE'S COMPANIES INC COM,Consumer Cyclical,Home Improvement Retail,2022-01-31,12.04,13975000000.0,96250000000.0,119069000000.0,63.53367223298465,-20.819323116949487,7.425471834994475,0.8405194805194804,19.713455656438175
SONY,SONY GROUP CORPORATION ADR SPONSORED,Technology,Consumer Electronics,2021-03-31,8.46,14777615618.51,81223536294.36,115677000000.0,24.53202120776247,-38.96360712457479,10.24687311097678,16.31126220365785,12.530733113029605
SBUX,STARBUCKS CORP COM,Consumer Cyclical,Restaurants,2021-09-30,3.54,6656700000.0,29060600000.0,111934000000.0,9.9715109836205,-11.60818895713134,23.567480227910536,10.976029400631782,31.16101625948976
BUD,ANHEUSER-BUSCH INBEV SA/NV ADR SPONSORED,Consumer Defensive,Beverages—Brewers,2021-12-31,2.28,19297000000.0,54304000000.0,106083000000.0,-12.296172388585378,-2.457195232491003,15.833706618886115,6.412050677666469,26.557017209237085
MDLZ,MONDELEZ INTL INC COM CL A,Consumer Defensive,Confectioners,2021-12-31,3.04,6174000000.0,28720000000.0,99974000000.0,14.856909455351355,3.563684189756143,8.047101312967909,9.66573816155989,21.81249919690584
DEO,DIAGEO ADR SPONSORED,Consumer Defensive,Beverages—Wineries & Distilleries,2021-06-30,6.28,6422249053.09,17635216129.6,94441000000.0,37.97839709577125,-17.547791500819706,8.347515316541864,21.353962145605905,30.52388573907743
BKNG,BOOKING HOLDINGS INC COM,Consumer Cyclical,Travel Services,2021-12-31,28.17,2411000000.0,10958000000.0,92658000000.0,7.68888888888889,-15.855140072031057,61.241907004120065,55.959116627121745,85.16968336772275
TJX,TJX COS INC COM,Consumer Cyclical,Apparel Retail,2022-01-31,2.7,5622932000.0,48549982000.0,88250000000.0,12.676450933945546,7.032658892744544,51.07209573823437,2.854827011058418,26.655556007667823
MO,ALTRIA GROUP INC COM,Consumer Defensive,Tobacco,2021-12-31,1.34,12429000000.0,21111000000.0,79291000000.0,23.890675559770024,4.462362982923502,1.2955232474449403,-2.003694756288191,35.3656711863048
BTI,BRITISH AMERICAN TOBACCO ADR SPONSORED,Consumer Defensive,Tobacco,2021-12-31,3.98,15855159946.68,34619053648.78,70914000000.0,7.037087434232252,15.719941298485265,-0.3569211669770329,7.674038311789441,9.39949744909852
ABNB,AIRBNB INC COM CL A,Consumer Cyclical,Travel Services,2021-12-31,-0.57,388560000.0,5991760000.0,69183000000.0,9.475456027979398,-47.13454951691624,77.36551339929945,40.1758414889782,-292.0877289353756
CL,COLGATE-PALMOLIVE CO COM,Consumer Defensive,Household & Personal Products,2021-12-31,2.55,5030000000.0,17421000000.0,61703000000.0,2.0071829184209347,-4.556833991720125,5.767712950033392,3.1341484415360767,33.466665230545345
CMG,CHIPOTLE MEXICAN GRILL COM,Consumer Cyclical,Restaurants,2021-12-31,22.9,1098182000.0,7547061000.0,57290000000.0,25.479557836253004,-19.522985699533045,26.107310823017748,14.410788517543452,76.34279475982534
ORLY,OREILLY AUTOMOTIVE INC NEW COM,Consumer Cyclical,Specialty Retail,2021-12-31,31.1,3254899000.0,13327563000.0,54993000000.0,54.93813743875001,19.70415780748012,14.848300567719761,8.120741954099184,22.708359500602892
HSY,HERSHEY COMPANY COM,Consumer Defensive,Confectioners,2021-12-31,7.11,1928166000.0,8971337000.0,53082000000.0,28.613396705315647,21.63862973679795,10.081550050989488,16.139812828344315,27.210970635823223
RACE,FERRARI N V COM,Consumer Cyclical,Auto Manufacturers,2021-12-31,5.1,1740372414.2,4837214544.4,52009000000.0,12.525921529915115,-15.916308115988077,23.443735024380093,19.301813624969384,50.74902104396446
MAR,MARRIOTT INTERNATIONAL INC COM CL A,Consumer Cyclical,Lodging,2021-12-31,3.34,1992000000.0,13857000000.0,50900000000.0,25.519000455715013,-8.661286105001555,31.085043988269796,49.909792884462725,49.47305553687547
GIS,GENERAL MILLS INC COM,Consumer Defensive,Packaged Foods,2021-05-31,3.78,4193900000.0,18127000000.0,49432000000.0,18.65335309957315,27.991218365896213,2.8388912212224704,4.776300546146632,16.57671953635241
F,FORD MOTOR CO COM,Consumer Cyclical,Auto Manufacturers,2021-12-31,4.45,23338000000.0,136341000000.0,48009000000.0,142.64586435623838,-42.61702693708947,7.2335304851192355,15.92771066663733,4.667415833205319
STLA,STELLANTIS N.V. COM,Consumer Cyclical,Auto Manufacturers,2021-12-31,5.11,24500403200.0,169231959400.0,47817000000.0,23.304572169302514,-18.493340179954217,72.38797360284278,20.193549682436636,3.6712329215032944
HMC,HONDA MOTOR CO ADR SPONSORED,Consumer Cyclical,Auto Manufacturers,2021-03-31,3.44,14009068990.07,118870244996.54,47205000000.0,4.839673450093112,-17.035261893062938,10.494476337644706,16.182767784058708,8.779069989226585
KHC,KRAFT HEINZ CO COM,Consumer Defensive,Packaged Foods,2021-12-31,0.82,6299000000.0,26042000000.0,46905000000.0,8.049067518159776,17.817298302256766,-0.5461141875119343,1.7010982259427079,43.780489665705986
KMB,KIMBERLY CLARK CORP COM,Consumer Defensive,Household & Personal Products,2021-12-31,5.35,3247000000.0,19440000000.0,45304000000.0,9.255126287077438,-0.6316739909636706,1.5673981191222568,3.7808641975308643,26.714018349335575
GM,GENERAL MOTORS CO COM,Consumer Cyclical,Auto Manufacturers,2021-12-31,6.7,25717000000.0,127004000000.0,44929000000.0,42.71751351230983,-42.92048953338993,3.6894313589419117,23.409498913420048,8.7507464280769
STZ,CONSTELLATION BRANDS INC COM CL A,Consumer Defensive,Beverages—Wineries & Distilleries,2022-02-28,-0.22,3333200000.0,8820700000.0,44520000000.0,15.744320023812165,-6.431506086070014,2.3888843747460795,7.163830534991554,-980.0908868963069
ABEV,AMBEV SA ADR SPONSORED,Consumer Defensive,Beverages—Brewers,2021-12-31,0.15,4104344530.2,13076620050.4,43937000000.0,-7.40837382816803,3.4619169566225856,24.795388752804946,9.40850437105291,18.66666634877523
AZO,AUTOZONE INC COM,Consumer Cyclical,Specialty Retail,2021-08-31,95.19,2944527000.0,14629585000.0,43500000000.0,75.52890325673461,17.522107025419775,15.813990014381766,11.091531304544866,16.27429377470388
LULU,LULULEMON ATHLETICA INC COM,Consumer Cyclical,Apparel Retail,2022-01-31,7.49,1424925000.0,6256617000.0,42261000000.0,11.525008454445745,-16.654769324621586,42.13514274245158,29.631045020016405,44.560748967373165
LVS,LAS VEGAS SANDS CORP COM,Consumer Cyclical,Resorts & Casinos,2021-12-31,-1.26,408000000.0,4234000000.0,42134000000.0,-36.42140310563567,29.642294376833288,17.220376522702104,-2.9286726499763818,-29.873015388609872
DHI,DR HORTON INC COM,Consumer Cyclical,Residential Construction,2021-09-30,11.41,5396800000.0,27774200000.0,36440000000.0,57.213353051275185,-15.009295210809675,36.7439478905623,20.54352600614959,7.359334024601501
YUM,YUM BRANDS INC COM,Consumer Cyclical,Restaurants,2021-12-31,5.21,2261000000.0,6584000000.0,36044000000.0,29.058511629111095,-5.413787740727317,16.4897381457891,3.9185905224787363,26.652591287975348
HLT,HILTON WORLDWIDE HOLDINGS INC COM,Consumer Cyclical,Lodging,2021-12-31,1.46,1228000000.0,5788000000.0,36021000000.0,40.53347765399059,-17.789834524063576,34.38588344555375,51.57221838286109,106.8424695158658
ROST,ROSS STORES INC COM,Consumer Cyclical,Apparel Retail,2022-01-31,4.87,2693532000.0,18916244000.0,35443000000.0,-6.676170073404833,4.374886012707327,50.948776150464845,-1.1652154624353543,20.071868583162217
LEN,LENNAR CORP COM CL A,Consumer Cyclical,Residential Construction,2021-11-30,14.27,5878883000.0,27130676000.0,31001000000.0,52.6668236970555,-19.3789803108304,20.640544867248458,24.10678598646049,7.361597971391578
LI,LI AUTO INC ADR,Consumer Cyclical,Auto Manufacturers,2021-12-31,-0.05,-1069048.97,4251918175.24,28387000000.0,8.833224428798122,-34.10054534458488,185.61801592938863,67.6682212024023,-641.9999694824219
DASH,DOORDASH INC COM CL A,Communication Services,Internet Content & Information,2021-12-31,-1.39,-293000000.0,4888000000.0,25369000000.0,4.989474112527413,-66.59314261189957,69.36936936936937,34.676759410801964,-107.12229776725495
YUMC,YUM CHINA HOLDINGS INC COM,Consumer Cyclical,Restaurants,2021-12-31,2.28,1381000000.0,9853000000.0,23582000000.0,-12.631857790167011,12.659205200644625,19.242405905845335,-2.882370851517304,21.859649189731535
MKC,MCCORMICK & COMPANY INC COM,Consumer Defensive,Packaged Foods,2021-11-30,2.8,1294100000.0,6317900000.0,22996000000.0,1.9345639838070046,-11.817308022655954,12.793458661382179,0.5159942385919372,30.64999989100865
K,KELLOGG COMPANY COM,Consumer Defensive,Packaged Foods,2021-12-31,4.33,2656000000.0,14181000000.0,22886000000.0,7.80243562655525,14.096013149260255,2.9847494553376905,7.996615189337847,14.87759772954857
QSR,RESTAURANT BRANDS INTL INC COM,Consumer Cyclical,Restaurants,2021-12-31,2.69,2121000000.0,5739000000.0,22693000000.0,0.14205686971494422,12.666775628066725,15.519323671497585,13.347273044084334,22.557620931292114
CHD,CHURCH & DWIGHT COM,Consumer Defensive,Household & Personal Products,2021-12-31,3.32,1298200000.0,5190100000.0,22582000000.0,17.870045481586956,-19.385237176165386,6.011274970382777,3.574112252172405,30.873493975903617
HRL,HORMEL FOODS CORP COM,Consumer Defensive,Packaged Foods,2021-10-31,1.66,1397883000.0,11386189000.0,20905000000.0,6.719619677930594,-4.700743152981287,18.501681122327383,9.420333704279809,25.873494435505695
