"timestamp","content","symbol","sentiment_score"
"2021-06-07 22:13:25+00:00","Uhhh... invest your son's college fund in D.R. Horton $DHI #NotRealInvestingAdvice","DHI",0.0
"2021-06-08 20:19:41+00:00","How to trade options in a risknegative on market ➡️ @OptionsPlay's Tony Zhang walks @NPetallides through an example strategy on $DHI, and also shares his outlook for using options to trade the volatile “meme stocks”: 📊 $AMC $WEN","DHI",0.296
"2021-06-10 12:55:37+00:00","$RH blowout earnings and big pop premarket.  Good sign for the beaten negative homies and DYI trade.  $XHB $HD $DHI $LOW $NAIL","DHI",-0.5574
"2021-06-10 14:21:16+00:00","Covered some of my $DHI negative (entered yesterday) into the early weakness... holding 1/2 w/ a stop in the money to catch it if the breaknegative continues. #stocks #swingtrading #negativesellers","DHI",-0.7096
"2021-06-10 14:27:04+00:00","Homebuilder stocks $ITB $LEN $TOL $KBH $PHM $DHI are one of the weakest industry gropositives today. These stocks are now trading around major daily and weekly chart spositiveport levels. If they fail to hold here it can spell big issues for all markets soon. #StockMarket","DHI",-0.7783
"2021-06-10 19:11:49+00:00","Best and worst performing S&amp;P 500 stocks so far today Best 1 Enphase $ENPH 2 ServiceNow $NOW 3 Bionegative Rad $BIO 4 Illumina $ILMN 5 Align $ALGN 6 Perrigo $PRGO 7 Thermo $TMO Worst 1 Nielsen $NLSN 2 $SIVB 3 D.R Horton $DHI 4 Pulte $PHM 5 Mohawk $MHK 6 Whirpool $WHR 7 Caterpillar $CAT","DHI",0.0516
"2021-06-10 21:16:03+00:00","$NLSN and $SIVB both lost over 4% and are Thursday's worst performing $SPX #stock; $NVR $CAT $ALB $MHK $FTI $URI $PHM $HBAN $CF $WHR $DHI $CMA and $VMC all closed negative over 3% on the day #trading","DHI",-0.8779
"2021-06-10 21:30:53+00:00","$DHI D R Horton Inc is falling fast! It's negative negative 3.13% today!","DHI",-0.8619
"2021-06-11 16:50:36+00:00","$DHI was BS today","DHI",0.0
"2021-06-14 10:41:43+00:00","Cheap positive option positiveside: $XLI positives cheaper than 89% of history, $DHI 89%, $WDC 89%, $OIH 89%, $GDXJ 89%, $GDX 89%, $RSX 89%","DHI",0.7906
"2021-06-18 15:00:04+00:00","Notable gainers among liquid option names this morning include $LEN (positive 4.3%), $NVDA (positive 3.0%), $ENPH (positive 2.4%), $ADBE (positive 2.2%), and $DHI (positive 2.0%),","DHI",0.0
"2021-06-18 18:23:56+00:00","I don't understand why all the housing stocks are positive with the taper talk. Perhaps the thinking is that more people will positive homes sooner rather than later as they expect mortgage rates next year to be higher? $KBH $LEN $TOL $DHI","DHI",0.802
"2021-06-18 21:30:53+00:00","$DHI D R Horton Inc is shooting through the roof with a positive 1.20% increase today!","DHI",0.7345
"2021-06-23 14:04:36+00:00","New home sales fell 5.9% in May from April, as the market continues to deal with low inventories and high prices.  #Homebuilder stocks are tumbling on the report, $LEN negative 2.5% $DHI negative 1.8% $TOL negative 1.5%","DHI",-0.9217
"2021-06-23 20:15:14+00:00","Lots of talk about high materials cost for home builders but $KBH joined $DHI in reporting record, or nearnegative record margins.","DHI",0.0
"2021-06-25 14:09:07+00:00","$LSEA SOLD 63 @ $8.34; negative $15.2, negative 2.98% Peers: $DHI $LEN $NVR $SPY","DHI",-0.8126
"2021-06-26 02:38:27+00:00","Cheap negative options and hedges: $DHI negatives cheaper than 89% of history, $SPLK 89%, $SLV 89%, $AAPL 89%, $TNA 89%, $FAS 89%, $AMAT 89%","DHI",-0.5719
"2021-06-28 16:15:00+00:00","Homebuilders looking good. $DHI $LEN $PHM","DHI",0.4404
"2021-06-29 19:30:12+00:00","Just negative some balance in my portfolio by adding $DHI. Amazing company and with lumber prices falling (and likely no lowering of home prices) I could see that being a tailwind (re: margins). We’ll see 😅☺️","DHI",-0.5719
"2021-06-30 12:18:14+00:00","Stocks making the biggest moves in the premarket:  $SPCE $BBBY $MDB $STZ $GIS $TWTR $LVS $STX $WOW $DHI","DHI",0.0
"2021-06-30 13:34:20+00:00","$DHI with a #FynitiVerified positive Rating from Goldman Sachs.  Price Target = $112 #Investing #Stocks","DHI",0.5574
"2021-06-30 15:03:48+00:00","$MTH SOLD 5 @ $93.58; positive $11.6, positive 2.42% Peers: $MHO $NVR $DHI $HOV","DHI",0.802
"2021-06-30 20:05:37+00:00","$GE &amp; $DHI block positive positive today.","DHI",0.6486
"2021-07-01 00:32:24+00:00","Hoping for an opportunity to sell the $NAIL (currently positive 34%) and $DHI (currently positive 12%) positive options prior to the weekend, and we may get that opportunity tomorrow May shift to $NAIL shares but mostly hoarding cash and positive any tech dip that presents itself","DHI",0.9442
"2021-07-01 14:27:37+00:00","Nice bounces in homebuilder names. Daily setpositives in $NAIL $LEN $DFH $DHI for swing trades","DHI",0.4215
