"timestamp","content","symbol","sentiment_score"
"2021-06-08 17:53:19+00:00","$DAL: Jefferies positivegrades To positive From Hold negative  PT $60 $GNRC: KeyBanc positivegrades to Overweight from Sector Weight negative  PT $400 $JCI: JP Morgan positivegrades To Overweight From Neutral negative  PT $75 $LW: Jefferies positivegrades To positive From Hold negative  PT $100","LW",-0.8769
"2021-06-08 17:55:05+00:00","$LW: Jefferies initiates at positive negative  PT $100 $MAX: KBW initiates at Outperform negative  PT $53 $PTC: Rosenblatt initiates at positive negative  PT $157 $PWR: Piper Sandler initiates at Overweight negative  PT $115 $RKT: Piper Sandler initiates at Neutral negative  PT $18 $SIBN: Citigropositive initiates at positive negative  PT $40","LW",-0.9313
"2021-06-09 02:24:49+00:00","$LW Lamb Weston (LW) positivegraded to positive from Hold at Jefferies; tgt raised to $100","LW",0.5574
"2021-06-19 10:00:34+00:00","Lamb Weston Holdings negative  $LW 💰 QUOTE $LW was negative ⬇ on Fri Jun 18 Closed at 77.95 USD for a negative 1.99% loss from previous close 📉 📉 📉 📊 ANALYSIS Lamb Weston Holdings should be nationalized ☭ ☭ ☭","LW",-0.9246
"2021-06-30 15:05:44+00:00","$LW $75.00 Aug 20 2021 negative ⬇️🌊 Underlying: $79.56 % Difference: 6.09% Daily $ Volume: $201,840 Volume: 1,392 OI: 115 IV: 27.86% Bid/Ask: $0.95/$1.95","LW",-0.5719
"2021-07-01 20:33:31+00:00","🏆 BofA Top Picks for Q3: High conviction, negativenegative term stock recommendations for the quarter ahead👇🏻 $AFRM $FSLR $FDX $XOM $LW $CNHI $EWBC $EPR","LW",0.2023
"2021-07-07 23:17:43+00:00","Here's our ""addicted""/""vice"" ETF, as voted on by followers: $AAPL $FB $AMZN $GOOG $PM $MO $SBUX $MCD $KO $PEP $MNST $BUD $TAP $DPZ $CMG $ULTA $ELF $PENN $PINS $TWTR $ETSY $YUM $DEO $DNUT $GRWG $LW $RGR $CZR $DKNG $RICK $PFOF (Robinhood IPO) $SCHW h/t to @AdvisorShares for $VICE","LW",0.0
"2021-07-12 21:30:58+00:00","$LW Lamb Weston Holdings Inc is falling fast! It's negative negative 1.39% today!","LW",-0.8619
"2021-07-26 15:54:38+00:00","$LW $70.00 Aug 20 2021 negative ⬇️🌊 Underlying: $76.17 % Difference: 8.82% Daily $ Volume: $178,750 Volume: 3,250 OI: 512 IV: 32.24% Bid/Ask: $0.25/$0.85","LW",-0.5719
"2021-07-26 19:22:34+00:00","$SPX #stocks $ADM $BSX $CNC $DTE $ECL $FISV $GE $GLW $IQV $IVZ $LW $MMM $MSCI $PCAR $PHM $PNR $ROK $RTX $SHW $SWK $positiveS and $WM highlight the names set to report #earnings Tuesday before market open #trading","LW",0.34
"2021-07-26 20:45:58+00:00","$GE $GLW $LW $CVLT Top earnings positive tomorrow AM.","LW",0.6597
"2021-07-27 12:38:25+00:00","$LW SEC Filing: 8negative K Earnings negative  Lamb Weston Holdings, Inc. (0001679273) July 27   undefined","LW",-0.5719
"2021-07-27 14:00:03+00:00","Unusually heavy option volume on today's open include $RMD, $FFIV, $positiveS, $LW, and $FISV.","LW",0.0
"2021-07-27 14:01:09+00:00","$LW right on VWAP off March 2020 lows, could bounce here as Aug 70 positives start positive Dumpster dive time...lol","LW",0.6808
"2021-07-27 14:03:19+00:00","UNUSUALLY HEAVY OPTION VOLUME TODAY:  $RMD $FFIV $positiveS $LW $FISV","LW",0.0
"2021-07-27 14:29:16+00:00","LAMB WESTON SHARES DROP AS MUCH AS 12%, THE BIGGEST INTRADAY DECLINE SINCE JULY 28, 2020, AFTER FISCAL 2022 PROFIT GUIDANCE DISAPPOINTS INVESTORS. SHARES AT LOWEST INTRADAY SINCE NOV. 6 $LW","LW",-0.0
"2021-07-27 14:31:48+00:00","Worst performing large cap stocks in today's early trading Doximity $DOCS Lamb Weston $LW Dr. Reddy's $RDY XPeng $XPEV Logitech $LOGI Aluminum $ACH $FUTU $TUYA Zai Lab $ZLAB $positiveS Full Truck $YMM Asana $ASAN $NIO Sea Limited $SE LI Auto $LI Vipshop $VIPS Weibo $WB Workday $WDAY","LW",-0.7184
"2021-07-27 16:55:00+00:00","$LW ""Significant inflation pressure"" Wow. They are talking about oil specifipositivey here... $OLE might be rising from the ashes soon?","LW",0.5267
"2021-07-27 18:34:07+00:00","Best and worst performing S&amp;P 500 stocks so far today Best: 1 F5 $FFIV 2 Pentair $PNR 3 Raytheon $RTX 4 Edison $EIX 5 Boston Scientific $BSX 6 Fiserv $FISV 7 Alexandrea $ARE Worst: 1 Lamb Weston $LW 2 $positiveS 3 $IPGP 4 Activision $ATVI 5 $PTC 6 FedEx $FDX 7 Las Vegas Sands $LVS","LW",0.0516
"2021-07-27 20:00:00+00:00","$TSLA opens positive on beat but quickly goes red EPS: $FFIV $PKG $UHS $RTX $FISV $BSX $PNR S&amp;P's best, $LW $positiveS worst Inds EPS: $GE $WM rise, $MMM $ROK $SWK fall Reopen negative after $JBLU $MLCO EPS, Covid concerns $BABA $BIDU $JD $PDD $DIDI $TME $NIO $LI $XPEV sink again on cracknegatives","LW",-0.5574
"2021-07-27 20:45:07+00:00","Lamb Weston Holdings, Inc. $LW held an earnings positive on 7/27/2021. Here are the highlights:","LW",0.5574
"2021-07-27 21:30:58+00:00","$LW Lamb Weston Holdings Inc is falling fast! It's negative negative 13.53% today!","LW",-0.8619
"2021-07-27 23:23:25+00:00","$LW lost over 13% as #earnings failed to impress and is Tuesday's worst performing $SPX #stock; $positiveS and $ATVI both lost over 6% while $IPGP and $PTC each closed negative over 5% on the day #trading","LW",-0.9153
"2021-07-28 14:00:04+00:00","Unusually heavy option volume on today's open include $LW, $STZ, $GOOGL, $MDLZ, and $PFE.","LW",0.0
"2021-07-28 14:55:54+00:00","pessimist Forecasts July 28, 2021 07:52:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $OZK : negative 0.52 $SEDG : negative 2.19 $LMND : negative 2.42 $BLK : 0.13 $PLAY : negative 5.52 $CRSP : 1.89 $BKNG : negative 0.60 $CWH : negative 0.12 $LW : 0.88 $ALLY : negative 1.39","LW",-0.9825
"2021-07-28 16:08:32+00:00","pessimist Forecasts July 28, 2021 09:04:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $IBB : 0.98 $AVGO : 0.03 $JKS : 6.25 $BKNG : negative 1.17 $FUBO : 3.40 $SAVA : 5.84 $ARVN : 5.41 $LMND : negative 1.20 $AMKR : 4.92 $LW : 1.17","LW",-0.872
"2021-07-29 01:17:19+00:00","Today at market close BrightBot made the following trades: positive $LW at $ 66.92 with stop loss $ 64.81 positive $ATVI at $ 84.83 with stop loss $ 84.71 positive $CHRW at $ 88.65 with stop loss $ 84.67 positive $JNPR at $ 27.0 with stop loss $ 26.12 positive $LVS at $ 44.48 with stop loss $ 43.63","LW",0.128
"2021-07-29 15:00:00+00:00","On August 6, 2021, Greg W Jones will start a role as #VP/#Controller at @LambWeston. #BoardExAlerts #SP500 $LW","LW",0.0
"2021-07-29 21:45:54+00:00","Today at market close BrightBot made the following trades: positive $CTXS at $ 98.66 with stop loss $ 93.73 positive $PTC at $ 133.7 with stop loss $ 127.01 positive $LW at $ 67.76 with stop loss $ 64.36 positive $BAX at $ 77.72 with stop loss $ 73.82 positive $LVS at $ 43.06 with stop loss $ 40.90","LW",0.128
"2021-07-30 10:33:00+00:00","$LW. Sell negative at $67.08 $NASDAQ $NYSE $NYQ $NMS   #investsySignals #SP500  #NASDAQ100  #Signals #StocksToWatch #stocks   #trading #stockmarkets #investment","LW",-0.5719
