"timestamp","content","symbol","sentiment_score"
"2021-06-07 13:33:01+00:00","Dam forgot my list: $DBX, $AMRS, $ATVI, $NET, $MGM #SwingTrading #CANSLIM","MGM",0.0
"2021-06-07 16:49:19+00:00","MLB Game Previews For Monday, June 7: How To Watch, Betting Odds For Tonight $MGM $AMZN","MGM",0.0
"2021-06-07 17:45:05+00:00","$AGS Stopped Out 47 @ $10.67; positive $29.3 Peers: $LVS $DKNG $MGM $SPY","MGM",0.4019
"2021-06-07 20:21:50+00:00","$MGM Engulfing Daily appearances since 2010: 87 Close 5 days later ±: Avg: 0.01 SD: 1.40 Worst: negative 6.82 Best: 2.88 10 days later: Avg: negative 0.09 SD: 2.06 Worst: negative 11.74 Best: 3.84 30 days later: Avg: negative 0.20 SD: 3.80 Worst: negative 20.83 Best: 8.89","MGM",-0.9595
"2021-06-07 20:21:51+00:00","$MGM Below Avg Volume Daily appearances since 2010: 705 Close 5 days later ±: Avg: 0.07 SD: 1.02 Worst: negative 5.38 Best: 5.58 10 days later: Avg: 0.14 SD: 1.45 Worst: negative 8.79 Best: 5.77 30 days later: Avg: negative 0.00 SD: 3.28 Worst: negative 25.11 Best: 8.62","MGM",-0.9382
"2021-06-08 18:22:35+00:00","$DKNG above the 50 with RS $SPY $QQQ $AMC $PENN $BB $CZR $MGM $WYNN $APPL $TSLA $BA $ABNB $BBBY $PLUG $CCIV $BETZ","MGM",0.0
"2021-06-08 19:34:33+00:00","Some of the most popular stocks that hit new 52 Week Highs at some point today Facebook $FB $ASML Oracle $ORCL Tnegative Mobile $TMUS $BUD Philip Morris $PM American Express $AXP $IBM Intuit $INTU Target $TGT $EBAY Carnival $CCL $MGM Oatly $OTLY Celsius $CELH Wendy's $WEN Clover $CLOV","MGM",0.4754
"2021-06-08 19:42:13+00:00","So when is $MGM going to open a daytrading floor? Who needs blackjack when you can just sit together and trade.","MGM",0.0
"2021-06-08 20:50:24+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $40 and $50: $BLNK $HYLB $MGM $UDR $USHY $USO $XLRE","MGM",0.0
"2021-06-09 13:05:57+00:00","$MGM negative  BetMGM Named Authorized Gaming Operator of The Professional Fighters League, an American mixed martial arts league founded in 2018, following the acquisition of the former World Series of Fighting promotion in 2017.","MGM",-0.7506
"2021-06-09 13:28:44+00:00","Gambling and gaming revenue in Vegas is on fire — without help from international or convention biz. $MGM $LVS $CZR","MGM",-0.5659
"2021-06-09 20:21:54+00:00","$MGM pessimistic Harami Daily appearances since 2010: 14 Close 5 days later ±: Avg: negative 0.03 SD: 1.23 Worst: negative 2.23 Best: 2.25 10 days later: Avg: negative 0.03 SD: 1.53 Worst: negative 3.98 Best: 2.74 30 days later: Avg: 0.65 SD: 1.99 Worst: negative 2.07 Best: 5.21","MGM",-0.967
"2021-06-10 02:40:02+00:00","Cheap negative options and hedges: $AMD negatives cheaper than 86% of history, $SLV 86%, $GLD 86%, $NVDA 86%, $MGM 86%, $GDXJ 86%, $SHW 86%","MGM",-0.5719
"2021-06-10 11:11:06+00:00","Good morning!  New tading day, new opportunities!  Let's have a great session.  $AAPL $NET $AMC $AHT $CLF $PLTR $SKLZ $ARKK $OPEN $CLOV $SOFI $GM $NIO $F $PENN $DKNG $MGM","MGM",0.8802
"2021-06-10 12:45:24+00:00","Targets Raised Today: $BIIB Biogen $380.00 ➝ $475.00 $COLM Columbia Sportswear $120.00 ➝ $130.00 $CZR Caesars Entertainment $120.00 ➝ $129.00 $MGM MGM Resorts $47.00 ➝ $52.00 $OXM Oxford Industries $103.00 ➝ $135.00 $RH Restoration Hardware $634.00 ➝ $770.00","MGM",0.4215
"2021-06-10 13:01:05+00:00","$MGM MGM Resorts price target raised to $52 from $47 at JPMorgan","MGM",0.0
"2021-06-10 13:52:58+00:00","Red flags. $GM. $NAIL. $MGM","MGM",0.0
"2021-06-10 15:12:32+00:00","$CPB: Deutsche Bank Cuts Target Price To $47 From $50 $CVX: RBC Raises Target Price To $135 From $125 $GME: Wedbush  Raises Target Price To $50 From $39  $LRCX: Evercore Isi Raises Price Target To $775 From $750 $MGM: JP Morgan Raises Target Price To $52 From $47","MGM",0.0857
