"symbol","timestamp","content","sentiment_score"
"CLX","2021-06-05 08:40:26+00:00","$CLX no positive traction after dividend hike bothers me",0.1531
"CLX","2021-06-07 21:55:05+00:00","New @askslim Level 4 Chart Requests posted today: $COUP $COPX $CLX $CIBR $FSR $AKAM $WKHS #EURZAR #USDZAR $MOS #BTC $GOLD",0.0
"CLX","2021-06-08 18:46:01+00:00","Want to make a free $100 every 3 months? Buy 77 shares of $SPG Buy 90 shares of $CLX Buy 94 shares of $JNJ Buy 111 shares of $BNS",0.886
"CLX","2021-06-08 19:30:32+00:00","$clx approaching 52 week lows",-0.2023
"CLX","2021-06-08 21:30:52+00:00","$CLX Clorox Co is falling fast! It's down -1.62% today!",-0.2924
"CLX","2021-06-09 14:00:04+00:00","Unusually heavy option volume on today's open include $CPB, $TROW, $SYF, $CLX, and $KMI.",0.0
"CLX","2021-06-09 14:15:50+00:00","Stocks moving higher this morning are $MRK, $LLY, $RWD, $CTLT, $CLX, and $ABBV.",0.0
"CLX","2021-06-09 16:12:48+00:00","$CLX - CLOROX CO EXEC - CO HAS ONE OF STRONGEST INNOVATION PROGRAMS THAT CO HAS EVER HAD COMING UP OVER NEXT 18 TO 36 MONTHS - DB CONFERENCE",0.7885
"CLX","2021-06-09 21:13:34+00:00","Nearly forty $SPX #stocks put in new 52 week highs Wednesday. Largest by marketcap include $GOOG $TMUS $IBM $INTU $TGT $ADP $ADI $PSA $EXC and $EBAY. $CLX hit a new 52 week low #trading",-0.2732
"CLX","2021-06-10 04:45:53+00:00","$clx going to be a screaming buy if it can work down to $150",-0.3818
"CLX","2021-06-10 23:04:54+00:00","Clorox - $CLX 💰 QUOTE $CLX was UP ⬆ on Thu Jun 10 Closed at 176.32 USD for a 0.35% gain from previous close 📈 📈 📈 📊 ANALYSIS Clorox should be nationalized ☭ ☭ ☭",0.5267
"CLX","2021-06-11 11:40:08+00:00","Good morning Twitter. Posted some fantastic charts last night. Take a look if you missed them!!! $QS $RH $RIOT $GRPN $TSN $U $WYNN $WDAY $PYPL $CMG $AMZN $REGN $JD $INCY $TSM $AAPL $QCOM $ABNB $IBM $CLX $CRM $ADSK $GME $ZM $ROKU Take a look. Plan your trade, make it your own",0.7332
"CLX","2021-06-12 13:30:21+00:00","A few of short targets showing up on RS at 52wk low screen.  $clx $vrtx $nyt (high short float n desc pattern daily)",-0.2732
"CLX","2021-06-14 01:32:24+00:00","For commons, I like $ACST near the end of this week. Currently in an ascending triangle. If it falls below $0.54, I'll cut and reassess. For options, I like $TDOC and $CLX on the near term. For $CLX, looks like a pop above $177 for calls and a drop below $175 for puts.",0.5106
"CLX","2021-06-14 14:12:35+00:00","Clorox CEO, Linda Rendle: …we're certainly seeing an incredibly inflationary environment. I think that's true in what you're seeing across the industry, on both the retailer side, the manufacturer side, and supplier side, it is intense for sure. $CLX",0.7783
"CLX","2021-06-14 15:48:20+00:00","Clorox down 24% from January highs. Giving back much of Pandemic move. $CLX",0.34
"CLX","2021-06-14 15:48:35+00:00","$clx 52 week low",-0.2732
"CLX","2021-06-14 17:12:56+00:00","💰Dividend Stock Breakdown💰 Clorox $CLX Price: $173.30 Beta: 0.18 Current Dividend Yield: 2.68% Earnings Payout Ratio: 58.5%  Free Cash Flow Payout Ratio: 46% Simply Safe Dividend Score: 75 Interest Coverage: 15.24 2021 P/E Ratio: 22.45",0.8481
"CLX","2021-06-14 18:04:10+00:00","👀 $CLX @ $173.33…. Fresh new 52W low and could find support at $173. If that breaks, could drift down to low $160s. Who says there aren’t any sales??",0.2869
"CLX","2021-06-14 22:18:53+00:00","Over thirty $SPX #stocks put in new 52 week highs Monday. Largest by marketcap include $GOOG $GOOGL $NVDA $ADBE $PM $INTU $ZTS $MCO $EW and $ADI; $CLX and $VRTX both hit new 52 week lows #trading",-0.2023
"CLX","2021-06-15 01:03:22+00:00","Watchlist for 6-15-2021 Day Trading $ENOB $NXTD $ORPH $MDIA $BYFC 52 Week Low with a 5% increase in volume $AXTI $VRTX $ONE $CLX $FOA 52 Week Low TTM Squeeze $CLX $CLX came up on TTM Squeeze. I am not convinced it has seen the bottom yet. It will be interesting to see though.",-0.1174
"CLX","2021-06-15 13:56:18+00:00","Top Picks: $AAPL $CLX $HUM",0.2023
