"symbol","timestamp","content","sentiment_score"
"KMX","2021-06-06 00:57:07+00:00","Talked to a neighbor who is a car salesman and he said the used car market is crazy hot right now (not a surprise) but still wild to hear some of his examples firsthand. $CVNA $KMX $VRM",-0.1779
"KMX","2021-06-09 17:01:14+00:00","New strategy: instead of building up my current stocks, I am expanding my portfolio $100 at a time just to get in with each of the things on my watchlist and see how they do over the next month or two. Added $AN $KMX $DG $WIX $DIS for now, plus a bit more $RBLX",0.0
"KMX","2021-06-10 12:55:35+00:00","Inflation data not that big of a deal, mostly weighed up by the rise in used car/truck prices +7.3% and airline tickets rising 7%. $CRVN $KMX $SFT $AAL $DAL $LUV $JETS $HA $UAL $F $GM $TSLA",0.0
"KMX","2021-06-10 21:49:04+00:00","Whenever I read an $ETSY or $CVNA pitch, I get pretty enthused about $EBAY and $KMX, respectively.",0.8225
"KMX","2021-06-11 14:23:42+00:00","Best performing large cap stocks in today's early trading Grifols $GRFS Aluminum $ACH GameStop $GME Cleveland $CLF Affirm $AFRM DoorDash $DASH $UWMC Posco $PKX Freeport $FCX Western Digital $WDC XPeng $XPEV $SNAP PetroChina $PTR FarFetch $FTCH Oatly $OTLY Carmax $KMX $PENN",0.6369
"KMX","2021-06-11 15:00:04+00:00","Notable gainers among liquid option names this morning include $GPS (+2.6%), $VFC (+2.6%), $FCX (+2.5%), $KMX (+2.4%), and $WDC (+2.4%),",0.0
"KMX","2021-06-11 20:20:53+00:00","$KMX Below Avg Volume Daily appearances since 2010: 354 Close 5 days later ±: Avg: 0.18 SD: 2.98 Worst: -13.99 Best: 12.67 10 days later: Avg: -0.03 SD: 4.76 Worst: -22.24 Best: 15.51 30 days later: Avg: -1.48 SD: 11.23 Worst: -52.70 Best: 33.45",0.0772
"KMX","2021-06-12 02:55:13+00:00","Just a few plays I’m watching for next week. Will add to the WL throughout weekend $AVTI 100c above $99 break $PK 7/16 25c above $23 break $KMX 120c above $117.41 break $JBLU 18p under $18.30",0.25
"KMX","2021-06-13 20:00:06+00:00","Earnings this week 2021-06-14:  $ORCL $LEN $HRB $JKS $MPAA 2021-06-15:  $ABM $TISI $CLIR $WSG 2021-06-16:  $KR $HOME $SWBI $LIVX $FRAN 2021-06-17:  $ADBE $KMX $JBL $CMC $LITB",0.0
"KMX","2021-06-14 13:41:55+00:00","Trader Education coming up at 9:50 am ET on @TDANetwork. I'll join @OJRenick to cover example Option Trades in $KMX and $CVNA. Used Car prices continue to surge but are low inventories and Costs topping out the Sector?!",-0.3274
"KMX","2021-06-16 00:29:03+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $A $AVLR $CRI $CVX $DUK $ENTG $ETR $HLT $ICE $JCOM $KMX $LDOS $MDT $MMC $PEP $RSG $SRE $TRU",0.0
"KMX","2021-06-16 20:00:06+00:00","Earnings happening tomorrow 2021-06-17:  $ADBE $KMX $JBL $CMC $LITB",0.0
"KMX","2021-06-16 20:20:52+00:00","$KMX Below Avg Volume Daily appearances since 2010: 357 Close 5 days later ±: Avg: 0.20 SD: 2.98 Worst: -13.99 Best: 12.67 10 days later: Avg: -0.01 SD: 4.75 Worst: -22.24 Best: 15.51 30 days later: Avg: -1.57 SD: 11.26 Worst: -52.70 Best: 33.45",0.0772
"KMX","2021-06-17 21:56:43+00:00","hmmm  $CVNA +4.2% $KMX   -1.3% $VRM   -0.95% $SFT     -2.0% $AN      -3.8% (not quite the same) smh",-0.3744
"KMX","2021-06-18 13:54:24+00:00","Used-car boom? Most of '21 gains at $KMX gone for #Sequoia mutual fundholders.",0.3947
"KMX","2021-06-18 16:20:00+00:00","Early look at some of the largest stocks that report earnings next week Nike $NKE Accenture $ACN FedEx $FDX IHS Markit $INFO Paychex $PAYX CarMax $KMX Darden $DRI Concentrix $CNXC Blackberry $BB Synnex $SNX KB Home $FUL Worthingon $WOR JinkoSolar $JKS Rite Aid $RAD $SCS $APOG",0.0
"KMX","2021-06-18 20:20:58+00:00","$KMX Lower Prices Higher Volume Daily appearances since 2010: 64 Close 5 days later ±: Avg: 0.94 SD: 4.48 Worst: -20.26 Best: 16.30 10 days later: Avg: -0.11 SD: 5.80 Worst: -27.51 Best: 15.02 30 days later: Avg: 0.75 SD: 9.18 Worst: -35.28 Best: 28.75",-0.2263
"KMX","2021-06-20 12:11:48+00:00","Some implied moves for #earnings next week: $PLUG 9.6% $WGO 12.7% $KBH 9.6% $CCL 6.4% $RAD 14.5% $BB 16.5% $FDX 6.1% $NKE 5.3% $KMX 4.7% $DRI 8.8% $PAYX 5.3% $JKS 18.0% $ACN 3.6% $WOR 10.0% $INFO 6.0% $PDCO 10.9% $CAMP 15.1% $SNX 11.1%",0.0
"KMX","2021-06-21 08:02:57+00:00","CarMax - $KMX 💰 QUOTE $KMX was DOWN ⬇ on Fri Jun 18 Closed at 113.16 USD for a -2.38% loss from previous close 📉 📉 📉 📊 ANALYSIS CarMax should be nationalized ☭ ☭ ☭",-0.3182
"KMX","2021-06-21 10:16:07+00:00","$KMX ran into earnings last time, could be worth a flier on calls if it holds $112.63 despite low implied volatility; could swing to 120+ this week $JKS intriguing setup if it holds $37.50, another mid week earnings runner candidate $CHWY= moon, making me rich it’s that simple",0.7441
"KMX","2021-06-21 18:38:01+00:00","The average age of U.S. vehicles now stands at 12.1 years old, making a strong case for car resellers... specifically $KMX since it has recently pulled back. #CarMax #TheWarRoom",0.5106
"KMX","2021-06-22 13:16:02+00:00","Cheap pre-earnings options: $KMX is reporting earnings before the open on Friday (6/25/2021). $KMX weekly ATM straddle through earnings currently has an implied move of 6.12% to expiration. Average last 4 post earnings 1 day move of 8.07% and average max move of 9.51%.",0.0
"KMX","2021-06-23 14:11:14+00:00","Bear Forecasts June 23, 2021 07:08:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $AEM : -0.39 $KMX : -0.43 $MYOV : -0.60 $FANG : 1.95 $NVRO : 0.80 $TDC : -0.37 $CARG : 3.54 $MUDS : -0.71 $LULU : -0.49 $BCRX : 2.82",0.0
"KMX","2021-06-23 14:16:06+00:00","Bear Forecasts June 23, 2021 07:12:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $FRSX : 2.59 $CVM : 1.43 $AEM : -0.25 $SLCA : 1.98 $FANG : 1.72 $BCRX : 2.35 $LULU : -0.05 $TDC : 0.13 $KMX : -0.52 $CARG : 2.99",0.0
"KMX","2021-06-24 12:35:32+00:00","Top Earnings Th 6/24 Aft: $AEMD $BB $CAMP $FDX $NKE $PRGS $SNX  . Top Earnings Fri 6/25 Pre: $APOG $JOBS $KMX $JKS $PAYX $QH",0.3818
"KMX","2021-06-24 13:44:40+00:00","$kmx Rolling and im still holding. Up  40% calls so far",0.0
"KMX","2021-06-24 13:58:34+00:00","#WallStreet 🇺🇸 upcoming #earnings: $BB $FDX $NKE $KMX $JKS $PAYX $PRGS $SNX $APOG $CAMP $QH $AEMD $JOBS $IPW",0.0
"KMX","2021-06-24 14:00:04+00:00","Unusually heavy option volume on today's open include $HSY, $ACN, $IP, $CBOE, and $KMX.",0.0
"KMX","2021-06-24 14:12:06+00:00","$KMX earnings 6/25 pre market. How will the stock react?",0.0
"KMX","2021-06-24 16:00:09+00:00","Tomorrows top estimated earners: $KMX : 1.63 $PAYX : 0.67 $APOG : 0.36",0.2023
"KMX","2021-06-24 17:01:51+00:00","$SPX #stocks $KMX and $PAYX highlight the very short list of names set to report #earnings Friday before market open #trading",0.34
"KMX","2021-06-24 18:12:07+00:00","I'm not an expert on technical analysis, not by a long shot.  But I've had an eye on the $KMX chart today for my options play, and it's really not behaving like a stock that has an earnings call in the AM.  You got me worried, Carmax...",-0.4138
"KMX","2021-06-24 19:42:18+00:00","Ok. Closed out my $KMX options. 29% gain in 2 days. I will take it!",0.7088
"KMX","2021-06-24 19:43:03+00:00","$FDX $BB $NKE AFTER THE BELL TODAY $JKS $KMX BEFORE THE BELL TOMORROW",0.0
"KMX","2021-06-24 20:54:04+00:00","Current Open trades $ABNB - Calendar already profitable $KBH - We have plenty of time, will be 5ne on this $RAD -  Wil close this 2morrow $FDX $NKE - will close 2morrow $KMX $PLUG (second leg)  Let me know if I forgot anything.",0.4404
"KMX","2021-06-24 21:01:10+00:00","Crazy how often I keep hearing that people are selling their used cars for more than what they paid for then 6,12,18 months ago with the semiconductor shortage.   Been long on $KMX, excited for earnings tomorrow.  @CarMax please don't disappoint.",0.3732
"KMX","2021-06-24 21:41:41+00:00","$kmx i dont usually swing into ER, but i was very tempted to hold position for tom mornings numbers. That being said im all out of my calls up 75%",0.0
"KMX","2021-06-25 10:51:48+00:00","$KMX - CARMAX INC - IN FISCAL YEAR 2022, PLAN TO OPEN A TOTAL OF 10 NEW LOCATIONS",0.0
