"symbol","timestamp","content","sentiment_score"
"LW","2021-06-08 17:53:19+00:00","$DAL: Jefferies Upgrades To Buy From Hold - PT $60 $GNRC: KeyBanc Upgrades to Overweight from Sector Weight - PT $400 $JCI: JP Morgan Upgrades To Overweight From Neutral - PT $75 $LW: Jefferies Upgrades To Buy From Hold - PT $100",-0.3542
"LW","2021-06-08 17:55:05+00:00","$LW: Jefferies initiates at Buy - PT $100 $MAX: KBW initiates at Outperform - PT $53 $PTC: Rosenblatt initiates at Buy - PT $157 $PWR: Piper Sandler initiates at Overweight - PT $115 $RKT: Piper Sandler initiates at Neutral - PT $18 $SIBN: Citigroup initiates at Buy - PT $40",-0.3612
"LW","2021-06-09 02:24:49+00:00","$LW Lamb Weston (LW) upgraded to Buy from Hold at Jefferies; tgt raised to $100",0.0
"LW","2021-06-19 10:00:34+00:00","Lamb Weston Holdings - $LW 💰 QUOTE $LW was DOWN ⬇ on Fri Jun 18 Closed at 77.95 USD for a -1.99% loss from previous close 📉 📉 📉 📊 ANALYSIS Lamb Weston Holdings should be nationalized ☭ ☭ ☭",-0.3182
"LW","2021-06-30 15:05:44+00:00","$LW $75.00 Aug 20 2021 PUT ⬇️🌊 Underlying: $79.56 % Difference: 6.09% Daily $ Volume: $201,840 Volume: 1,392 OI: 115 IV: 27.86% Bid/Ask: $0.95/$1.95",0.0
"LW","2021-07-01 20:33:31+00:00","🏆 BofA Top Picks for Q3: High conviction, short-term stock recommendations for the quarter ahead👇🏻 $AFRM $FSLR $FDX $XOM $LW $CNHI $EWBC $EPR",0.2023
"LW","2021-07-07 23:17:43+00:00","Here's our ""addicted""/""vice"" ETF, as voted on by followers: $AAPL $FB $AMZN $GOOG $PM $MO $SBUX $MCD $KO $PEP $MNST $BUD $TAP $DPZ $CMG $ULTA $ELF $PENN $PINS $TWTR $ETSY $YUM $DEO $DNUT $GRWG $LW $RGR $CZR $DKNG $RICK $PFOF (Robinhood IPO) $SCHW h/t to @AdvisorShares for $VICE",0.0
"LW","2021-07-12 21:30:58+00:00","$LW Lamb Weston Holdings Inc is falling fast! It's down -1.39% today!",-0.2924
"LW","2021-07-26 15:54:38+00:00","$LW $70.00 Aug 20 2021 PUT ⬇️🌊 Underlying: $76.17 % Difference: 8.82% Daily $ Volume: $178,750 Volume: 3,250 OI: 512 IV: 32.24% Bid/Ask: $0.25/$0.85",0.0
"LW","2021-07-26 19:22:34+00:00","$SPX #stocks $ADM $BSX $CNC $DTE $ECL $FISV $GE $GLW $IQV $IVZ $LW $MMM $MSCI $PCAR $PHM $PNR $ROK $RTX $SHW $SWK $UPS and $WM highlight the names set to report #earnings Tuesday before market open #trading",0.34
