"symbol","timestamp","content","sentiment_score"
"MTN","2021-06-06 16:00:08+00:00","Tomorrows top estimated earners: $MTN : 6.46 $THO : 2.28 $LOVE : -0.58 $GCO : -0.57 $LAKE : 0.53",0.2023
"MTN","2021-06-06 20:00:14+00:00","Earnings this week 2021-06-07:  $MRVL $CHWY $COUP $MTN $FIVE 2021-06-08:  $GME $CASY $UNFI $GAB $GES 2021-06-09:  $LULU $KC $PVH $GEF $PLAY 2021-06-10:  $FCEL $SIG $AZRE $NATH $MIND",0.0
"MTN","2021-06-07 11:55:56+00:00","#Top5ThingsToKnowToday - G7 Reaches Historic Tax Deal - Futures Point To Lower Open - $AMC $GME Meme Stock Frenzy - $MRVL $SFIX $COUP $MTN Earnings - $AAPL #WWDC Event Kicks Off $DIA $SPY $QQQ $IWM $VIX #XGlobalMarkets #OOTT",-0.5106
"MTN","2021-06-07 12:19:56+00:00","Top Earnings Mon 6/7 Aft: $COUP $DADA $HQY $MRVL $MTN $REVG $SFIX . Top Earnings Tu 6/8 Pre: $ASO $CHS $JILL $MOMO $THO $NAV $THO $YTRA",0.3818
"MTN","2021-06-07 14:59:46+00:00","$MTN earnings 6/7 after hours. How will the stock react?",0.0
"MTN","2021-06-07 16:17:10+00:00","Stocks that report earnings today after the markets close Marvell $MRVL Coupa $COUP Vail Resorts $MTN HealthEquity $HQY Dada Nexus $DADA Stich Fix $SFIX Duckhorn $NAPA Rev Group $REVG Concrete $BBCP",0.0
"MTN","2021-06-07 20:17:54+00:00","Vail Resorts beats by $0.26, beats on revs $MTN",0.0
"MTN","2021-06-07 20:21:28+00:00","Vail Resorts Q3 EPS $6.72 Beats $6.47 Estimate, Sales $889.08M Beat $882.02M Estimate $MTN",0.0
"MTN","2021-06-07 20:21:34+00:00","Vail Resorts Sees FY21 Resort Reported EBITDA $530M-$570M, Net Income $93M-$139M $MTN",0.0
"MTN","2021-06-07 20:22:38+00:00","Vail guiding for EBITDA to be 75-80% of EBITDA it did in 2019 - when operations were 100%. Not the worst result considering a pandemic.  Of course this includes Peak but at the same time, Whistler was a write off in 2021. Anyhoo, 2022 ski season is what matters. $MTN",0.3176
