"symbol","timestamp","content","sentiment_score"
"QSR","2021-06-15 01:00:50+00:00","That feeling when you restore your PC and all your wallets and the new Syrius update for @Zenon_Network kicked in :)  Please use my referral code J3RFYD .  You and I my friends, can earn some free $QSR just for participating :)",0.9468
"QSR","2021-06-16 12:44:45+00:00","First 65 hours status: 417 #ZNNAliens accomplished 2.880 quests and earned 1.779.500 PPs Rankings: #1 132 Greyz: 544.250 PPs #2 123 Zendroidz: 537.750 PPs #3 75 Zygonz: 352.250 PPs #4 87 Ancientz: 345.250 PPs #AlphanetBigBang #NoM #PlasmaPoints $ZNN $QSR",0.4404
"QSR","2021-06-16 21:22:27+00:00","Tomrrow’s #watchlist for #TSX, #TSXV between $80 and $90: $BNS $QSR $TD",0.0
"QSR","2021-06-18 00:54:10+00:00","Tomrrow’s #watchlist for #TSX, #TSXV between $80 and $90: $QSR",0.0
"QSR","2021-06-20 18:00:06+00:00","Dividends this week 2021-06-21:  $AVGO $QQQ $VXUS $XLF $XLK 2021-06-22:  $TOT $TTE $QSR $TQQQ $NOBL 2021-06-23:  $CARR $SCHX $SCHF $SCHD $SCHB 2021-06-24:  $DHR $MDT $PM $CP $VOD 2021-06-25:  $FDX $CM $ZBH $EQR $FITBO",0.0
"QSR","2021-06-21 15:06:40+00:00","File under ""disguised price increases:"" In the last month, $MCD, $CMG, $QSR (BK &amp; Popeye's) have all converted loyalty into Variable Redemption Tier points programs. Smart: Adding complexity allows better redemption economics. Burn those points on costless fountain sodas!",0.807
"QSR","2021-06-21 18:00:16+00:00","Dividends happening tomorrow 2021-06-22:  $TOT $TTE $QSR $TQQQ $NOBL",0.0
"QSR","2021-06-22 15:15:37+00:00","#foodie tickers to watch 👀🍔 $QSR $WEN $DPZ $YUMC $PZZA $WING $CMG",0.0
"QSR","2021-06-22 15:46:49+00:00","Bear Forecasts June 22, 2021 08:42:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $MGNI : 3.20 $LOGI : 0.93 $QSR : -1.07 $HUN : 3.01 $DD : -0.06 $EVRI : 2.76 $GEO : -2.80 $FSLR : 0.68 $SOFI : -2.67 $USB : 0.12",0.0
"QSR","2021-06-22 15:52:21+00:00","Bear Forecasts June 22, 2021 08:48:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $EVRI : 2.65 $XLRN : 0.29 $SUNW : 5.96 $QSR : -0.97 $CGC : -0.56 $DD : -0.17 $CLX : 0.61 $MP : 2.63 $QDEL : -0.03 $ENG : 6.05",0.0
"QSR","2021-06-22 15:57:55+00:00","Bear Forecasts June 22, 2021 08:53:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $AMGN : 0.08 $TDY : -0.28 $SBH : 4.17 $CLX : 0.72 $TMO : 1.12 $WSM : -0.20 $PLBY : -0.63 $APPN : -3.04 $QSR : -0.92 $RH : -1.11",0.0
"QSR","2021-06-22 18:22:53+00:00","Some of the largest stocks that hit new 1 Month Lows at some point today Taiwan Semi $TSM Pinduoduo $PDD $HSBC $UBER Fiserv $FISV $UBS Vertex $VRTX Coinbase $COIN Mizuho $MFG Paccar $PCAR Deutsche $DB Credit Suisse $CS Western Digital $WDC $QSR Conagra $CAG $TUYA $LEVI",0.2023
"QSR","2021-06-22 22:04:59+00:00","QSR (Restaurant Brands International Inc.) 🚨 #Insider #stock alert! 💰 #Sale on 2021-06-18 - $QSR 🇺🇸: Dunnigan Matthew (CFO), total amount $666.400. Stock has a float of 277.00M",0.3595
"QSR","2021-06-23 21:12:59+00:00","Anyone who sees these tags PLEASE use my testnet ref code nobody has yet, thank you!!! MNPH9F @Zenon_Network $ZNN $QSR #testnet #ZNNAliens #Zenon #alphanetbigbang @zenon_community",0.7513
"QSR","2021-06-24 16:56:10+00:00","What will this afternoon bring in #trading #stocks? $SPY $SPX #daytrading #investing $FB $AAPL $AMZN $NFLX $GOOGL $NAKD $TRCH $SOS $UAVS $LIVX $ATOS $SLAM $OCGN $MREO $AMC $GME $QSR $PLUG $PHM $DG $ROKU $VIAC $COIN $RBLX $WISH $CLOV $WKHS $DY $CWT $FUBO $FSR $BNGO $GRWG $MSTR",0.0
"QSR","2021-06-25 10:21:55+00:00","Mars - the next outpost for #ZNNAliens.  Engines require high plasma.  Fusion capacity: MAX_MONEY / 10000 Colonialists, assemble! #NoM #AlphanetBigBang $ZNN $QSR $PP $BTC",0.0
"QSR","2021-06-26 19:30:54+00:00","$CMG upgraded their loyalty program to win a 2021 $TSLA Model 3 and other prizes. $MCD launched its first-ever loyalty program, joining $QSR Popeyes and $YUM Taco Bell to make consumers spend more and gain insights on consumer behavior. Another way to compete! Good for consumers!",0.97
"QSR","2021-06-27 15:15:06+00:00","Nice project and I look forward to the growth and success of this project  #NoM #AlphanetBigBang $ZNN $QSR $PP $BTC",0.8442
"QSR","2021-06-27 15:33:07+00:00","Very good project, great team, I will always support and follow the project to advance the project. I know a lot of friends, and they can pull in to accompany this project to grow and surpass Bitcoin. @Zenon_Network  @15Icel @anantaabdlh @elisameimei  #ZNNAliens  #NoM $ZNN $QSR",0.924
"QSR","2021-06-27 23:17:27+00:00","Mars - the next outpost for #ZNNAliens.  Engines require high plasma.  Fusion capacity: MAX_MONEY / 10000 Colonialists, assemble! #NoM #AlphanetBigBang $ZNN $QSR $PP $BTC",0.0
"QSR","2021-06-28 04:17:14+00:00","I'm probably going Long 1 cent &gt; daily high $ETR $CUK $AEE $ELS $KAST $AASP $SBAC $SWCH $SOHOO $DSE $USCS $QEDN $BUD $GLAXF $TU $HTA $TRP $CERN $TTRAF $CHK $PHM $GBOX $JOAN $QSR Short 1 cent &lt; daily low $FOA $TAL $BCHG $CHAQ $MHH $FLYW $WISH $RNG $PTCT",-0.2732
"QSR","2021-06-28 12:15:53+00:00","don't miss #NoM #AlphanetBigBang $ZNN $QSR $PP $BTC",0.1139
"QSR","2021-06-28 19:01:53+00:00","New Horizons ahead for the Interplanetary Voyagers. Get ready to spawn the Sentinels, we must conquer the Solar System. #NoM #AlphanetBigBang #evolve #PlasmaPoints $ZNN $QSR",0.3612
