"symbol","timestamp","content","sentiment_score"
"TCOM","2021-06-11 02:40:22+00:00","I'm thinking about Long 1 cent&gt; daily high $ACMR $BITTF $PANW $CVM $MDCE $SWIM $OPRA $SEEK $HPIL $UATG $YECO $PKX $HD $UNH $GENI $TCOM $GPX $ASC $BBU $ISEE $BAM Short 1 cent &lt;daily low $ATRI $PLMR $KALA $HEGIY $DCRB $SFT $VST $AKRO $KNDI $FREQ $BTAI $TRIL $GIX $RPRX $FSLY $MRTX",-0.2732
"TCOM","2021-06-14 04:12:09+00:00","I'm looking at Long 1 cent &gt; daily high $SGGTF $TSN $WY $JBLU $CRMT $ARCB $CI $SEEK $UATG $GENI $TCOM $ASC $LIN $HOOK $SCYX Short 1 cent &lt; daily low $PLMR $DCRB $SFT $VST $AKRO $KNDI $FREQ $BTAI $TRIL $FSLY $MRTX",-0.2732
"TCOM","2021-06-15 02:34:51+00:00","I'm considering Long 1 cent &gt; daily high $AMC $K $GIS $UBS $HSBC $BABA $WMS $WOWI $EMR $ABEV $CI $UATG $TCOM $LIN $HOOK $VEON $CSX $NSC Short 1 cent &lt; daily low $ESPR $APPF $CMPS $ICPT $FGEN $TFFP $MRTX $KNDI $KPTI $NRG $SFT $VST $AKRO $BTAI $TRIL $NBIX",-0.2732
"TCOM","2021-06-16 01:57:42+00:00","I'm probably going Long 1 cent &gt; daily high $SND $TELL $KIN $KOS $F $OC $MED $LGIH $RF $USB $TFC $MET $ABEV $SWGAY $WTFC $HSBC $CI $UATG $TCOM $HOOK $VEON $RCRUY $PATH $BUR Short 1 cent &lt; daily low $NCLTF $TKGSY $KXSCF $MKC $TLMD $AFRM $APXT $GWRE $OLLI $IOVA $NOVA $XM $FIXX",-0.2732
"TCOM","2021-06-17 15:38:44+00:00","Highlights of our published research today.... June 2021 Company Visit Takeaways on $BILI $TCOM $HTHT",0.0
"TCOM","2021-06-23 13:41:39+00:00","if $tcom closes above 9ma I might take some. hasn't closed above it for some time now",0.0
"TCOM","2021-06-24 22:42:49+00:00","Inside Weekly Breakouts: $AMGN $FOX $PAYX Inside Daily Breakouts: $JD $CHTR $SBUX $INCY $MRVL $AVGO Inside Day: $NTES $MRNA $ORLY $CERN $XRAY $GOOG $CMCSA $CTAS $CSCO $CPRT $BKNG $VRSK $TCOM $FAST",0.0
"TCOM","2021-06-25 14:03:26+00:00","Also bought some $TCOM at $35.95. Oversold. 10 am is one of my favorite time of day to buy.",0.4588
"TCOM","2021-06-25 18:22:17+00:00","Some of the largest stocks that hit new 1 Month Lows at some point today NetEase $NTES Southern $SO Coupang $CPNG Air Products $APD Vodafone $VOD Monster $MNST Southwest $LUV Orange $ORAN Franco $FNV Trip(.)com $TCOM Ryanair $RYAAY Entergy $ETR Huazhu $HTHT $SOFI Agnico $AEM",-0.2023
"TCOM","2021-06-30 13:15:22+00:00","Patience on full reopening. Airlines Travel Retail Restaurants. $bkng $abnb $tcom $shak $cake $jblu $save $mar $sbux $cmg $nke",0.0
"TCOM","2021-06-30 13:59:27+00:00","Sold $TCOM for $36.15 . held for little longer then id prefer but made a few dollars on it. Bought more $SFM at $24.94. Keep averaging down. Hoping for  10% increase by next week.",0.7684
"TCOM","2021-07-06 17:29:55+00:00","very frustrating   i chose $ZTO but was considering $TCOM $KC as shorts instead    TCOM triggered today",-0.2724
"TCOM","2021-07-06 19:55:38+00:00","🇨🇳 Equities Today: $BABA -2.97% $PDD -5.44% $PTR -2.4% $JD -5.07% $LFC -6.2% $NIO -0.53% $DIDI -21.47% $SNP -3.75% $NTES - 3.54% $BIDU -4.38% $BEKE -10.03% $BILI -8.71% $TCOM 2.82% $XPEV 0.00% $BGNE -4.83% $LI +2.69% $YUMC +0.29% $LU -1.33% $TME -7.04% not only $DIDI",0.0
"TCOM","2021-07-08 14:05:10+00:00","86 Research Editorial Picks - Mainland China Articles Diiscoverd &amp; Translated for clients. We publish 4-5 Editorial Picks per month. Today's EP: $TCOM: TCOM Executive Chairman James Liang: Taking Our Mid-to High-end Customers is No Easy Matter",-0.2023
"TCOM","2021-07-13 17:23:15+00:00","$TCOM $31.00 Sep 17 2021 PUT ⬇️🌊 Underlying: $32.45 % Difference: 4.69% Daily $ Volume: $130,000 Volume: 1,000 OI: 243 IV: 36.41% Bid/Ask: $1.25/$1.35",0.0
"TCOM","2021-07-14 22:40:46+00:00","$TCOM around 32",0.0
"TCOM","2021-07-15 15:51:50+00:00","$TCOM soon🍆",0.0
"TCOM","2021-07-16 14:29:46+00:00","$TCOM going down. Buy every dip SLOWLY!",0.0
