"symbol","timestamp","content","Positive","Negative","Neutral"
"HLT","2021-06-08 14:51:19+00:00","$F is trying to compete with $UAL &amp; $HLT to being one of my favs🎊🎊",0.3328768312931061,0.00868428498506546,0.6584389209747314
"HLT","2021-06-09 13:31:12+00:00","$ADP Alert: Open &gt; 100 day high $CHWY Alert: Open &gt; 20 day high $CLVS Alert: Open &gt; 20 day high $COP Alert: Open &gt; 50 day high $DKNG Alert: Open &gt; 20 day high $EBAY Alert: Open &gt; 100 day high $GOOG Alert: Open &gt; 100 day high $HLT Alert: Open &gt; 20 day high",0.23859326541423798,0.06833485513925552,0.6930719017982483
"HLT","2021-06-10 22:31:11+00:00","$ABNB  - 24 analysts offering 12-month price targets in the last 3 months for Airbnb evaluate the company at an average price target of $185.38 with a high of $245.00. $MAR $HLT $AHT $CLNE $AMC $WYNN $LVS",0.19721554219722748,0.029182929545640945,0.7736015319824219
"HLT","2021-06-12 00:41:00+00:00","Largest weekly positions into next week $X 30c @ .61 $X 28.5c @ .96 $SOLO 5c @ .21 $FEYE 22c @ .27 $PLTR 25c @ .45 $HLT 130c @ 1.25 $AMC 40c @ 1.24",0.0504484623670578,0.03614146262407303,0.9134100675582886
"HLT","2021-06-13 12:41:50+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AAPL $ARKK $CRSP $DELL $DKS $DUK $EMB $ENPH $HLT $IFF $INFO $JNK $LMND $LQD $MXIM $PTON $QCOM $SPXL $SRE $TQQQ $UPRO $XLK",0.12564919888973236,0.026361558586359024,0.8479892611503601
"HLT","2021-06-14 22:28:54+00:00","Still swinging $HLT 130c for this week.  Rough day but managed to come back to even at close. Expecting a nice follow through tomorrow.  Looking decent Afterhours.",0.9221848845481873,0.03733593598008156,0.04047923907637596
"HLT","2021-06-15 12:55:00+00:00","TODAY on #MorningTradeLive:  🔹 @Allianz's Johan Grahn on the macro setup 🔹 @TDAJJKinahan on $SAVE, $BA, $HLT, $FAST 🔹 @AngelOakCap's Cheyl Pate talks opportunities in banks 🔹 @JoeTigay trades $ORCL 🔹 @PolenCapital's Rayna Lesser Hannaway shares stock picks Stream Live 👇",0.08338601887226105,0.01814323477447033,0.8984707593917847
"HLT","2021-06-15 20:20:44+00:00","$HLT Three White Soldiers Daily appearances since 2013: 9 Close 5 days later ±: Avg: -0.10 SD: 1.42 Worst: -2.59 Best: 1.98 10 days later: Avg: -0.68 SD: 3.46 Worst: -6.62 Best: 3.73 30 days later: Avg: -1.58 SD: 4.84 Worst: -7.33 Best: 7.06",0.027772819623351097,0.7726473808288574,0.19957970082759857
"HLT","2021-06-16 00:29:03+00:00","Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $A $AVLR $CRI $CVX $DUK $ENTG $ETR $HLT $ICE $JCOM $KMX $LDOS $MDT $MMC $PEP $RSG $SRE $TRU",0.11111928522586823,0.02337956428527832,0.8655011057853699
"HLT","2021-06-16 20:20:43+00:00","$HLT Bearish Engulfing Daily appearances since 2013: 58 Close 5 days later ±: Avg: 0.25 SD: 2.84 Worst: -5.96 Best: 6.76 10 days later: Avg: 1.01 SD: 2.83 Worst: -4.72 Best: 8.07 30 days later: Avg: 1.27 SD: 8.29 Worst: -22.31 Best: 18.33",0.014057866297662258,0.9122255444526672,0.07371659576892853
"HLT","2021-06-17 12:45:51+00:00","$HLT $HOFV Hall of Fame Resort and Entertainment Company Recognized with 2020 Hilton Legacy Award",0.7588963508605957,0.011330503970384598,0.22977319359779358
"HLT","2021-06-18 12:00:26+00:00","There are amazing names all around you! 👇 Need a drink? $SBUX $BUD Need food? $MCD $CMG Need a new phone? $AAPL $SONY Need to research? $GOOGL Going on vacation? $BKNG $HLT Need groceries? $COST $TGT Fixing the house? $HD $LOW $RH Buy what you know! ✅",0.03708302229642868,0.035497140139341354,0.9274198412895203
"HLT","2021-06-18 13:08:20+00:00","*Hilton Doubles Dn on Las Vegas Growth With Rapidly Expanding Portfolio and Grand Return to the Strip $HLT",0.9260568022727966,0.014827855862677097,0.05911532789468765
"HLT","2021-06-18 13:41:39+00:00","Hilton ( $HLT ) is doubling down on Las Vegas growth with a rapidly expanding portfolio and a grand return to the strip",0.6064337491989136,0.31052276492118835,0.0830434188246727
"HLT","2021-06-19 07:40:22+00:00","DeItaone: *Hilton Doubles Dn on Las Vegas Growth With Rapidly Expanding Portfolio and Grand Return to the Strip $HLT",0.9277285933494568,0.013430501334369183,0.058840878307819366
"HLT","2021-06-22 20:20:41+00:00","$HLT Dark Cloud Cover Daily appearances since 2013: 54 Close 5 days later ±: Avg: -0.41 SD: 2.77 Worst: -6.90 Best: 9.02 10 days later: Avg: -0.05 SD: 4.01 Worst: -6.78 Best: 9.17 30 days later: Avg: 0.02 SD: 7.22 Worst: -14.52 Best: 19.84",0.02532968297600746,0.7111423015594482,0.26352807879447937
"HLT","2021-06-23 20:20:46+00:00","$HLT Below Avg Volume Daily appearances since 2013: 316 Close 5 days later ±: Avg: -0.12 SD: 2.93 Worst: -24.28 Best: 7.11 10 days later: Avg: -0.07 SD: 4.04 Worst: -26.09 Best: 7.80 30 days later: Avg: 0.55 SD: 6.88 Worst: -54.14 Best: 14.17",0.018443405628204346,0.8620118498802185,0.11954468488693237
"HLT","2021-06-25 06:00:00+00:00","Resorts World Las Vegas, the most expensive property ever developed in Las Vegas, has officially opened. The $4.3 billion property is the result of an $HLT and Genting Group partnership.",0.17914433777332306,0.00830939132720232,0.8125462532043457
"HLT","2021-06-25 20:20:44+00:00","$HLT Lower Prices Higher Volume Daily appearances since 2013: 66 Close 5 days later ±: Avg: 0.16 SD: 3.93 Worst: -7.56 Best: 15.57 10 days later: Avg: -0.27 SD: 6.06 Worst: -19.11 Best: 17.76 30 days later: Avg: -0.30 SD: 10.37 Worst: -40.22 Best: 19.03",0.09466268867254257,0.7698463201522827,0.1354910135269165
"HLT","2021-06-28 12:00:26+00:00","It’s another week of opportunity!  Here are a few names by theme! 👇🏽 Aerospace &amp; Defense 🚀 $BA $LMT $NOC $ RTX Fintech 💻 $SQ $PYPL $Z $SHOP Travel ✈️ $AXP $JETS $CCL $HLT $WYNN Social Media 📲 $FB $SNAP $PINS Streaming 📺 $DIS $FUBO $NFLX $ROKU Trade on! 💰",0.060543980449438095,0.021199539303779602,0.9182564616203308
"HLT","2021-06-28 14:33:54+00:00","OK, selling $mar $hlt, isn't $abnb got major issue if delta kills hotels, they all go down with Frasier!",0.028600770980119705,0.5226012468338013,0.4487980604171753
"HLT","2021-06-28 14:47:04+00:00","$TH SOLD 122 @ $4.03; -$21.83, -4.25% Peers: $ABNB $MAR $HLT $SPY",0.23374667763710022,0.04247028008103371,0.7237830758094788
"HLT","2021-06-28 16:39:01+00:00","$ABNB is not reacting to the general weakness in Hospitality &amp; Travel sector. could be a sign of strength $RCL $EXPE $HLT $BKNG",0.29596978425979614,0.5715200901031494,0.13251018524169922
"HLT","2021-06-28 20:20:41+00:00","$HLT Minor Breakdown Daily appearances since 2013: 86 Close 5 days later ±: Avg: 0.04 SD: 5.68 Worst: -24.41 Best: 15.57 10 days later: Avg: 0.21 SD: 7.59 Worst: -33.47 Best: 19.73 30 days later: Avg: 0.90 SD: 9.31 Worst: -33.38 Best: 25.99",0.02367158979177475,0.7377828359603882,0.23854553699493408
"HLT","2021-06-29 20:20:44+00:00","$HLT Minor Breakdown Daily appearances since 2013: 86 Close 5 days later ±: Avg: 0.04 SD: 5.68 Worst: -24.41 Best: 15.57 10 days later: Avg: 0.21 SD: 7.59 Worst: -33.47 Best: 19.73 30 days later: Avg: 0.90 SD: 9.31 Worst: -33.38 Best: 25.99",0.02367158979177475,0.7377828359603882,0.23854553699493408
"HLT","2021-06-29 20:20:45+00:00","$HLT Lower Prices Lower Volume Daily appearances since 2013: 29 Close 5 days later ±: Avg: 0.71 SD: 2.73 Worst: -2.95 Best: 8.49 10 days later: Avg: 0.17 SD: 6.23 Worst: -26.09 Best: 10.34 30 days later: Avg: 1.82 SD: 8.03 Worst: -23.85 Best: 15.55",0.026983007788658142,0.9265530109405518,0.04646405205130577
"HLT","2021-06-30 21:25:10+00:00","Several travel companies are setting a nice entry point, a reversal is coming for: $UAL, $ALK, $DAL, $MAR, $HLT and $BKNG. $SPY #StocksToWatch #investment",0.13449950516223907,0.015480522066354752,0.8500199317932129
"HLT","2021-07-01 01:09:46+00:00","Airbnb shares are trading higher. Strength is possible due to travel optimism. 🎢 $CCIV $MGM $DKNG $NIO $AMC $ENPH $MAR $HLT",0.9403279423713684,0.018250562250614166,0.041421569883823395
"HLT","2021-07-01 15:02:15+00:00","$EXPE $DIS down more than 3% in the last 3 months. $HLT barely up any. Reopening playing is waiting for quarterly reports.",0.012871482409536839,0.9589341282844543,0.028194425627589226
"HLT","2021-07-01 15:46:30+00:00","$HLT -&gt; looking for a push above 123 area. Keep on radar. $SPY, $TSLA, $GME, $AMC, #stocks",0.1058444082736969,0.02445264719426632,0.8697029948234558
"HLT","2021-07-01 20:20:41+00:00","$HLT Rising Price and Volume Daily appearances since 2013: 87 Close 5 days later ±: Avg: 0.33 SD: 2.86 Worst: -8.49 Best: 10.66 10 days later: Avg: -0.19 SD: 5.12 Worst: -25.10 Best: 10.64 30 days later: Avg: -0.57 SD: 8.46 Worst: -40.69 Best: 11.61",0.03276582434773445,0.6849287152290344,0.2823054790496826
"HLT","2021-07-02 13:21:51+00:00","$GS: Wells Fargo Raises Price Target To $420 From $385 $HLT: Cowen Raises Target Price To $135 From $110 $ILMN: Cowen Raises Price Target To $500 From $460 $LLY: Truist Securities Raises Target Price To $262 From $225 $MAR: Cowen Raises Target Price To $170 From $140",0.9017735719680786,0.033896517008543015,0.06432989984750748
"HLT","2021-07-02 15:00:03+00:00","Notable gainers among liquid option names this morning include $ORCL (+2.4%), $NRG (+2.1%), $SWKS (+2.0%), $HLT (+2.0%), and $KMX (+1.6%),",0.4422205984592438,0.05257841572165489,0.5052009224891663
"HLT","2021-07-02 20:06:26+00:00","Biggest Gains in the $SPY : $ORCL +2.87% $PAYC +2.75% $HLT +2.58% Biggest Gains in the $QQQ : $GOOGL +2.30% $AMZN +2.27% $MSFT +2.23%",0.876057505607605,0.029111240059137344,0.09483121335506439
"HLT","2021-07-02 21:30:56+00:00","$HLT Hilton Worldwide Holdings Inc is shooting through the roof with a +2.58% increase today!",0.9508645534515381,0.015376522205770016,0.03375890478491783
"HLT","2021-07-02 22:09:15+00:00","$ORCL $PAYC $HLT $KMX $FTNT $GOOGL $AMZN $MSFT $NRG and $IT all closed up over 2% and are Friday's top performing $SPX #stocks",0.925607442855835,0.026926463469862938,0.04746605455875397
"HLT","2021-07-05 20:36:09+00:00","$H $HLT $MAR all look to be getting ready for the next leg after months of consolidation.",0.8461858034133911,0.02929554134607315,0.12451872229576111
"HLT","2021-07-05 21:30:54+00:00","$HLT Hilton Worldwide Holdings Inc is shooting through the roof with a +2.58% increase today!",0.9508645534515381,0.015376522205770016,0.03375890478491783
