"symbol","timestamp","content","Positive","Negative","Neutral"
"IHG","2021-06-08 14:26:54+00:00","Best performing large cap stocks ($10B+ market cap) in today's early trading GameStop $GME BlackBerry $BB $AMC LI Auto $LI $TUYA Generac $GNRC Marvell $MRVL SolarEdge $SEDG Affirm $AFRM Trade Desk $TTD Cloudflare $NET Rocket $RKT UpStart $UPST Procore $PCOR InterContinental $IHG",0.6428349018096924,0.025690574198961258,0.33147454261779785
"IHG","2021-06-14 17:49:07+00:00","Chris Mayer’s 11 stock holdings aggregated from recent Tweets... $EVO $CSU $HEI $CPRT $EXO.MI $TPL $BRO $BOL.PA $HHC $IHG $TOI.V Am I 11/11 @chriswmayer?",0.03813188150525093,0.02197747677564621,0.9398906826972961
"IHG","2021-06-25 14:23:39+00:00","Worst performing large cap stocks in today's early trading $SOFI FedEx $FDX $AMC New Oriental $EDU Logitech $LOGI Oatly $OTLY Unity $U GameStop $GME $RLX Vipshop $VIPS Tal Education $TAL Coinbase $COIN Roblox $RBLX Shopify $SHOP Intercontinental $IHG GoodRx $GDRX Vodafone $VOD",0.03632764518260956,0.6046647429466248,0.3590076267719269
"IHG","2021-06-28 14:48:20+00:00","European travel shares fell materially today as Britons will be required to show proof of vaccination of people arriving from UK. Seems like an opportunity to accumulate. $DUFRY $TUI $AENA $IHG $SSP",0.011073032394051552,0.9664852619171143,0.02244170755147934
"IHG","2021-07-15 10:17:43+00:00","$IHG Deutsche Bank analyst Andre Juillard upgrades InterContinental Hotels from Hold to Buy.",0.5666332244873047,0.04804682359099388,0.38531991839408875
"IHG","2021-07-15 11:34:33+00:00","$IHG: Deutsche Bank ups to Buy",0.7581670880317688,0.018243422731757164,0.22358950972557068
"IHG","2021-07-16 12:39:22+00:00","Upgrades 7/16: $AA $CMI $CTAS $DNOW $ET $GATX $HNST $HP $IHG $MTDR $NOV $OLN $PAA $PAGP $TXT $WLK $WLKP $ZYXI  . Downgrades 7/16: $DOW $FGEN $FNV $GPX $HLX $HOMB $LONE $LYB $MPLX $SCPL $TME $TRQ $TU $UFS $WLPKP $ZTS",0.07828594744205475,0.30791035294532776,0.6138036847114563
"IHG","2021-07-16 13:47:54+00:00","Best performing large cap stocks at today's open Aluminum $ACH Moderna $MRNA $AMC GameStop $GME InterContinental $IHG Live Nation $LYV Textron $TXT State ST $STT Royal Caribbean $RCL XPeng $XPEV $XP Roblox $RBLX Square $SQ Oak ST $OSH China Eastern $CEA Cintas $CTAS $CQP $BNTX",0.45552513003349304,0.02903461642563343,0.5154402256011963
"IHG","2021-07-16 14:49:35+00:00","businesses reopening, expect good hype in travel &amp; tourism $ABNB $BKNG $UAL $AAL $DAL $DIS $SIX $HLT $IHG I cover no meme stocks, as they are sooner or later will become a felony $AMC $GME",0.2276640236377716,0.014343658462166786,0.7579922676086426
"IHG","2021-08-10 07:14:37+00:00","🏨#Intercontinental Hotel Group swings into profit. 🛎️A jump in summer bookings &amp; a pick up in business bookings saw revenue per room rise 20% in H1. 🦠Delta COVID is causing some uncertainty to outlook.  $IHG 🔽 0.3% #MarketUpdate  RW: 79.32% of retail clients lose money.",0.020965104922652245,0.9552639126777649,0.023771028965711594
"IHG","2021-08-10 08:38:52+00:00","BREAKING: @IHGhotels reports a $138 million profit for the first half of 2021. $IHG",0.06228138133883476,0.025318749248981476,0.9123998880386353
"IHG","2021-08-10 09:05:22+00:00","🚨🚨: @IHGhotels announces plans for new luxury and lifestyle ""soft brand"" collection of hotels, but Barr notes the company will keep a tight lid on the new brand's name and design features ""for just a few weeks longer."" $IHG Story to come later this AM post-earnings at @skift",0.04693792015314102,0.02465180680155754,0.9284102320671082
"IHG","2021-08-10 13:04:40+00:00","$IHG - InterContinental Hotels reports 1H results Cap size: large, PE: -46.0, Current Price: $65.83, Last Daily Volume: 199k",0.03771911561489105,0.02037360705435276,0.9419072270393372
"IHG","2021-08-16 15:44:41+00:00","InterContinental price target raised to 5,200 GBp from 4,900 GBp at Citi $IHG",0.9465966820716858,0.02208605967462063,0.031317226588726044
"IHG","2021-08-19 09:35:46+00:00","InterContinental upgraded to Hold from Reduce at Peel Hunt $IHG",0.8372350335121155,0.01663142442703247,0.14613352715969086
"IHG","2021-08-19 13:07:24+00:00","Upgrades 8/19: $APLS $BILL $BRSP $DQ $IHG $NEXA $NFE $OTLY $PAYS $SFL $SMAR $TX $WB $WRB  . Downgrades 8/19: $GLPG $ILMN $NTAP $NVDA $SE $TME $TTC $TX $VIPS",0.27348843216896057,0.19696149230003357,0.5295501351356506
"IHG","2021-08-26 17:50:08+00:00","InterContinental price target raised to 5,650 GBp at Deutsche Bank $IHG",0.8713735938072205,0.013711468316614628,0.11491496115922928
"IHG","2021-08-30 15:47:30+00:00","InterContinental upgraded to Buy from Hold at Societe Generale $IHG",0.6947999000549316,0.010765925981104374,0.294434130191803
"IHG","2021-08-30 15:56:11+00:00","Societe Generale upgrades InterContinental to Buy, says shouldn't lag U.S. peers $IHG",0.9159185886383057,0.020649023354053497,0.06343237310647964
"IHG","2021-08-30 17:17:51+00:00","Recording day tomorrow (Jon's shifts prevented a weekend recording), companies on the agenda are: Coca-Cola HBC $cch Just Eat Takeaway $jet Hargreaves Lansdown $hl Prudential $pru Intercontinental Hotels Group $ihg Disney $dis Release date will be tomorrow",0.023676255717873573,0.045114487409591675,0.9312092661857605
"IHG","2021-08-31 11:46:00+00:00","Just looking at the InterContinental Hotels Group results. Average rev per available room still only 57% of 2019 levels in the first half, although it was up to 64% in the second quarter. I don't understand why despite this the share price is at pre-pandemic levels. $ihg",0.1473182588815689,0.6432012319564819,0.20948047935962677
"IHG","2021-09-17 10:16:56+00:00","$IHG Berenberg analyst Stuart Gordon upgrades InterContinental Hotels from Hold to Buy.",0.41322553157806396,0.05812761187553406,0.5286468267440796
"IHG","2021-09-17 11:40:47+00:00","$ACCD: Baird Upgrades to Outperform from Neutral - PT $54 $DTE: Evercore ISI Upgrades to Outperform from In Line - PT $127 $IHG: Berenberg Upgrades to Buy from Hold  $MCW: BofA Securities Upgrades to Buy from Neutral - PT $23",0.832464873790741,0.01806938275694847,0.14946572482585907
"IHG","2021-09-17 13:13:53+00:00","Upgrades 9/20: $ACCD $DTE $E $HSBC $IHG $LOMA $MCW $PATH $RYAAY $SIVB $TRQ $VLY $WNEB $ZI  . Downgrades 9/20: $ALV $ARMK $CREE $CRUS $CSX $EQNR $GWB $HIMX $ILMN $LVS $MAN $ORLY $RACE $SNA $SNPS $TTE $TTWO $VALE $WYNN",0.10144205391407013,0.18617583811283112,0.7123821377754211
"IHG","2021-09-23 19:02:48+00:00","upgrades 9/17 $PATH $VLY $ZI $MCW $FIVN $CNI $ACCD $DTE $HSBC $SIVB $TRQ $E $WNEB $IHG",0.5094356536865234,0.02451211027801037,0.4660522937774658
"IHG","2021-10-22 11:19:00+00:00","#UK: Stocks on the move: 🔻 Hospitality $IHG -3%. Oilfield svc $PFC -3.3%. Insurance $SBRE -2.2% ▲  Mining/Steel $EVR +3.1%. Sportswear $JD +2.8%. Chemical $CRDA +2.5% #StockMarket  @LSEplc",0.05372491478919983,0.026171287521719933,0.9201037287712097
"IHG","2021-10-22 17:45:03+00:00","InterContinental Hotels Group PLC $IHG held an earnings call on 10/22/2021. Here are the highlights:",0.02017935924232006,0.054458193480968475,0.9253624677658081
"IHG","2021-11-03 16:00:00+00:00","On January 1, 2022, Graham Denis Allan will start a role as #SeniorIndependentNED at @InterConHotels. #BoardExAlerts #FTSE100 $IHG",0.032177411019802094,0.01893145591020584,0.9488911628723145
"IHG","2021-11-09 19:38:03+00:00","InterContinental price target raised to 5,700 GBp at Deutsche Bank $IHG",0.8546567559242249,0.013783077709376812,0.13156017661094666
"IHG","2021-11-17 21:02:20+00:00","$IHG: Holiday Inn Express, a growth engine for IHG Hotels &amp; Resorts, surpasses 3000 hotels globally",0.9181082248687744,0.008421214297413826,0.07347061485052109
"IHG","2021-11-25 00:17:49+00:00","InterContinental double-upgraded to Buy from Underperform at Jefferies $IHG",0.9481527805328369,0.020581496879458427,0.03126571699976921
"IHG","2021-12-15 14:46:37+00:00","09:46 New 52wk Lows: $CDXC $IHG $JOBS $MKFG $ORIC $SNN $VIRX $VVNT",0.026719916611909866,0.8557723760604858,0.11750760674476624
"IHG","2021-12-23 14:15:15+00:00","Main Watchlist: Gapping UP: $BA, $RCL, $IHG, $WYNN, $LVS Gapping DOWN: $JD, $QDEL, $PDD, $MRNA Momentum Watchlist: $ENSC, $IINN, $ALLK, $TKC Good morning everyone. Market closed tomorrow, so let's end the week right.  Happy trading, and happy holidays :)",0.07713375240564346,0.18937928974628448,0.7334868907928467
"IHG","2022-01-04 15:02:49+00:00","Best performing large cap stocks in today's early trading Ford $F Halliburton $HAL Occidental $OXY Toyota $TM $HSBC $APA Discovery $DISCA Citizens $CFG China Eastern $CEA Schwab $SCHW Hewlett Packard $HPE $BP Hess $HES Inter $IHG $SIVB Continental $CLR Taiwan Semi $TSM $RDS.B",0.5114467740058899,0.028762413188815117,0.45979079604148865
"IHG","2022-01-04 15:22:09+00:00","Best performing large cap stocks in today's early trading Ford $F Halliburton $HAL Occidental $OXY Toyota $TM $HSBC $APA Discovery $DISCA Citizens $CFG China Eastern $CEA Schwab $SCHW Hewlett Packard $HPE $BP Hess $HES Inter $IHG $SIVB Continental $CLR Taiwan Semi $TSM $RDS.B",0.5114467740058899,0.028762413188815117,0.45979079604148865
"IHG","2022-01-04 15:32:37+00:00","Large caps con mejor rendimiento en lo que va de la mañana: Ford $F Halliburton $HAL Occidental $OXY Toyota $TM $HSBC $APA Discovery $DISCA Citizens $CFG China Eastern $CEA Schwab $SCHW Hewlett Packard $HPE $BP Hess $HES Inter $IHG $SIVB Continental $CLR Taiwan Semi $TSM",0.41945984959602356,0.03237907588481903,0.5481610298156738
"IHG","2022-01-05 12:31:16+00:00","$IHG: UBS ups to Buy",0.4286918640136719,0.016601819545030594,0.5547062754631042
"IHG","2022-01-05 13:13:39+00:00","$IHG UBS analyst Bilal Aziz upgrades InterContinental Hotels from Neutral to Buy.",0.6851276159286499,0.0759691596031189,0.2389032542705536
"IHG","2022-01-05 13:15:53+00:00","$IHG - UBS Upgrades InterContinental Hotels to Buy",0.8545154333114624,0.015702133998274803,0.12978240847587585
"IHG","2022-01-05 13:15:57+00:00","$IHG - UBS Upgrades InterContinental Hotels to Buy",0.8545154333114624,0.015702133998274803,0.12978240847587585
"IHG","2022-01-05 13:24:54+00:00","$IHG is moving pre-market:⁣ ⁣ InterContinental Hotels shares are trading higher after UBS upgraded the stock from Neutral to Buy.",0.9500625729560852,0.023846490308642387,0.026090946048498154
"IHG","2022-01-05 14:19:37+00:00","Upgrades 1/5: $ACAD $AEL $AMP $BE $CAKE $CHK $CVX $D $EFX $EMR $FERG $GRMN $GOOS $IHG $INTC $LBRT $LDI $LNC $MET $MUR $NTRS $PFE $PINS $RRC $SM $STER $SU $VOYA",0.57063227891922,0.03059658594429493,0.398771196603775
"IHG","2022-01-05 15:04:46+00:00","Best performing large cap stocks in today's early trading Steel Dynamics $STLD Nucor $NUE Cleveland $CLF Alibaba $BABA Alcoa $AA Tencent Music $TME Intel $INTC Posco $PKX $ZTO Pinduoduo $PDD UpStart $UPST Deere $DE Equinor $EQNR $SONY Pinterest $PINS Cheniere $LNG Lufax $LU $IHG",0.5145692825317383,0.025298800319433212,0.4601319134235382
"IHG","2022-01-05 16:22:35+00:00","$IHG UBS Upgrades InterContinental Hotels to Buy $BHF Evercore ISI Group Downgrades Brighthouse Financial to In-Line, Lowers Price Target to $57 $DLR Deutsche Bank Downgrades Digital Realty Trust to Hold, Announces $175 Price Target",0.1760931760072708,0.24524050951004028,0.5786662697792053
"IHG","2022-01-11 20:09:34+00:00","InterContinental price target raised to 5,500 GBp at Morgan Stanley $IHG",0.8513365387916565,0.015406534075737,0.1332569122314453
"IHG","2022-01-11 20:13:40+00:00","InterContinental price target raised to 5,500 GBp at Morgan Stanley $IHG",0.8513365387916565,0.015406534075737,0.1332569122314453
"IHG","2022-01-18 20:09:59+00:00","InterContinental price target raised to 5,700 GBp from 5,400 GBp at Berenberg $IHG",0.9489403367042542,0.02146104723215103,0.029598655179142952
"IHG","2022-01-18 20:10:44+00:00","InterContinental price target raised to 5,700 GBp from 5,400 GBp at Berenberg $IHG",0.9489403367042542,0.02146104723215103,0.029598655179142952
"IHG","2022-01-21 10:30:50+00:00","InterContinental upgraded to Neutral from Underperform at Exane BNP Paribas $IHG",0.9304828643798828,0.028842687606811523,0.040674515068531036
"IHG","2022-01-21 10:32:35+00:00","InterContinental upgraded to Neutral from Underperform at Exane BNP Paribas $IHG",0.9304828643798828,0.028842687606811523,0.040674515068531036
"IHG","2022-01-25 14:16:00+00:00","If you only own #airline stocks, you're missing out on 2/3 of the #travel #recovery story. $TRYP ETF. #Rebound #Reopening #Reopeningtrade #Airlines #Hotels #Cruise $LUV $AAL $UAL $DAL $RYAAY $ALK $JBLU $HLT $MAR $JETS $VICI $HST $WH $IHG $VAC $CHH $H $PK $HGV $TNL $NCLH $RCL $CCL",0.06408634036779404,0.06101471930742264,0.8748989105224609
"IHG","2022-01-27 13:50:00+00:00","$TRYP #travel ETF. Not just #airlines but #hotels and #cruise lines too. #Recovery #Rebound #Reopening #Reopeningtrade $LUV $AAL $UAL $DAL $RYAAY $ALK $JBLU $HLT $MAR $JETS $VICI $HST $WH $IHG $VAC $CHH $H $PK $HGV $RHP $TNL $NCLH $RCL $CCL @Michael_Khouw @ZacksResearch",0.16316978633403778,0.03426135703921318,0.8025688529014587
"IHG","2022-02-11 20:13:04+00:00","InterContinental price target lowered to 5,610 GBp at Deutsche Bank $IHG",0.1067894995212555,0.4386252164840698,0.45458531379699707
"IHG","2022-02-22 06:38:57+00:00","Corp events this morning..not that they will matter..  EX div  $LOG SM  $AMCR  Earning calls during mkt session : $SN/ at 9h30 $CINT 9h30 $HSBC 9h30 $CCH at 10h $IHG at 10h30  $FRE 13h30",0.024990728124976158,0.11037369072437286,0.8646355867385864
"IHG","2022-02-22 09:35:18+00:00","BREAKING: @IHGhotels reports a $494M 2021 profit compared to a $153M loss in 2020. $IHG",0.6934748888015747,0.2833348214626312,0.02319030463695526
"IHG","2022-02-23 17:05:10+00:00","#EARNINGS🌎FEB22Tu R11 $1.5T: $HD $HSBC $MDT $PANW' $MELI' $NU' $Cdns' $Psa' $Vrsk' $A' $Rng' $Czr' $Fang' $Csgp' $Expd $Mos' $Anto. SaudT. $Fms. $Wow) $Hsngy) $Nhy. $Viv $Ihg. $Elezy. $Tru $O' $Midd $Pcor' $Ndsn' $M $Tdoc' $Tol' $Asm. $Au. $Col) $exas' $pen' $agr' $bld cnp tpx..",0.06863648444414139,0.020261231809854507,0.911102294921875
"IHG","2022-02-24 17:28:26+00:00","InterContinental price target raised to 5,675 GBp from 5,575 GBp at UBS $IHG",0.9479724168777466,0.023902857676148415,0.02812471054494381
"IHG","2022-02-24 17:29:10+00:00","InterContinental price target raised to 5,675 GBp from 5,575 GBp at UBS $IHG",0.9479724168777466,0.023902857676148415,0.02812471054494381
"IHG","2022-02-28 10:16:53+00:00","InterContinental upgraded to Outperform from Neutral at Exane BNP Paribas $IHG",0.9380501508712769,0.030185185372829437,0.031764738261699677
