"timestamp","content","symbol"
"2021-10-14 05:30:14+00:00","Last month, we predicted a U turn in Gold and Silver from 1st October 2021. Back then Gold was at $1721 (45,800 Rupees) and Silver was around $21.45 (58800). Now, #Gold is trading at $1790 (47,880 Rupees) and #Silver is trading at $23.00 (62,720 Rupees).  $GLD $AIU #GOLD #MCX","AIU"
"2021-11-15 17:36:50+00:00","CRYPTO MEMBERS: On Your Email Now! Mid Day Crypto Scan Webinar - $BTC, $CIRCUS, $XRP, $LYXE, $SOL, $XTZ, $DENT, $HBAR, $QNT, $ALBT, $LCX, $XRP, $ARRR, $XMR, $LTX, $MARA, $AIU, $EQZ ...","AIU"
"2022-05-03 13:50:05+00:00","$AIU will be a halter. Accumulating","AIU"
"2022-05-03 18:20:52+00:00","$AIU This looks like one that will just skyrocket out of nowhere. Got in.","AIU"
"2022-05-04 14:10:34+00:00","Added $AIU 1.47     Former $ONE recent name change.  Shows intent to switch into new sector, very likely metaverse.  I strongly believe an upcoming PR highlighting their business transition is coming soon.   Will swing some as well","AIU"
"2022-05-04 14:22:31+00:00","Swinging $AIU for news","AIU"
"2022-05-11 20:02:54+00:00","👑Shares of companies in the broader consumer discretionary sector are trading lower amid overall market weakness as investors digest the latest US inflation data, which came in higher-than-expected. 🍿   $AIU 🥇","AIU"
"2022-05-12 18:06:27+00:00","👑Shares of several companies in the broader consumer discretionary sector are trading higher as stocks experience continued volatility amid concerns over rates and inflation. 🍿   $AIU 🥇","AIU"
"2022-05-13 17:38:51+00:00","$AIU worth watching. $2’s will come quick","AIU"
"2022-05-23 15:28:19+00:00","$AIU Meta Data Limited Files Annual Report On Form 20-F Stock News Alerts In Bio","AIU"
"2022-05-24 16:30:44+00:00","$AIU (old $ONE) don’t be shocked to see $3-$4 here on news. Company moved from edu sector to blockchain and AI","AIU"
"2022-05-26 17:09:05+00:00","$AIU I want $3+ here on this China name","AIU"
"2022-06-02 16:37:38+00:00","$AIU any decent volume day and we see $2.50-$3’s $TIVC still waiting on you","AIU"
"2022-06-03 16:38:35+00:00","$AIU broke $1.60, let’s see $2’s into next week","AIU"
"2022-06-08 18:52:36+00:00","$AIU Is a China meta play now with their sector and symbol change. Facebook to change ticker tomorrow, could see meta type plays get some volume","AIU"
"2022-06-09 15:24:47+00:00","$AIU Micro float China ww, halter potential","AIU"
"2022-06-09 15:30:07+00:00","pennies rise and shine!  $AIU $PBTS $NXTP $ENJY   Next: $ATER","AIU"
"2022-06-14 19:37:59+00:00","$AIU Chinese uplister, still waiting on this one","AIU"
"2022-06-23 15:10:36+00:00","$BHAT could fuel other China r/s names. Eyes on $AIU","AIU"
"2022-06-23 15:51:32+00:00","$BHAT 250%+ now. $AIU They’ll find this China r/s next","AIU"
"2022-06-23 17:13:35+00:00","$AIU $2’s here today easy","AIU"
"2022-06-24 13:21:14+00:00","$BHAT $TBLT $PTEZ China low float R/S names are the theme. $AIU thinking we see $3’s here too, will grab more at open","AIU"
"2022-06-28 18:14:27+00:00","$AIU (old $ONE) $7.60 cash per share, float around 2.5M. Daily continues to set up with higher lows","AIU"
"2022-06-29 21:00:23+00:00","Upcoming earnings calls on Thursday, June 30 2022: 1. $AIU Meta Data Limited 2. $QH Quhuo Limited - American Deposi","AIU"
"2022-07-07 21:00:22+00:00","Upcoming earnings calls on Friday, July 8 2022: 1. $LEGH Legacy Housing Corporation 2. $QTT Qutoutiao Inc. 3. $AIU Meta Data Limited","AIU"
"2022-07-12 19:49:45+00:00","$AIU picked up a few more today $1.30’s, low float China that should be over $2","AIU"
"2022-07-19 19:52:28+00:00","$AIU filling $1.20, last time it tapped down here it ran to $2+","AIU"
"2022-07-22 15:25:54+00:00","$BHAT going again. $AIU still the biggest recent r/s sleeper, China name with a float of 2M should be over $2","AIU"
"2022-07-22 19:59:00+00:00","$AMTD China up 120%. Adding more $AIU","AIU"
"2022-07-28 13:57:31+00:00","$AIU 2M float China at $1… Going to get halted up on air from these levels","AIU"
"2022-07-29 10:53:10+00:00","Meta Data Limited is up 11.40% in the pre-market $AIU","AIU"
"2022-08-02 02:59:16+00:00","Meta Data Limited is up 5.50% after hours $AIU","AIU"
"2022-08-02 17:23:13+00:00","$AIU is being played off $HKD","AIU"
"2022-08-02 17:25:29+00:00","$AIU over $2 for the main volume.","AIU"
"2022-08-02 17:26:48+00:00","$AIU $2 break is next","AIU"
"2022-08-02 17:27:18+00:00","$AIU looking to join the party","AIU"
