time,rawContent
2021-06-09 12:42:52+00:00,$CHDN consolidating. looking for an entry window from 195-185. support 185-190. 🏇
2021-06-15 14:28:41+00:00,$DKNG Great opportunity to buy into organized crime. #TheSopranos  $RRR $GDEN $PDYPY $RSI $MCRI $PENN $FUBO $BALY $AGS $ACEL $CHDN $CPHC
2021-06-18 10:40:17+00:00,$CHDN Macquarie analyst Jordan Bender initiates coverage on Churchill Downs with a Outperform rating and announces Price Target of $254.
2021-06-18 11:24:23+00:00,$ASH: Stifel initiates at Buy - PT $118 $ARGX: UBS initiates at Buy - PT $390 $CERE: Morgan Stanley initiates at Overweight - PT $27 $CDLX: Needham &amp; Company initiates at Buy - PT $135 $CHDN: Macquarie initiates at Outperform - PT $254
2021-06-22 00:58:21+00:00,$chdn ready to run again?
2021-06-29 02:45:39+00:00,"Only took one trade: swapped $EH for $PLTR (+0.5R, still looks great). Book maxed at 10: $SHOP $NET $ROKU $CELH $FUTU $CRWD $DMTK $PYPL $EH $FTCH. Put in extra work tonight to really narrow down #focuslist: $PLUG $CHWY $EXPI $SQ $YALA $DNLI $SNOW $ABNB $LMND $TENB $CHDN $CLPT."
2021-06-30 14:12:30+00:00,i'm still here ... $ABNB &amp; $CHDN
2021-07-07 14:10:15+00:00,"$CHDN we're stuck in this channel b/w 205 &amp; 190, 195 safe zone. gotta break through this 205 before 🚀"
2021-07-09 16:11:34+00:00,"😘 $CHDN 200 call, 820 expiry ... in it to win it"
2021-07-15 17:15:44+00:00,"$BETZ added some with $CHDN too good to miss, imo"
2021-07-16 21:14:59+00:00,Below200DaysMa $BYND $125.00 -3.17% -10.92% -12.62% -7.61% 32.93 $CDE $7.72 -5.16% -9.50% -20.98% -10.23% 27.93 $CECE $6.86 -3.38% -6.54% -12.94% -26.47% 35.20 $CGC $19.60 -3.69% -11.51% -22.44% -36.49% 24.86 $CHDN $181.06 -1.61% -5.59% -8.27% -21.04% 32.55
2021-07-16 21:44:57+00:00,Below200DaysMa $BYND $125.08 -3.11% -10.86% -12.57% -7.55% 32.99 $CDE $7.72 -5.16% -9.50% -20.98% -10.23% 27.93 $CGC $19.64 -3.49% -11.33% -22.28% -36.36% 25.00 $CHDN $181.06 -1.61% -5.59% -8.27% -21.04% 32.55 $CLOV $8.20 -0.73% -11.54% -8.28% 11.56% 36.55
2021-07-17 17:30:26+00:00,"It drives me nuts that I can get on ""Twinspires"" (Churchill Downs online betting, $CHDN) and bet on horseraces but I can't get on DraftKings $DKNG or Fanduel (IPO soon?) and bet on real sports because I live in #Kentucky. Our legislature is overflowing with pud."
2021-07-17 22:59:53+00:00,You have to bet on a Casino/Online sports betting stock until EOY. Which do you add to your portfolio? A. Boyd $BYD B. Caesars $CZR C. DraftKings $DKNG D. Penn $PENN Comment with better bet! $WYNN $CHDN $LVS $GAN $BETZ $SGMS $IGT $GNOG $GMBL $MGM $GLPI $MCRI $BALY $GDEN $CNTY
2021-07-20 15:07:03+00:00,Below200DaysMa $BYND $126.35 0.66% -7.29% -17.11% -8.84% 35.05 $CCL $20.76 5.27% -9.15% -32.79% -22.25% 27.52 $CDE $7.35 0.68% -10.91% -25.76% -20.97% 25.39 $CGC $19.39 -0.10% -12.30% -24.41% -39.24% 24.10 $CHDN $181.16 2.19% -3.25% -10.48% -26.86% 36.11
