time,rawContent
2021-06-05 17:16:58+00:00,Cruises are looking better by the day.  $CCL $RCL $NCLH $DIS $CUK
2021-06-08 15:58:49+00:00,Celebrity Equinox Heats Up Summer Vacation Options As The Latest Ship In The Celebrity Cruises' Fleet To Be Approved To Sail From A U.S. Port Beginning July 25 $CCL $NCLH $RCL $CUK $DIS
2021-06-08 19:30:16+00:00,Carnival's Vista Ship Receives CDC Approval To Resume Restricted Voyages Out Of US $CCL $NCLH $RCL $CUK $DIS
2021-06-17 13:54:59+00:00,"Tony Zhang Sees Unusual Options Activity In Carnival $CCL Purchase of 1,200 contracts of the July $30 calls for $1.32. Breaks even at $31.32 or around 7% above the closing price on Wed. The strategy risks only 4.5% if the stock trades lower at the July expiration $NCLH $RCL $CUK"
2021-06-23 13:17:51+00:00,$CCL $CUK Carnival Cruise Line To Grow Fleet By Two Additional Ships By 2023
2021-06-23 13:37:19+00:00,$CUK who still holding from our entry
2021-06-23 13:37:49+00:00,$CUK I mentioned in October easy money 💰
2021-06-24 15:06:05+00:00,"Unusual Options Activity Insight: Norwegian Cruise $NCLH Following the unusual option alert, stock price moved up to $31.06. Sentiment: BEARISH Option Type: SWEEP Trade Type: CALL Expiration Date: 2021-07-16 Strike Price: $32.50 Volume: 1115 Open Interest: 50018 $CCL $RCL $CUK"
2021-06-28 04:17:14+00:00,I'm probably going Long 1 cent &gt; daily high $ETR $CUK $AEE $ELS $KAST $AASP $SBAC $SWCH $SOHOO $DSE $USCS $QEDN $BUD $GLAXF $TU $HTA $TRP $CERN $TTRAF $CHK $PHM $GBOX $JOAN $QSR Short 1 cent &lt; daily low $FOA $TAL $BCHG $CHAQ $MHH $FLYW $WISH $RNG $PTCT
2021-06-28 13:07:28+00:00,$CCL $CUK - Carnival to sell up $500M in stock
2021-06-28 13:13:18+00:00,MJ In Play Alert - Ticker: $CUK   DateTime: 2021-06-28 08:13   Price: 23.89   ATR: 0.84   Daily RVOL 1.15   Beta: 2.37   Short Float: 1.90%
2021-06-29 17:31:50+00:00,Royal Caribbean International CEO Says CDC Provisionally Approved Request To Conduct Simulated Voyage On Board Oasis Of The Seas $CCL $NCLH $RCL $CUK $DIS
2021-07-14 12:49:18+00:00,"1) #PeregrineUpgrades for today, Wed, 14 JUL 21 (will add charts tomorrow)  $AHCO  Robert W. Baird  Neutral to Outperform  $36 $CUK  Berenberg  Sell to Hold  no PT $EL  Raymond James  Mkt Perform to Strong Buy  $355 $GHL  Keefe Bruyette  Underperform to Mkt Perform$15.5"
