time,rawContent
2021-06-06 12:13:17+00:00,"Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AMAT $CVX $CZR $DELL $DFS $EA $EMB $IBM $IEF $INFO $JNK $LQD $MXIM $PLD $SPXL $TLT $TMUS $TQQQ $TSM $UPRO $VTV $XLK"
2021-06-07 12:13:18+00:00,$CZR Deutsche Bank analyst Carlo Santarelli maintains Caesars Entertainment with a Buy and raises the price target from $126 to $132.
2021-06-07 20:00:00+00:00,"$BIIB soars on FDA Alzheimer’s treatment approval, lifts $LLY $PRTA $ACIU $SAVA $AMC $GME $BBBY $BB surge $MRNA spike on seeking EU authorization for adolescents $CCL $NCLH $RCL lead on summer updates; $PENN $CZR rise on Barron’s Vegas comeback story $BX buys $QTS $VMC buys $USCR"
2021-06-08 01:55:11+00:00,Bally’s Corporation $BALY has completed the acquisition of the Tropicana Evansville casino in Indiana from Caesars Entertainment $CZR. The deal includes unencumbered rights to the facility’s sports betting and online gambling skins.
2021-06-08 18:22:35+00:00,$DKNG above the 50 with RS $SPY $QQQ $AMC $PENN $BB $CZR $MGM $WYNN $APPL $TSLA $BA $ABNB $BBBY $PLUG $CCIV $BETZ
2021-06-08 19:38:09+00:00,$CZR has been a great trade but it seems stuck at the 2x ATR so I am selling my remaining #options positions.
2021-06-09 13:28:44+00:00,Gambling and gaming revenue in Vegas is on fire — without help from international or convention biz. $MGM $LVS $CZR
2021-06-09 13:52:17+00:00,"Wondering if @InfinityTradesX would consider this an ""idiot drop"" on $CZR ...."
2021-06-10 12:27:15+00:00,$CZR JP Morgan analyst Joseph Greff maintains Caesars Entertainment with a Overweight and raises the price target from $120 to $129.
2021-06-10 12:45:24+00:00,Targets Raised Today: $BIIB Biogen $380.00 ➝ $475.00 $COLM Columbia Sportswear $120.00 ➝ $130.00 $CZR Caesars Entertainment $120.00 ➝ $129.00 $MGM MGM Resorts $47.00 ➝ $52.00 $OXM Oxford Industries $103.00 ➝ $135.00 $RH Restoration Hardware $634.00 ➝ $770.00
2021-06-10 15:10:53+00:00,$BARK: Jefferies initiates at Buy - PT $14 $CC: Wolfe Research initiates at Outperform - PT $47 $CE: Wolfe Research initiates at Outperform - PT $192 $CZR: JP Morgan Raises Target Price To $129 From $120 $CCMP: Wolfe Research initiates at Underperform
2021-06-10 18:23:36+00:00,My ISA 😍  $ADBE $AMD $ALB $BABA $GOOGL $AMZN $ANSS $ASML $T $ADSK $BA $CZR $CSIQ $NET $CRCL $DAL $ENPH $ETSY $EXPI $FSLY $BLOX $FIVN $FVRR $GEVO $GILD $JPM $KOD $LMND $MELI $MSFT $MP $NFLX $NVDA $PLTR $PAYC $PYPL $PENN $RDFN $CRM $SHOP $SEDG $SONY $SQ $STNE $TDOC $TWLO $U $UPWK
2021-06-10 19:48:29+00:00,WL: $ATVI $CME $CRCT $CROX $CRWD $DDOG $DELL $DKS $DT $LOVE $ORCL $RBLX $RIOT $SKYT $SNAP $UPST $YETI $ZS Pullback Watch: $APP $ARVN $AVID $BNTX $BSY $CZR $DOCU $NET $QFIN $RGR $RH $SAVA $SPT $SWCH
2021-06-11 13:36:18+00:00,Bought $CZR 120 Jan '22 puts and $CAR 82.5 Jan '22 puts in addition to my short (via shares) positions.
2021-06-11 13:42:03+00:00,"*Arizona Sports Betting On Pace For NFL Launch • Arizona officials are projecting a September 9th sports betting launch. • FanDuel, DraftKings and Caesars have already announced sportsbook partnerships in the state. $FLTR.LN $DKNG $CZR h/t @ButlerBets"
2021-06-11 14:12:40+00:00,"#RT @roundhill: *Arizona Sports Betting On Pace For NFL Launch • Arizona officials are projecting a September 9th sports betting launch. • FanDuel, DraftKings and Caesars have already announced sportsbook partnerships in the state. $FLTR.LN $DKNG $CZR h/t @ButlerBets"
2021-06-14 14:50:50+00:00,"$CZR $135.00 Sep 17 2021 CALL ⬆️🌊 Underlying: $108.72 % Difference: 19.47% Daily $ Volume: $910,791 Volume: 3,294 OI: 328 IV: 45.69% Bid/Ask: $2.63/$2.90"
2021-06-14 22:20:56+00:00,$BKR and $MOS each lost over 4% and are Monday's worst performing $SPX #stocks; $CCL $GLW $NCLH $PENN $NUE $WRK $PKG $LEG $UALL $MO $FCX and $CZR all closed down over 3% on the day #trading
2021-06-15 17:37:50+00:00,"$CZR: Rod Stewart Celebrates 10TH Anniversary of ""Rod Stewart: The Hits."" by Announcing 2021 Las Vegas Residency Dates at The Colosseum at Caesars Palace October 6 - 23,"
2021-06-15 22:33:10+00:00,"Friendly reminder that value trade is over. $CZR EV/EBITDA multiple is ~47, a biz that has experienced diminishing ROIC and heavily loaded with HY debt. If market implied growth rate for $CZR is correct, $SNOW should quadruple at least."
2021-06-16 17:47:24+00:00,Sports betting revenue forecast to skyrocket as more states approve $DKNG $MGM $CZR $PENN $WYNN $RSI
2021-06-16 19:19:43+00:00,Canada Going Legal in sports betting?    $DKNG $PENN $SCR $CZR
2021-06-18 01:24:17+00:00,"🪙🪙 Given the voting we saw against Sen White's amendment regarding match-fixing &amp; the fact that the Banking committee heard Kahnawake evidence &amp; returned the bill unchanged, one can only imagine that Sen McCallum's #C218 amendment will also be defeated. $SCR $CZR $PENN $MGM"
2021-06-18 14:07:26+00:00,"Call/Put Highest % Volume Changes: Calls: $ORPH, $LU, $ADNT, $NEOS, $AGC Puts: $APHA, $FXI, $BFLY, $DVN, $CZR"
2021-06-18 14:21:46+00:00,"Bear Forecasts June 18, 2021 07:17:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $WHR : 0.43 $ULTA : -0.70 $UNP : -0.38 $NTNX : 0.89 $DQ : 0.06 $OLED : -0.37 $PLBY : 2.82 $ADS : -0.04 $PAAS : -0.62 $CZR : 1.17"
2021-06-18 23:09:19+00:00,The amount of people announcing their travel plans that are booked after getting their shots on Facebook is incredible. Bullish travel/hotel stocks long term $nclh $rcl $ccl $lvs $czr $dis $wynn #StocksToWatch #stockmarkets #fintwit
2021-06-19 03:00:48+00:00,"Because the Great Depression was severe, the government had to legalize gambling as a way to boost economic activity and tax revenues. $LVS $WYNN $CZR $MGM"
2021-06-21 14:05:31+00:00,"$CZR going to be climbing as casinos and sports betting starts opening back up, I’m getting in here at $102.46"
2021-06-21 21:00:09+00:00,"Popular: $MVIS, $HBAR.X, $BGNE, $PING, $GTHX, $GNRC, $PRU, $CLDX, $WELL, $GBT, $TUP, $CZR"
2021-06-22 09:55:19+00:00,$EVRI $SGMS $CZR Gambling stonks up
2021-06-22 19:48:12+00:00,Sports betting just legalized in Canada --&gt;&gt; $DKNG $PENN $CZR
2021-06-22 20:23:16+00:00,Canada has passed sports betting and wagering is expected to start this year. • $SCR - based in Toronto with large media following • $PENN - owns minority stake in $SCR • $DKNG - has partnership with NFL in Canada • $CZR - has casino in Ontario.  Not investment advice.
2021-06-22 20:47:48+00:00,Canada has passed sports betting and wagering is expected to start this year. $DKNG $CZR $PENN $GAN $BETZ
2021-06-23 07:12:10+00:00,#RT @roundhill: RT @mattdorta: Canada has passed sports betting and wagering is expected to start this year. • $SCR - based in Toronto with large media following • $PENN - owns minority stake in $SCR • $DKNG - has partnership with NFL in Canada • $CZR - has casino in On…
2021-06-23 15:56:35+00:00,"$CZR SOLD 4 @ $102.46; -$0.86, -0.21% $SGMS $UWN $FLL $ERI"
2021-06-23 19:35:13+00:00,NFL just announced they are hiring Goldman to explore partnerships for their media properties like the Redzone channel and NFL Network.  Could $DKNG $PENN $CZR buy those parts up and parlay their interests?
2021-06-24 10:52:51+00:00,Remember $AMC has the highest weight in $IWM 0.73% … $GME $PENN $CZR $PLUG $RH are all in the top 5-6 from weighting standpoint.
2021-06-24 15:03:12+00:00,Gambling dates back to 2300BC.  It’s not going anywhere any time soon.  Here are a few gambling stock tickers to check out before you place your next bet.  $CZR $GAN $MGM $WMH $DKNG $PENN $WYNN
2021-06-24 19:10:00+00:00,$QSI $BFLY $MARA $CZR great day 💎🤲🏻🔥
2021-06-24 20:30:35+00:00,$CZR Horseshoe Hammond Remains Part Of Caesars Entertainment
2021-06-24 20:49:01+00:00,$CZR gets to keep ownership of @HorseshoeHammnd after the Indiana Gaming Commission amended its order requiring the sale of a third casino in the state.  CZR also owns @IndianaGrand and @HoosierPark
2021-06-25 16:26:25+00:00,Sports betting is expect to start in Louisiana by the NFL season.  • $CZR - Has naming rights to the Superdome and owns casino in state.  • $PENN - Has multiple casinos in state.  • $GNOG - Has casino in state.  • 41 mobile licenses up for grabs.  Not investment advice.
2021-06-25 17:12:51+00:00,#RT @roundhill: RT @mattdorta: Sports betting is expect to start in Louisiana by the NFL season.  • $CZR - Has naming rights to the Superdome and owns casino in state.  • $PENN - Has multiple casinos in state.  • $GNOG - Has casino in state.  • 41 mobile licenses up for…
2021-06-25 17:46:40+00:00,Best and worst performing S&amp;P 500 stocks so far today Best: 1 Nike $NKE 2 CarMax $KMX 3 Darden $DRI 4 $DISH 5 Enphase $ENPH 6 Lincoln $LNC 7 Wells $WFC Worst: 1 FedEx $FDX 2 Caesars $CZR 3 AbbVie $ABBV 4 Penn National $PENN 5 Norton $NLOK 6 Amazon $AMZN 7 PayPal $PYPK
