time,rawContent
2021-06-08 14:51:19+00:00,$F is trying to compete with $UAL &amp; $HLT to being one of my favs🎊🎊
2021-06-09 13:31:12+00:00,$ADP Alert: Open &gt; 100 day high $CHWY Alert: Open &gt; 20 day high $CLVS Alert: Open &gt; 20 day high $COP Alert: Open &gt; 50 day high $DKNG Alert: Open &gt; 20 day high $EBAY Alert: Open &gt; 100 day high $GOOG Alert: Open &gt; 100 day high $HLT Alert: Open &gt; 20 day high
2021-06-10 22:31:11+00:00,$ABNB  - 24 analysts offering 12-month price targets in the last 3 months for Airbnb evaluate the company at an average price target of $185.38 with a high of $245.00. $MAR $HLT $AHT $CLNE $AMC $WYNN $LVS
2021-06-12 00:41:00+00:00,Largest weekly positions into next week $X 30c @ .61 $X 28.5c @ .96 $SOLO 5c @ .21 $FEYE 22c @ .27 $PLTR 25c @ .45 $HLT 130c @ 1.25 $AMC 40c @ 1.24
2021-06-13 12:41:50+00:00,"Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AAPL $ARKK $CRSP $DELL $DKS $DUK $EMB $ENPH $HLT $IFF $INFO $JNK $LMND $LQD $MXIM $PTON $QCOM $SPXL $SRE $TQQQ $UPRO $XLK"
2021-06-14 22:28:54+00:00,Still swinging $HLT 130c for this week.  Rough day but managed to come back to even at close. Expecting a nice follow through tomorrow.  Looking decent Afterhours.
2021-06-15 12:55:00+00:00,"TODAY on #MorningTradeLive:  🔹 @Allianz's Johan Grahn on the macro setup 🔹 @TDAJJKinahan on $SAVE, $BA, $HLT, $FAST 🔹 @AngelOakCap's Cheyl Pate talks opportunities in banks 🔹 @JoeTigay trades $ORCL 🔹 @PolenCapital's Rayna Lesser Hannaway shares stock picks Stream Live 👇"
2021-06-15 20:20:44+00:00,$HLT Three White Soldiers Daily appearances since 2013: 9 Close 5 days later ±: Avg: -0.10 SD: 1.42 Worst: -2.59 Best: 1.98 10 days later: Avg: -0.68 SD: 3.46 Worst: -6.62 Best: 3.73 30 days later: Avg: -1.58 SD: 4.84 Worst: -7.33 Best: 7.06
2021-06-16 00:29:03+00:00,"Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $A $AVLR $CRI $CVX $DUK $ENTG $ETR $HLT $ICE $JCOM $KMX $LDOS $MDT $MMC $PEP $RSG $SRE $TRU"
2021-06-16 20:20:43+00:00,$HLT Bearish Engulfing Daily appearances since 2013: 58 Close 5 days later ±: Avg: 0.25 SD: 2.84 Worst: -5.96 Best: 6.76 10 days later: Avg: 1.01 SD: 2.83 Worst: -4.72 Best: 8.07 30 days later: Avg: 1.27 SD: 8.29 Worst: -22.31 Best: 18.33
2021-06-17 12:45:51+00:00,$HLT $HOFV Hall of Fame Resort and Entertainment Company Recognized with 2020 Hilton Legacy Award
2021-06-18 12:00:26+00:00,There are amazing names all around you! 👇 Need a drink? $SBUX $BUD Need food? $MCD $CMG Need a new phone? $AAPL $SONY Need to research? $GOOGL Going on vacation? $BKNG $HLT Need groceries? $COST $TGT Fixing the house? $HD $LOW $RH Buy what you know! ✅
2021-06-18 13:08:20+00:00,*Hilton Doubles Dn on Las Vegas Growth With Rapidly Expanding Portfolio and Grand Return to the Strip $HLT
2021-06-18 13:41:39+00:00,Hilton ( $HLT ) is doubling down on Las Vegas growth with a rapidly expanding portfolio and a grand return to the strip
2021-06-19 07:40:22+00:00,DeItaone: *Hilton Doubles Dn on Las Vegas Growth With Rapidly Expanding Portfolio and Grand Return to the Strip $HLT
2021-06-22 20:20:41+00:00,$HLT Dark Cloud Cover Daily appearances since 2013: 54 Close 5 days later ±: Avg: -0.41 SD: 2.77 Worst: -6.90 Best: 9.02 10 days later: Avg: -0.05 SD: 4.01 Worst: -6.78 Best: 9.17 30 days later: Avg: 0.02 SD: 7.22 Worst: -14.52 Best: 19.84
2021-06-23 20:20:46+00:00,$HLT Below Avg Volume Daily appearances since 2013: 316 Close 5 days later ±: Avg: -0.12 SD: 2.93 Worst: -24.28 Best: 7.11 10 days later: Avg: -0.07 SD: 4.04 Worst: -26.09 Best: 7.80 30 days later: Avg: 0.55 SD: 6.88 Worst: -54.14 Best: 14.17
2021-06-25 06:00:00+00:00,"Resorts World Las Vegas, the most expensive property ever developed in Las Vegas, has officially opened. The $4.3 billion property is the result of an $HLT and Genting Group partnership."
2021-06-25 20:20:44+00:00,$HLT Lower Prices Higher Volume Daily appearances since 2013: 66 Close 5 days later ±: Avg: 0.16 SD: 3.93 Worst: -7.56 Best: 15.57 10 days later: Avg: -0.27 SD: 6.06 Worst: -19.11 Best: 17.76 30 days later: Avg: -0.30 SD: 10.37 Worst: -40.22 Best: 19.03
2021-06-28 12:00:26+00:00,It’s another week of opportunity!  Here are a few names by theme! 👇🏽 Aerospace &amp; Defense 🚀 $BA $LMT $NOC $ RTX Fintech 💻 $SQ $PYPL $Z $SHOP Travel ✈️ $AXP $JETS $CCL $HLT $WYNN Social Media 📲 $FB $SNAP $PINS Streaming 📺 $DIS $FUBO $NFLX $ROKU Trade on! 💰
2021-06-28 14:33:54+00:00,"OK, selling $mar $hlt, isn't $abnb got major issue if delta kills hotels, they all go down with Frasier!"
2021-06-28 14:47:04+00:00,"$TH SOLD 122 @ $4.03; -$21.83, -4.25% Peers: $ABNB $MAR $HLT $SPY"
2021-06-28 16:39:01+00:00,$ABNB is not reacting to the general weakness in Hospitality &amp; Travel sector. could be a sign of strength $RCL $EXPE $HLT $BKNG
2021-06-28 20:20:41+00:00,$HLT Minor Breakdown Daily appearances since 2013: 86 Close 5 days later ±: Avg: 0.04 SD: 5.68 Worst: -24.41 Best: 15.57 10 days later: Avg: 0.21 SD: 7.59 Worst: -33.47 Best: 19.73 30 days later: Avg: 0.90 SD: 9.31 Worst: -33.38 Best: 25.99
2021-06-29 20:20:44+00:00,$HLT Minor Breakdown Daily appearances since 2013: 86 Close 5 days later ±: Avg: 0.04 SD: 5.68 Worst: -24.41 Best: 15.57 10 days later: Avg: 0.21 SD: 7.59 Worst: -33.47 Best: 19.73 30 days later: Avg: 0.90 SD: 9.31 Worst: -33.38 Best: 25.99
2021-06-29 20:20:45+00:00,$HLT Lower Prices Lower Volume Daily appearances since 2013: 29 Close 5 days later ±: Avg: 0.71 SD: 2.73 Worst: -2.95 Best: 8.49 10 days later: Avg: 0.17 SD: 6.23 Worst: -26.09 Best: 10.34 30 days later: Avg: 1.82 SD: 8.03 Worst: -23.85 Best: 15.55
2021-06-30 21:25:10+00:00,"Several travel companies are setting a nice entry point, a reversal is coming for: $UAL, $ALK, $DAL, $MAR, $HLT and $BKNG. $SPY #StocksToWatch #investment"
2021-07-01 01:09:46+00:00,Airbnb shares are trading higher. Strength is possible due to travel optimism. 🎢 $CCIV $MGM $DKNG $NIO $AMC $ENPH $MAR $HLT
2021-07-01 15:02:15+00:00,$EXPE $DIS down more than 3% in the last 3 months. $HLT barely up any. Reopening playing is waiting for quarterly reports.
2021-07-01 15:46:30+00:00,"$HLT -&gt; looking for a push above 123 area. Keep on radar. $SPY, $TSLA, $GME, $AMC, #stocks"
2021-07-01 20:20:41+00:00,$HLT Rising Price and Volume Daily appearances since 2013: 87 Close 5 days later ±: Avg: 0.33 SD: 2.86 Worst: -8.49 Best: 10.66 10 days later: Avg: -0.19 SD: 5.12 Worst: -25.10 Best: 10.64 30 days later: Avg: -0.57 SD: 8.46 Worst: -40.69 Best: 11.61
2021-07-02 13:21:51+00:00,$GS: Wells Fargo Raises Price Target To $420 From $385 $HLT: Cowen Raises Target Price To $135 From $110 $ILMN: Cowen Raises Price Target To $500 From $460 $LLY: Truist Securities Raises Target Price To $262 From $225 $MAR: Cowen Raises Target Price To $170 From $140
2021-07-02 15:00:03+00:00,"Notable gainers among liquid option names this morning include $ORCL (+2.4%), $NRG (+2.1%), $SWKS (+2.0%), $HLT (+2.0%), and $KMX (+1.6%),"
2021-07-02 20:06:26+00:00,Biggest Gains in the $SPY : $ORCL +2.87% $PAYC +2.75% $HLT +2.58% Biggest Gains in the $QQQ : $GOOGL +2.30% $AMZN +2.27% $MSFT +2.23%
2021-07-02 21:30:56+00:00,$HLT Hilton Worldwide Holdings Inc is shooting through the roof with a +2.58% increase today!
2021-07-02 22:09:15+00:00,$ORCL $PAYC $HLT $KMX $FTNT $GOOGL $AMZN $MSFT $NRG and $IT all closed up over 2% and are Friday's top performing $SPX #stocks
2021-07-05 20:36:09+00:00,$H $HLT $MAR all look to be getting ready for the next leg after months of consolidation.
2021-07-05 21:30:54+00:00,$HLT Hilton Worldwide Holdings Inc is shooting through the roof with a +2.58% increase today!
2021-07-06 20:20:43+00:00,$HLT Dark Cloud Cover Daily appearances since 2013: 55 Close 5 days later ±: Avg: -0.53 SD: 2.89 Worst: -7.15 Best: 9.02 10 days later: Avg: -0.05 SD: 4.01 Worst: -6.78 Best: 9.17 30 days later: Avg: 0.02 SD: 7.22 Worst: -14.52 Best: 19.84
2021-07-07 21:36:10+00:00,Still on hold with Hilton after an hour. How does a company stay in business like that? $HLT
2021-07-08 17:00:01+00:00,"As the economy roars back to life, here are some potential plays to keep an eye out on: - JPMorgan Chase $JPM - Mastercard $MA - Airbnb $ABNB - Hilton Worldwide $HLT - SeaWorld Entertainment $SEAS - General Electric $GE Disclosure: no positions currently held in the above."
2021-07-08 20:20:38+00:00,$HLT Lower Prices Higher Volume Daily appearances since 2013: 67 Close 5 days later ±: Avg: 0.20 SD: 3.91 Worst: -7.56 Best: 15.57 10 days later: Avg: -0.27 SD: 6.06 Worst: -19.11 Best: 17.76 30 days later: Avg: -0.30 SD: 10.37 Worst: -40.22 Best: 19.03
2021-07-18 20:57:06+00:00,Weekly #Watchlist for July 19th Priority #1: $QQQ $SPY $DIA Tech Names: $AMZN $MSFT $AAPL Travel Stocks: $UAL $LUV $ALK $CCL $RCL $NCLH $WYNN $MAR $H $HLT $VAC Other: $CVS $TWLO $DIS $NUE $CPOP #StocksToWatch #stocks
2021-07-19 11:17:00+00:00,$HLT. Buy Long at $125.01 $NASDAQ $NYSE $NYQ $NMS   #investsySignals #SP500  #NASDAQ100  #Signals #StocksToWatch #stocks   #trading #stockmarkets #investment #ToTheMoon
2021-07-19 14:00:03+00:00,"Unusually heavy option volume on today's open include $HLT, $PPG, $GPS, $EW, and $MCHP."
2021-07-19 14:10:32+00:00,UNUSUALLY HEAVY OPTION VOLUME TODAY:  $HLT $PPG $GPS $EW $MCHP
2021-07-19 14:25:48+00:00,"$HLT $130.00 Jan 20 2023 CALL ⬆️🌊 Underlying: $115.42 % Difference: 11.22% Daily $ Volume: $7,514,400 Volume: 6,060 OI: 142 IV: 30.82% Bid/Ask: $11.00/$13.80"
2021-07-19 14:27:59+00:00,"Stocks that are getting interesting and I'd consider buying 5-15% lower: $HLT/ $MAR $ITB #MSOGang  $CHE $TDG  $HEI Canadian banks and energy starting to come off very nicely too, but still waiting. You can have growth/duration asset out-performance in a drawdown 😉"
2021-07-19 15:40:00+00:00,Increasing unusual call option volume: $IBN $VOD $APT $HLT $JAZZ Increasing unusual put option volume: $LEVI $IGT $INDA $TPGY $ECH $AEO
2021-07-19 15:55:17+00:00,#WallStreet 🇺🇸 Increasing unusual call option volume: $IBN $VOD $APT $HLT $JAZZ
2021-07-19 20:20:42+00:00,$HLT Major Breakdown Daily appearances since 2013: 47 Close 5 days later ±: Avg: -1.18 SD: 6.90 Worst: -24.41 Best: 15.57 10 days later: Avg: -1.70 SD: 8.86 Worst: -33.47 Best: 10.67 30 days later: Avg: -0.01 SD: 10.62 Worst: -33.38 Best: 25.99
2021-07-19 20:20:42+00:00,$HLT Lower Prices Higher Volume Daily appearances since 2013: 68 Close 5 days later ±: Avg: 0.19 SD: 3.88 Worst: -7.56 Best: 15.57 10 days later: Avg: -0.25 SD: 6.02 Worst: -19.11 Best: 17.76 30 days later: Avg: -0.30 SD: 10.37 Worst: -40.22 Best: 19.03
2021-07-19 20:35:56+00:00,Travel stocks were hit hard amid fears that COVID variants will fuel another global econ slump. Mon. losers: Carnival $CCL -5.7% Hertz $HTZZ -5.7 Hyatt $H -4.6 RoyalCarib $RCL -4.0 $JETS airline ETF -3.8 Avis $CAR -3.6 $LYFT -3.2 Marriott $MAR -3.1 Hilton $HLT -2.3 S&amp;P 500 -1.6
