"timestamp","content","symbol"
"2021-08-23 13:14:49+00:00","The #Swiss based footwear company ON (ticker $ONON ) in filing Monday on #NYSE listed the size of its offering #Switzerland","ONON"
"2021-08-23 13:21:49+00:00","On files registration statement for proposed initial public offering  $ONON","ONON"
"2021-08-23 15:32:50+00:00","Sportswear brand On files IPO registration under symbol 'ONON' $ONON","ONON"
"2021-08-23 22:31:31+00:00","Would be interested to see how $ONON metrics stack up to HOKA for $DECK","ONON"
"2021-08-28 12:05:38+00:00","Opening Day: RenovoRx slides after IPO, SeqLL opens lower $SQL $RNXT $ADGI $EWCZ $OBT $WEBR $ELYM $QNIU $CMSL $SPRK $SCAN $AUTH $ARBK $PRCT $SRAD $WRBY $ONON $TOST $AMZN $F $BABA","ONON"
"2021-09-04 12:00:38+00:00","Opening Day: DoubleDown makes market debut in another slow week for IPOs $WEBR $ADGI $DDI $SSBK $DRMA $DATS $QNIU $CMSL $SPRK $SCAN $AUTH $ARBK $PRCT $SRAD $WRBY $ONON $TOST $HLTH $ALVU $BIRD $AMZN $F","ONON"
"2021-09-07 11:15:56+00:00","$ONON Launches 31M Share IPO between $18-$22/sh","ONON"
"2021-09-07 13:21:25+00:00","$ONON Any thoughts on valuation? I buy about 5 pairs of sneakers a year from this company. They are definitely blowing up and we're early.","ONON"
"2021-09-07 14:22:51+00:00","$ONON Launches 31M Share IPO between $18-$22/sh","ONON"
"2021-09-07 14:23:03+00:00","Federer-backed shoemaker $ONON aims for over $12 billion valuation in U.S. IPO","ONON"
"2021-09-07 19:56:12+00:00","After a hot summer, the #IPO  calendar about to heat up again...are you prepared? Sportradar $SRAD Definitive Healthcare $DH Dutch Bros $BROS On $ONON Thoughtworks $TWKS ForgeRock $FORG","ONON"
"2021-09-07 21:51:32+00:00","#IPO hottest runner? Swiss sportswear maker On Holding AG is planning IPO $ONON Net sales jumped 85% in the first half of 2021 Valuation is attractive at about 4x 2023 sales Company has delivered positive operating profits since 2014","ONON"
"2021-09-07 21:53:25+00:00","#IPO hottest runner? Zurich-based On Holding AG $ONON, one of the fastest growing global sports companies since it was founded in 2010. The company on Tuesday launched its IPO roadshow and plans to raise as much as $622 million, giving it an enterprise value of up to $6 billion.","ONON"
"2021-09-08 08:24:07+00:00","Why anybody would ever want to own a pair of the very cheaply made and @rogerfederer endorsed (though he is not playing in them himself!) @on_running shoes or for that matter their stock with to be ticker $ONON will forever remain a mystery to me. ON = OSIRIS...","ONON"
"2021-09-09 12:25:32+00:00","Some of the more exciting deals being prepped include Warby Parker $WRBY, Thoughtworks (TWKS), Toast (TOST), Freshworks $FRSH, Allbirds $BIRD, iFIT $IFIT, ON $ONON, and Sportradar $SRAD. Some new enterprise SaaS names are in the pipeline as well.","ONON"
"2021-09-09 16:40:01+00:00","I don't know why y'all bother to call for @hoka spinoffs. Look at $PTON, and let's SOTP the $ONON and allbirds multiple on $PTON apparel. And maybe $ROKU $FUBO's multiple on the OTT part.","ONON"
"2021-09-11 00:36:04+00:00","Nine #IPOs in the coming week $SRAD, $DH, $DICE, $BROS, $EZFL, $ONON, $PRCT, $TWKS, $TYRA, $FORG","ONON"
"2021-09-12 13:49:11+00:00","New IPOs expected this week #IPO $SRAD $BROS $DH $TWKS $ONON $PRCT $FORG $DICE $WRBY","ONON"
"2021-09-12 15:25:13+00:00","IPOs de la semana 💥👇🏽👇🏽 $SRAD | Sportradar Group AG $DICE | DiCE Molecules Holdings. $PRCT | PROCEPT BioRobotics Corp $ONON | On Holding AG $DH | Definitive Healthcare Corp. $BROS | Dutch Bros Inc. $TWKS | Turing Holding Corp. $FORG | ForgeRock.","ONON"
"2021-09-12 20:47:34+00:00","Upcoming IPOs 1. $WRBY - Warby Parker, 9/29 - watch 2. $FORG - Forgerock 9/16 - interested  3. $TWKS - Thoughtworks - 9/15 nope 4. $BROS - Dutch Bros - 9/15 interested 5.  $DH Definitive Health 915 nope 6. $ONON - On (Shoes) 9/15 - watch 7. $SRAR Sport Radar 9/14 - interested","ONON"
"2021-09-13 12:36:48+00:00","A lot of IPO’s to watch this week such as:  * = stocks I have already broken down. $DH * $DICE $BROS * $EZFL * $FORG $ONON $PRCT $SRAD * $TWKS $TYRA #StockMarket","ONON"
"2021-09-13 16:36:39+00:00","Swiss running shoe brand On Holding $ONON plans to raise $600M at a $6B market cap. On is a global provider of premium athletic footwear, apparel, and accessories that are designed using sustainable materials and its proprietary technology.","ONON"
"2021-09-13 16:38:19+00:00","On Holding $ONON is a niche DTC brand with Roger Federer as an investor. Their shoes are great, growth is strong and they are profitable but the valuation is pretty crazy at 9x sales and 63x EBITDA. The current range is $18-20.","ONON"
"2021-09-14 22:01:42+00:00","The question in my mind is whether or not $ONON closes tomorrow with an enterprise value greater than $UAA...","ONON"
"2021-09-14 23:07:46+00:00","On Holding AG (ONON) priced a full-size deal of 31.1mm shares at $24.00 ($2 Above the upwardly-revised range) and will debut on Wednesday. #IPO $ONON","ONON"
"2021-09-14 23:21:28+00:00","#IPO for Wednesday 9/14 $EZFL EzFill Holdings Inc $TYRA Tyra Biosciences, Inc. $TWKS  Turing Holding Corp. $BROS Dutch Bros Inc. $ONON On Holding AG $PRCT PROCEPT BioRobotics Corp","ONON"
"2021-09-15 02:57:36+00:00","Thoughts on $ONON IPO?","ONON"
"2021-09-15 10:01:18+00:00","$ONON Prices 31.1M Share IPO at $24/sh","ONON"
"2021-09-15 10:09:36+00:00","$ONON Prices 31.1M Share IPO at $24/sh","ONON"
"2021-09-15 10:57:20+00:00","$ONON - Swiss running company ON HOLDING AG  set to make its debut on the NYSE today - PRICING OF ITS INITIAL PUBLIC OFFERING OF 31,100,000 CLASS A ORDINARY SHARES AT A PUBLIC OFFERING PRICE OF $24.00 PER SHARE -","ONON"
"2021-09-15 10:59:09+00:00","Jeez. This founder of On shoes $ONON hasn’t answered a single question head-on. Doesn’t instill much confidence when the stock begins trading today at a 250% premium to $NKE.","ONON"
"2021-09-15 11:05:03+00:00","$ONON Prices 31.1M Share IPO at $24/sh","ONON"
"2021-09-15 12:10:19+00:00","👀these two IPOs, debut today. $BROS $ONON","ONON"
"2021-09-15 12:14:04+00:00","#IPOs Wed Sep 15 $ESZFL 6.25mm shares offered at $4 $BROS 21.1mm offered at $23 $DICE 12mm offered at $17 $DH 15.6mm offered at $27 $ONON 31.1mm offered at $24 $KTTA 4.8mm offered at $5 $PRCT 6.6mm offered at $25 $TWKS 36.8mm offered at 21 $TYRA 10.8mm offered at $16","ONON"
"2021-09-15 12:26:12+00:00","Todays deal recap: part 2 of 2 #IPO  Dutch Bros $BROS 21M sh IPO, $23.00 Leslie's $LESL 15.8M sh 2ndary, $22.00 Live Nation $LYV 5.23M sh 2ndary, $86.90 On Holding $ONON 31.1M sh IPO, $24.00 Procept BioRobotics $PRCT 6.56M sh IPO, $25.00 Tyra Bio $TYRA 10.8M sh IPO, $16.00","ONON"
"2021-09-15 12:32:04+00:00","$ONON priced 31 mil shares $24 above the $18-$20 range - should be a big win for @rogerfederer","ONON"
"2021-09-15 12:49:51+00:00","morning watchlist 9/15 $BAC $CRSR $DATS $DM $IPOF $KPLT $NNDM $PATH $SRNG $TWTR $HYFM $ONON $BROS $GREE","ONON"
"2021-09-15 13:28:51+00:00","IPOs Today: 9/15 $DH : 15.5M Float @ $27 $BROS : 21M Float @ $23 $ONON : 31.1M Float @ $24 $PRCT : 6.56M Float @ $25 $TWKS : 38.9M Float @ $21 $TYRA : 10.8M Float @ $16 $DICE : 12M Float @ $17 $EZFL : 6.25M Float @ $4 $KTTA : 4.8M Float @ $5","ONON"
"2021-09-15 13:41:09+00:00","Two IPOs price above range. On Holding $ONON, Swiss apparel brand prices at $24, above $20-$22 range, trading @NYSE.  Digital consulting/software firm Thoughtworks $TWKS to go public @Nasdaq prices at $21, above range of $18-$20.  First of many IPOs coming in next month. @CNBC","ONON"
"2021-09-15 14:37:34+00:00","$DH no allocation $ONON no allocation","ONON"
"2021-09-15 15:50:30+00:00","When will this Swiss Al Bundy shop start trading? $ONON","ONON"
"2021-09-15 16:53:38+00:00","$ONON seem interesting, might give it a try (IPO Play) #OptionsBBQ","ONON"
"2021-09-15 17:27:24+00:00","$ONON Opens 48% Higher at $35.40. IPO priced at $24","ONON"
"2021-09-15 17:29:14+00:00","On Holding opens at $35.40, IPO priced at $24 per share $ONON","ONON"
"2021-09-15 17:35:12+00:00","$ONON Opens 48% Higher at $35.40. IPO priced at $24","ONON"
"2021-09-15 17:40:48+00:00","Can't remember when was the last time a Swiss company's IPO was as exciting as $ONON 👏🏼","ONON"
"2021-09-15 17:48:55+00:00","Seems like a lot of IPOs today. Maybe I dont usually notice but I usually glance at anything up over 20% and read news. $DICE $BROS $PRCT $TYRA $DH $ONON $TWKS are all IPOs and all up 20%. No trade for me, but interesting.","ONON"
"2021-09-15 18:01:39+00:00","$ONON love the shoes, now I love the stock…","ONON"
"2021-09-15 18:06:41+00:00","14:06 Pops: $ATER +5.5%, $ONON +3.8%","ONON"
