time,rawContent
2021-06-05 08:57:04+00:00,$EARN $ONE $DANG! $IT $EFF $MY $EXAM $FOR $A $RACE
2021-06-06 01:27:15+00:00,$DO $MR $RACE $FOR $SEAS $YUM! $HUM $OUT $A $COG
2021-06-06 05:27:35+00:00,$HE $ATE $MS $BOOT $TOO $FIT $DO $ONE $RACE $OUT $A $BLT
2021-06-07 12:57:43+00:00,$MMM! $I $FLOW $MS $ACRE $MET $TOO $AFT $FOR $A $RACE
2021-06-07 16:27:48+00:00,$FOR $A $FOE $MR $LEE $HUM $MS $RACE
2021-06-07 20:20:35+00:00,"$RACE Rising Price, Declining Volume Daily appearances since 2015: 28 Close 5 days later ±: Avg: 1.52 SD: 4.68 Worst: -6.24 Best: 12.54 10 days later: Avg: 1.24 SD: 6.60 Worst: -17.70 Best: 12.68 30 days later: Avg: 3.17 SD: 11.17 Worst: -25.73 Best: 18.64"
2021-06-07 20:20:35+00:00,$RACE Below Avg Volume Daily appearances since 2015: 353 Close 5 days later ±: Avg: 1.22 SD: 5.33 Worst: -16.34 Best: 29.58 10 days later: Avg: 1.94 SD: 7.52 Worst: -25.03 Best: 28.27 30 days later: Avg: 5.00 SD: 12.07 Worst: -34.75 Best: 37.98
2021-06-07 22:18:20+00:00,"Virgin Galactic, Tesla, Yeti, Disney, Nio, Ferrari, and Nike all have their own fan bases and communities. And these fans can be compared to cult followings due to the unwavering customer loyalty that these companies have. $SPCE $TSLA $YETI $DIS $NIO $RACE $NKE"
2021-06-08 14:03:48+00:00,$RACE is breaking out above $220.96 with positive earnings and a target of $246.58.
2021-06-09 07:39:26+00:00,"It’s often said $RACE is not a car company and should not be covered by autos analysts, but in last 5 yrs the best piece of research I read on it was by an autos sell-sider.  And the buyside pitches were from generalists and generally they weren’t good."
2021-06-09 09:24:57+00:00,"$RACE can easily pass the WEB test: “I try to invest in businesses that are so wonderful that an idiot can run them. Because sooner or later, one will”"
2021-06-09 11:26:36+00:00,"Benedetto Vigna, 52, will take over at Ferrari on Sept. 1. [Change is in the air.] $RACE"
2021-06-09 12:03:47+00:00,Stocks making the biggest moves in the premarket:  $CLOV $WEN $CPB $RIDE $TGT $MRK $FSLY $SHW $CASY $FOXA $ANF $GME $RACE
2021-06-09 13:07:04+00:00,$RACE Ferrari Accelerates Technology Drive With CEO Pick: Street Wrap
2021-06-09 13:23:34+00:00,"We are initiating our research process on Benedotto Vigna, recently appointed CEO of #Ferrari NV - $RACE Our report will combine: -Fundamental research to understand the company’s challenges and opportunities -Proprietary interviews with former colleagues and industry experts"
2021-06-09 13:55:10+00:00,"Ferrari $RACE stock down in early trading after the announcement of a ""Tech Guy"" as CEO"
2021-06-09 18:02:01+00:00,I guess the market prefers $RACE not to have a CEO
2021-06-09 23:57:29+00:00,$ATE $OUT $A $RACE $BAM! $IM $MY $COP
2021-06-10 00:37:49+00:00,"Benenetto Vigna's appointment announced Wednesday shows Ferrari's development strategy remains firmly anchored in manufacturing cutting-edge, high-end sports cars for an electric era, rather than repositioning itself as a pure luxury goods company. $RACE"
2021-06-10 17:18:12+00:00,#Airdrop #SOL $RACE @YrWYgaWp0KRkAkJ  @Krisszhou
2021-06-10 20:15:53+00:00,With the hiring of a new CEO Ferrari will take the next step forward into the world of #ElectricVehicles  $RACE $TSLA $F $GM
2021-06-10 20:20:37+00:00,$RACE Below Avg Volume Daily appearances since 2015: 355 Close 5 days later ±: Avg: 1.24 SD: 5.29 Worst: -16.34 Best: 29.58 10 days later: Avg: 1.98 SD: 7.48 Worst: -25.03 Best: 28.27 30 days later: Avg: 4.97 SD: 12.03 Worst: -34.75 Best: 37.98
2021-06-11 04:36:39+00:00,"Binotto leaves pit wall seat as Ferrari completes reshuffle The Ferrari F1 team has completed a planned reshuffle of its management personnel, with a new strategy structure in place from Baku last weekend. $RACE"
2021-06-11 18:57:05+00:00,$AT $A $GRAM $MR $RACE $HE $PAY $MR $HOT
2021-06-11 20:20:45+00:00,$RACE Hammer Daily appearances since 2015: 8 Close 5 days later ±: Avg: 3.65 SD: 6.57 Worst: -5.02 Best: 16.80 10 days later: Avg: 3.83 SD: 7.66 Worst: -7.72 Best: 13.08 30 days later: Avg: 4.28 SD: 13.48 Worst: -13.03 Best: 19.77
2021-06-11 20:20:45+00:00,$RACE Lower Prices Lower Volume Daily appearances since 2015: 22 Close 5 days later ±: Avg: 0.53 SD: 4.07 Worst: -7.25 Best: 9.35 10 days later: Avg: 1.20 SD: 7.17 Worst: -16.86 Best: 15.23 30 days later: Avg: 3.74 SD: 10.05 Worst: -12.18 Best: 28.63
2021-06-12 17:56:53+00:00,$I $AM $FOR $A $RACE $EEP! $I $AM $FOR $MEN $YUM! $IT $PAY $MR $DOM
