time,rawContent
2021-06-07 06:22:10+00:00,"Instead of raising the prices of their products due to rising raw material costs, consumer staples companies are reducing the sizes of their products so they can keep the price of their products the same. $XLP $PG $K $GIS $CPB $SJM $THS $VITL $PLC $SAFM $KMB $WMT $TGT $COST $ACI"
2021-06-10 17:04:53+00:00,Smucker CFO Weighs Additional Price Hikes if #inflation  Exceeds Forecasts $SJM  cc @HowieCarrShow
2021-06-23 22:43:11+00:00,"SJM (J M SMUCKER Co) 🚨 #Insider #stock alert! 💰 #Sale on 2021-06-21 - $SJM 🇺🇸: SMUCKER MARK T (President and CEO), total amount $1.309.199. Stock has a float of 105.00M"
2021-06-28 05:02:48+00:00,JM Smucker - $SJM 💰 QUOTE $SJM was UP ⬆ on Fri Jun 25 Closed at 129.42 USD for a 0.66% gain from previous close 📈 📈 📈 📊 ANALYSIS JM Smucker should be nationalized ☭ ☭ ☭
2021-06-30 21:23:15+00:00,"SJM (J M SMUCKER Co) 🚨 #Insider #stock alert! 💰 #Sale on 2021-06-29 - $SJM 🇺🇸: Penrose Jill R (Chief People &amp; Admin Officer), total amount $312.338. Float 103.00M shares"
2021-07-02 01:42:36+00:00,Dividend Debate / Stock Wars:   Who is the better stock/ETF: $VZ vs $T $HD vs $LOW $SJM vs $SBUX $GAIN vs $MAIN $RYLD vs $NUSI $QYLD vs $DIVO $STAG vs $GOOD $ADC vs $O (ADC has a nasty CAGR and is a monthly dividend stock) $PFE vs $ABBV $JPM vs $BAC $VYM vs $NOBL
2021-07-08 20:31:02+00:00,The J. M. Smucker Company hikes dividend by 10 percent. $SJM
2021-07-08 20:45:11+00:00,$SJM bumps div 10%. Coffee and pet food.
2021-07-08 22:02:17+00:00,The J.M. Smucker Company $SJM raised its quarterly dividend by 10% to 99 cents/share This represents the 20th consecutive year of dividend growth for this dividend achiever
2021-07-09 08:32:41+00:00,$LEVI Levi Strauss increases dividend by 33%  Dividend Yield: 1.14% Dividend: $0.08/share quarterly  $SJM J. M. Smucker increases dividend by 10%  Dividend Yield: 3.07%  Dividend: $0.99/share quarterly
2021-07-09 10:05:10+00:00,Paul Torres-Cohen $SJM
2021-07-12 19:31:55+00:00,Time to get some $MS $SJM $BNS $SAMPO Others?
2021-07-15 05:06:50+00:00,FalconTrades🎯 alerted: $SJM - Crossed 20 Day Moving Average on 07/14/21. Closing Price: $130.29.🚀 #StocksToBuy
2021-07-15 21:02:11+00:00,"Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AFG $ATO $BX $CPT $DUK $EMB $ETR $FIS $FISV $IUSG $KMB $LDOS $MUB $PAYX $PG $RSG $SJM $STIP $TIP $TRU $WM $WMT"
2021-07-17 11:00:11+00:00,Paul Torres-Cohen $SJM
2021-07-19 13:49:45+00:00,"Buying crap in a market downturn is a surefire way to go broke. If you want/must have equity exposure, this is the time to move to dividend paying blue chips. The $PG $KMB $UL of the world hold up the best. That's partly why I bought $SJM last week."
2021-07-19 23:36:51+00:00,"Tomrrow’s #watchlist for #NYSE, #NASDAQ between $100 and $150: $AGG $AN $BLV $DGX $GWRE $IEF $IEI $KMB $LQD $MBB $MUB $SJM $TIP $VCLT"
2021-07-20 13:37:12+00:00,WinningStreak5 $MRNA $318.65 1.61% 35.51% 45.12% 145.59% 84.64 $RCUS $30.98 4.56% 9.08% 22.26% -13.08% 69.17 $SJM $134.70 0.53% 3.82% -2.48% 11.26% 62.39
2021-07-21 21:30:55+00:00,$SJM J M Smucker Co is falling fast! It's down -2.24% today!
2021-07-22 00:10:05+00:00,$STX and $NFLX both lost over 3% and are Wednesday's worst performing $SPX #stocks; $ES $MKC $CHD $SJM and $BLL all closed down over 2% on the day #trading
2021-07-22 14:36:01+00:00,"Bear Forecasts July 22, 2021 07:32:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $DLTR : -0.11 $GRMN : 0.20 $NCR : -2.37 $GOTU : -6.21 $DK : -1.41 $ADSK : 0.88 $DISH : 0.91 $MDU : -0.72 $BHC : -1.56 $SJM : -1.62"
2021-07-22 14:40:53+00:00,"Bear Forecasts July 22, 2021 07:37:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $NCR : -2.60 $GRMN : 0.07 $GOTU : -5.86 $JO : 1.26 $DK : -1.82 $DISH : 0.59 $ADSK : 0.71 $MDU : -0.75 $BHC : -1.46 $SJM : -1.51"
2021-07-22 19:56:50+00:00,Today at market close BrightBot made the following trades:   BUY $NTAP at $ 77.1001 with stop loss $ 73.24 BUY $LVS at $ 47.265 with stop loss $ 44.90 BUY $OMC at $ 72.1 with stop loss $ 68.49 BUY $SJM at $ 128.85 with stop loss $ 122.40 BUY $FE at $ 39.03 with stop loss $ 37.0
2021-07-29 12:20:00+00:00,"Nespresso as a brand is so much stronger than almost all of us realise. Despite all the private label competition &amp; premium pricing, +14% y/y in H1. One of few stores where I still see lines in the mall. $NESN $SBUX $SJM $MDLZ"
2021-07-30 12:47:42+00:00,"""Value"" is $SJM (which I own) at a 16.9 PE and a 3% dividend. It is not the Russell 2000 (which I am short) with no PE, 20%+ insolvent, and $AMC.  Small and/or beaten up doesn't mean ""value"". Fundamentals = Value."
2021-08-04 16:08:35+00:00,"Bear Forecasts August 04, 2021 09:04:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $DHR : -0.02 $VLDR : 2.26 $SJM : -0.99 $ASO : -2.31 $URTY : 0.02 $HSY : 0.17 $NTLA : -1.65 $VIRT : -1.62 $GNRC : 0.03 $DT : -0.61"
2021-08-04 16:14:11+00:00,"Bear Forecasts August 04, 2021 09:10:00 PDT 🐻🐻🐻🐻🐻 ticker : log change intraday $SJM : -0.93 $DHR : 0.24 $PWR : -1.24 $U : 2.23 $ASO : -2.36 $VLDR : 1.68 $URTY : -0.55 $VIRT : -1.37 $CDW : 2.59 $NTLA : -2.60"
2021-08-05 20:37:14+00:00,$SJM: The J.M. Smucker Co. to Report First Quarter Earnings and Participate in the 2021 Barclays Global Consumer Staples Conference //First
2021-08-17 23:53:56+00:00,"Tomorrow's #watchlist for #NYSE, #NASDAQ between $100 and $150: $ABBV $ABT $ALLE $DTE $EA $EW $FIS $FISV $KMB $NVO $PG $PLD $PM $SCHB $SJM $SRE $TNDM $XLV"
2021-08-20 16:00:45+00:00,What late summer doldrums? Keep an eye on earnings next week from $JD $PANW $BBY $MDT $AAP $JWN $INTU $TOL $URBN $DKS $CRM $WSM $ULTA $NTAP $ADSK $GES $SNOW $BOX $DG $DLTR $SJM $ANF $HAIN $DELL $HPQ $GPS $VMW $WDAY $MRVL $PTON $OLLI $BIG. And don't forget Fed/Jackson Hole!
2021-08-24 14:55:40+00:00,Worst performing large cap stocks in today's early trading Novavax $NVAX Seagate $STX BioNTech $BNTX Confluent $CFLT Western Digital $WDC Moderna $MRNA Chungwa $CHT Pfizer $PFE Genmab $GMAB Smucker $SJM Public Storage $PSA $PLD Camden $CPT Lloyds $LYG Duke $DRE Fortinet $FTNT
2021-08-24 19:29:34+00:00,Largest stocks that hit new 1 Month Lows at some point today Coca-Cola $KO AT&amp;T $T Unilever $UL $HSBC Colgate $CL LLoyds $LYG Xcel $XEL Chunghwa $CHT AvalonBay $AVB Equity $EQR Cerner $CERN Duke $DRE Dominos $DPZ $UDR Camden $CPT Smucker $SJM Atmos $ATO Cambell Soup $CPB
2021-08-24 21:30:55+00:00,$SJM J M Smucker Co is falling fast! It's down -2.22% today!
