time,rawContent
2021-06-07 13:33:01+00:00,"Unusual call buying: $AFG 80x average volume, $AMSC 16x, $AMCX 16x, $DOCU 10x, $SIRI 10x, $CLNE 9x, $TPR 8x, $FIVE 8x"
2021-06-11 18:26:26+00:00,Best and worst performing S&amp;P 500 stocks so far today Best: 1 VF Corp $VFC 2 $PVH 3 Tapestry $TPR 4 Gap $GPS 5 Nvidia $NVDA 6 Nasdaq $NDAQ 7 WestRock $WRK Worst: 1 Vertex $VRTX 2 Incyte $INCY 3 Eli Lilly $LLY 4 Biogen $BIIB 5 Crown Castle $CCI 6 Perrigo $PRGO 7 Archer $ADM
2021-06-11 20:20:08+00:00,Biggest Gains in the $SPY : $VFC +4.56% $PVH +3.97% $TPR +3.70% Biggest Gains in the $QQQ : $ZM +5.74% $DOCU +4.09% $LULU +2.58%
2021-06-11 21:30:58+00:00,$TPR Tapestry Inc is shooting through the roof with a +3.70% increase today!
2021-06-14 07:14:49+00:00,"Here are the winners, in terms of stocks that you can invest in, from Friday: $VFC+4.558%, $PVH+3.974%, $TPR+3.699%, $GPS+3.194%, $NDAQ+2.726% #StockMarket #TradeMarket #Economy  Request: find out what happened to @Stocktwits &amp; let me know."
2021-06-15 12:00:58+00:00,Tapestry - $TPR 💰 QUOTE $TPR was DOWN ⬇ on Mon Jun 14 Closed at 43.27 USD for a -2.33% loss from previous close 📉 📉 📉 📊 ANALYSIS Tapestry should be nationalized ☭ ☭ ☭
2021-06-24 14:11:06+00:00,"$LAKE SOLD 22 @ $22.56; -$25.96, -5.52% Peers: $VFC $MAJJ $TPR $SPY"
2021-06-25 15:17:58+00:00,"Stocks to watch today! $DISH, $FLT, $GPS and $TPR"
2021-06-30 00:53:53+00:00,"1/2. Still sitting on $TPR, waiting patiently and watching it rise and fall. Painfully slow to watch, but someone once said stocks shouldn’t be fun. They really weren’t kidding."
2021-06-30 00:56:32+00:00,"2/2. Lined up the next buy if and when $TPR clears$45/share. Given that $WMT and $KHC just signed a nice partnership, and Kraft Heinz is everywhere, and currently $3-4 under the 3 month max I’m thinking a 6-7% run isn’t out of line. Let’s wait and see"
