"timestamp","content","symbol"
"2021-06-05 19:00:00+00:00","Retail is dead.. Tell that to: Lowe's $LOW Home Depot $HD Tractor Supply $TSCO Wal-Mart Stores $WMT Target $TGT Dollar General $DG Costco $COST Best Buy $BBY Williams-Sonoma $WSM Long live retail","WSM"
"2021-06-07 17:43:30+00:00","$HOME Stopped Out 14 @ $36.88; +$516.32 Peers: $WSM $RH $SNBR $SPY","WSM"
"2021-06-08 04:28:29+00:00","🤔 Was just thinking ..I also mentioned $WSM on The same show as $HMBL Where are all the Williams Sonoma fans at? Waffle makers and  rolling  pins not sexy enough?","WSM"
"2021-06-09 20:21:22+00:00","I can gripe again about how Gary at $RH delivers way less than his bombast &amp; Laura at $WSM the opposite. But real story is both are delivering blockbuster numbers.","WSM"
"2021-06-09 20:24:42+00:00","$RH forecasts sales +50% in Q1. $WSM forecasts growth for rest of year against blockbuster 2020.  Yet street mostly dislikes both esp. $WSM. Remember, given stock shortages, both have much better visibility than most on sales as they fill backlog.","WSM"
"2021-06-09 20:40:07+00:00","Vintage Gary here at $RH Q. 'Core' demand of 109% translates into actual sales +78%. But 78% is still a terrific number. And $RH now forecasts 25-30% sales growth on top of last year. Who saw that even a couple of months ago? $WSM","WSM"
"2021-06-09 22:45:47+00:00","Earnings call: $RH will never sell more online than will sell in Galleries. Best thing our competitors can do is close retail stores to go all-in on digital""🛋️ $WSM","WSM"
"2021-06-10 02:27:42+00:00","Long: $GNRC, $VIRT, $WSM, $LEV, $TSLA, $GS, $TGT, $GM, $NUE, $CMI, $WYNN, $BYND, $ELY Short: $CHPT, $DOCU, $UA, $SLB","WSM"
"2021-06-10 21:17:09+00:00","Big green day today 🤑  $WSM should be a LOT higher","WSM"
"2021-06-11 00:17:58+00:00","Not to beat a dead (alive but deeply wounded?) horse but $HOME stock is so undervalued that if the market valued it like it values $TJX and $WSM, which I believes it deserves, the stock would be ~50% higher. And management wants to sell at this price….?","WSM"
"2021-06-15 02:07:33+00:00","$WSM [Jun-18 170.00 Calls] Option volume Up +288.24% |  Volume: 132 vs 34|","WSM"
"2021-06-18 14:44:20+00:00","how about $RH vs $WSM today.... don't tell me high short float doesn't matter","WSM"
"2021-06-19 01:42:30+00:00","$WSM @jimcramer is bullish on this stock. @MadMoneyOnCNBC #LightningRound","WSM"
"2021-06-20 20:57:40+00:00","$WSM [Jun-18 160.00 Puts] Option volume Up +127.06% |  Volume: 193 vs 85|","WSM"
