"timestamp","content","symbol"
"2021-06-08 06:27:43+00:00","$BORN $ONE $YUM! $MEN $ARE $AT $A $BRO $MMM! $I $AM $MY $RATE","YUM"
"2021-06-08 14:52:35+00:00","#STONKS I’m addicted. Can't stop buying cool stocks. I'd rather buy some $LEVI than a new pair of jeans. I'd rather buy some $YUM than eat @tacobell. Heck I'd rather buy some $RYCEY than- OKAY, nevermind... I'll take a @RollsRoyce! Wait? Buy it? Actually, I'll just take the share","YUM"
"2021-06-08 15:29:18+00:00","$DANG! $YUM! $DO $ALLY","YUM"
"2021-06-08 18:58:09+00:00","$HI! $IM $ONE $ALLY $YUM! $HE $BORN $MR $DOM $SEE $MS $INN $OUT $KEYS","YUM"
"2021-06-08 20:21:57+00:00","$YUM Below Avg Volume Daily appearances since 2010: 451 Close 5 days later ±: Avg: 0.28 SD: 2.24 Worst: -14.26 Best: 7.64 10 days later: Avg: 0.51 SD: 3.29 Worst: -15.78 Best: 9.29 30 days later: Avg: 0.88 SD: 6.72 Worst: -40.21 Best: 14.21","YUM"
"2021-06-09 20:21:53+00:00","$YUM Bearish Engulfing Daily appearances since 2010: 102 Close 5 days later ±: Avg: 0.65 SD: 1.83 Worst: -7.27 Best: 10.45 10 days later: Avg: 0.80 SD: 2.44 Worst: -8.66 Best: 7.66 30 days later: Avg: 1.55 SD: 5.18 Worst: -21.28 Best: 25.01","YUM"
"2021-06-11 13:46:51+00:00","Sold $YUM $IWM $SPY For profit Still holding:   $XLE 6/18 60c Lottos (ATM) $TSLA 6/18 650c (down 20%) Almost Cash Gang","YUM"
"2021-06-11 19:28:11+00:00","$YUM! $IT $EFF $FOR $SEAS $SWAY $FOR $CUBS $AT $A $RICE","YUM"
"2021-06-11 21:27:17+00:00","$YUM! $IM $TWO $SEAS $AGO $HE $TAP $MS $SAM $BWA!","YUM"
"2021-06-11 21:56:58+00:00","$YELP $AXE $YUM! $I $AM $AT $DATA $IM $MS $RAD","YUM"
"2021-06-12 05:37:53+00:00","Buddha's delight"" ""Mission Viejo"" ""Aliso Viejo"" ""docent"" ""Mission San Gabriel"" ""Briar Patch""  ""Anij"" ""Reginald Barclay"" ""MacGyver""  $AAPL $SSRM $ODFL $MRTN $JBHT $WMT $F $SBUX $MSFT $DIS $MCD $TWTR $GE $YUM  ""Peter Heppner"" ""Call the ships to port"" ""CHP"" ""Famous Amos cookies"" 🌳","YUM"
"2021-06-12 23:50:43+00:00","Will Be posting some weekly/Daily Charts  $ABNB $AMPG $BIGC $CPRI $CVNA $FCX $FTCH $HD $HIMX $KYMR $LULU $LX $MANH $MAXR $MNSO $MSTR $OKTA $PAYC $PAYC $PINS $PTON $RMBS $RVLV $SAGE $SE $SMH $SNAP $SNPS $SPOT $SPWR $SSP $TDOC $TNDM $TWLO $TWST $WLTW $YUM  #stockstowatch","YUM"
"2021-06-13 02:54:35+00:00","Strat weekly setups on my radar: 1 - $AMAT $CGC $CMCSA $COST $CVNA $DDD $FEYE $GLD $LRCX $PANW $PTON $QCOM $ROKU $SLV $TSLA $TTWO $ULTA $WDAY $YUM 3 - $AFRM $AMZN $BLDP $CRWD $DDOG $ENPH $FSLR $FTCH $FVRR $JKS $MARA $PINS $RIOT $RUN $SAIL $SIG $SLX $SNAP $SPWR $ZS","YUM"
"2021-06-13 12:55:28+00:00","Primary: $SNAP $WTRG $ATVI $VALE $UPWK $SOXX $CROX $KEYS 50ma bounce plays: $KKR $TSCO $YUM $KTB Secondary: $OMF, $ARW, $ATH, $AMAT, $ROKU, $DELL, $U, $ENTG, $UNH, $DKS, $FTCH, $MT, $TXN","YUM"
"2021-06-13 20:24:26+00:00","Billion dollar idea: An ETF of nothing but fried chicken. $SPY $TSLA $KFC $YUM $DPZ","YUM"
"2021-06-15 15:49:07+00:00","bar and restaurant sales went up 1.3% in May Tech and EV portfolio taking a shit.  I’m scrambling so hard to not lose my shirt that I almost invested in Chilli’s parent company at a 3500 PE $EAT 📉  $YUM 📈","YUM"
